category,descrip,name,topics,type,views,views_norm
Transportation,"Motorists who drive aggressively and exceed the posted speed limit by at least 12 miles per hour will receive $40 citations in the mail. These citations are not reported to insurance companies and no license points are assigned. Notification signs will be placed at all speed enforcement locations so that motorists will be aware that they are approaching a speed check zone. The goal of the program is to make the streets of Baltimore safer for everyone by changing aggressive driving behavior. In addition to the eight portable speed enforcement units, the city has retrofitted 50 red light camera locations with the automated speed enforcement technology.",Baltimore Fixed Speed Cameras,"['citation', 'transportation', 'speed']",Map,60603.0,1.0
Public Safety,"All BPD data on Open Baltimore is preliminary data and subject to change.  The information presented through Open Baltimore represents Part I victim based crime data. The data do not represent statistics submitted to the FBI's Uniform Crime Report (UCR); therefore any comparisons are strictly prohibited. For further clarification of UCR data, please visit http://www.fbi.gov/about-us/cjis/ucr/ucr. Please note that this data is preliminary and subject to change. Prior month data is likely to show changes when it is refreshed on a monthly basis.  All data is geocoded to the approximate latitude/longitude location of the incident and excludes those records for which an address could not be geocoded. Any attempt to match the approximate location of the incident to an exact address is strictly prohibited.",BPD Part 1 Victim Based Crime Data,"['victim', 'police', 'crime']",Dataset,49324.0,0.8138871012986156
City Government,"This database captures gross salary from July 1, 2014 through June 30, 2015 and includes only those employees who were employed on June 30, 2015",Baltimore City Employee Salaries FY2015,"['employees', 'salaries']",Dataset,49021.0,0.808887348811115
Public Safety,This data represents the top arrest charge of those processed at Baltimore's Central Booking & Intake Facility. This data does not contain those who have been processed through Juvenile Booking.,BPD Arrests,"['police', 'crime', 'arrests']",Dataset,43072.0,0.7107238915565236
City Government,A map of all Baltimore City government entitie,Baltimore City Government Entities - MAP,[],Map,41291.0,0.681335907463327
City Government,"This database captures gross salary from July 1, 2013 through June 30, 2014 and includes only those employees who were employed on June 30, 2014",Baltimore City Employee Salaries FY2014,"['city employee', 'salary']",Dataset,39709.0,0.6552315891952544
Public Safety,Emergency and Non-Emergency calls to 911,911 Calls for Service,"['non-emergency', 'emergency', 'calls for service', '911']",Dataset,39409.0,0.65028133920763
Public Safety,"All BPD data on Open Baltimore is preliminary data and subject to change. The information presented through Open Baltimore represents a summarized version of Part I victim based crime data (http://bltmo.re/h7bNv). The data do not represent statistics submitted to the FBI's Uniform Crime Report (UCR); therefore any comparisons are strictly prohibited. For further clarification of UCR data, please visit http://www.fbi.gov/about-us/cjis/ucr/ucr. Please note that this data is preliminary and subject to change. Prior week data is likely to show changes when it is refreshed on a weekly basis.",Summarized Crime Data By District - 2017 Week 22,"['bpd', 'police', 'arrests', 'crime']",File or Document,37945.0,0.626124119268023
Public Safety,This data represents the top arrest charge of those processed at Baltimore's Central Booking & Intake Facility. This data does not contain those who have been processed through Juvenile Booking.,Map of Prostitution in Baltimore City,"['police', 'crime', 'arrests']",Map,32467.0,0.5357325544940019
City Government,"This database captures gross salary from July 1, 2011 through June 30, 2012 and  includes only those employees who were employed on June 30, 2012",Baltimore City Employee Salaries FY2012,"['city employee', 'salary']",Dataset,29604.0,0.48849066877877334
