category,descrip,name,topics,type,views,views_norm
Permitting,Data of approved building/construction permits,Approved Building Permits,"[u'building', u'permits', u'construction']",Dataset,6100436.0,1.0
Public Safety,Crime Incident Reports provided by Boston Police Department,Crime Incident Reports,"[u'police', u'crime', u'incidents', u'safety']",Dataset,42371.0,0.006945569136369925
,assessment for all property for the year 2014,Property Assessment 2014,"[u'assessment', u'assessing', u'taxes', u'property', u'2014']",Dataset,35429.0,0.005807617685031037
Finance,"All City of Boston employees earnings, calendar year 2014",Employee Earnings Report 2014,"[u'employees', u'payroll', u'finance']",Dataset,24758.0,0.004058398448897751
City Services,Constituent requests for city services,"311, Service Requests","[u'311', u'service requests', u""mayor's office""]",Dataset,20261.0,0.0033212380229872096
City Services,Constituent requests for city services,Closed Pothole Cases,"[u'service requests', u'311', u""mayor's office""]",Map,19232.0,0.003152561554616752
Health,Health inspections of licensed food establishments,Food Establishment Inspections,"[u'health', u'violations', u'restaurants', u'food', u'inspections']",Dataset,16450.0,0.0026965285759903064
Finance,"All City of Boston employees earnings, calendar year 2013",Employee Earnings Report 2013,"[u'employees', u'payroll', u'finance']",Dataset,12304.0,0.002016905021214877
Finance,"All City of Boston employees earnings, calendar year 2012",Employee Earnings Report 2012,"[u'employees', u'payroll', u'finance', u'2012']",Dataset,10640.0,0.0017441376321299003
Permitting,"Permits issued by Public Works, Transportation, Inspectional Services, and the Fire Department","Moving Truck Permits, September 2015 Heat Map","[u'inspection', u'public works', u'bfd', u'fire', u'permits']",Map,8099.0,0.001327610026562036
Permitting,"Permits issued by Public Works, Transportation, Inspectional Services, and the Fire Department",Issued Permits(ALL TYPES),"[u'isd', u'permits', u'occupancy', u'public works', u'transportation']",Dataset,6984.0,0.001144836205149927
City Services,Open constituent requests for city services,"311, Open Service Requests","[u'service requests', u""mayor's office"", u'311']",Filtered View,6448.0,0.0010569736327042853
Permitting,Inspectional Services violations found by Code Enforcement with citations issued,Code Enforcement - Building and Property Violations,"[u'permits', u'buildings', u'violations', u'code enforcement', u'citations']",Dataset,6395.0,0.0010482857290855933
Permitting,tax assessment of property for year 2015,Property Assessment 2015,"[u'tax', u'property', u'assesing']",Dataset,4896.0,0.0008025655871154127
Health,Summer farmers' market in Boston and surrounding areas that accept various forms of food assistance benefits. Subject to change in future seasons; information listed was accurate as of spring 2013. Please contact us with any corrections: genevieve.goldleaf@cityofboston.gov,Farmers Markets With Benefits,"[u'snap', u'ebt', u'wic', u'bounty bucks', u'food']",Dataset,4882.0,0.0008002706691783997
Finance,,Checkbook Explorer,[],Dataset,4562.0,0.0007478154020466734
City Services,RJP Compliance Data,Boston Jobs Policy Compliance Reports,"[u'bra', u'jobs', u'residency']",Dataset,3784.0,0.0006202835338326637
