category,descrip,name,topics,type,views,views_norm
Public Safety,"Hamilton county E911 active calls scraped from http://hamilton911.discoveregov.com/
Some records have been removed to be in compliance with TN Ann. Code §§ 37-1-409; 37-1-612 for the confidential of records of child abuse .",Hamilton County E911 Active Calls,"[u'ems', u'fire', u'police']",Dataset,5195.0,1.0
Government,311 service request for the city of Chattanooga. Data is from 2003 to the present date.,311 Service Requests,"[u'311', u'service request']",Dataset,4322.0,0.831953801732435
Public Safety,,Traffic Citations By Location 2012 To 2014,[u'traffic citations'],Dataset,3007.0,0.5788257940327238
Transportation,Trip data for the Bike Chattanooga system. Includes data from the start of the system to the previous month. Data is updated around the beginning of each month.,Bike Chattanooga Trip Data,"[u'bike chattanooga', u'bicycle']",Dataset,2931.0,0.5641963426371511
Government,This file contains the history status for all permits within the City of Chattanooga. Data is provided from May 1st 2006 to current date.,All Permits Status History,"[u'permit', u'blds']",Dataset,2879.0,0.5541867179980751
Public Safety,,Map of Citations (2012 - 2014),"[u'gis', u'traffic citations']",Map,2819.0,0.5426371511068335
Government,,Ptax Property Data 5 Yr,[u'property tax'],Dataset,2227.0,0.42868142444658325
Government,for chattanooga.gov,Chattanooga Website Analytics,[],Dataset,2136.0,0.4111645813282002
Government,Public Works service requests from 2003 to current date. Data includes information on service requests received by Public Works. Where the service request was initiated by 311 the service request number from 311 is also included.,Service Requests,"[u'service requests', u'cityworks']",Dataset,2088.0,0.40192492781520694
Government,,chattanooga.gov analytics,[],Filtered View,2072.0,0.39884504331087584
Buildings & Trails,"Property appraisal information for Hamilton County. Last updated 10/23/2013.
Note: The specification for the property appraisal information file that was processed to be placed into the portal had some issues. Corrections can be found here: https://gist.github.com/seabre/9f2dd1f53631214be9a9",Hamilton County Property Appraisal Information,"[u'property', u'appraisal', u'hamilton']",Dataset,2026.0,0.38999037536092396
Government,Permit inspection information for all permits within the City of Chattanooga.,All Permit Inspector,"[u'permit', u'blds', u'inspection']",Dataset,2008.0,0.3865255052935515
