category,descrip,name,topics,type,views,views_norm
Administration & Finance,"This dataset is a listing of all current City of Chicago employees, complete with full names, departments, positions, employment status (part-time or full-time), frequency of hourly employee ?where applicable?and annual salaries or hourly rate. For hourly employees, the City is providing the hourly rate and frequency of hourly employees (40, 35, 20 and 10) to allow dataset users to estimate annual wages for hourly employees. Please note that annual wages will vary by employee, depending on number of hours worked and seasonal status. For information on the positions and related salaries detailed in the annual budgets, see https://www.cityofchicago.org/city/en/depts/obm.html","Current Employee Names, Salaries, and Position Titles",['personnel'],Dataset,873133.0,1.0
Public Safety,"This dataset reflects reported incidents of crime (with the exception of murders where data exists for each victim) that occurred in the City of Chicago from 2001 to present, minus the most recent seven days. Data is extracted from the Chicago Police Department's CLEAR (Citizen Law Enforcement Analysis and Reporting) system. In order to protect the privacy of crime victims, addresses are shown at the block level only and specific locations are not identified. Should you have questions about this dataset, you may contact the Research & Development Division of the Chicago Police Department at 312.745.6071 or RDAnalysis@chicagopolice.org.  Disclaimer: These crimes may be based upon preliminary information supplied to the Police Department by the reporting parties that have not been verified. The preliminary crime classifications may be changed at a later date based upon additional investigation and there is always the possibility of mechanical or human error. Therefore, the Chicago Police Department does not guarantee (either expressed or implied) the accuracy, completeness, timeliness, or correct sequencing of the information and the information should not be used for comparison purposes over time. The Chicago Police Department will not be responsible for any error or omission, or for the use of, or the results obtained from the use of this information. All data visualizations on maps should be considered approximate and attempts to derive specific addresses are strictly prohibited. The Chicago Police Department is not responsible for the content of any off-site pages that are referenced by or that reference this web page other than an official City of Chicago or Chicago Police Department web page. The user specifically acknowledges that the Chicago Police Department is not responsible for any defamatory, offensive, misleading, or illegal conduct of other users, links, or third parties and that the risk of injury from the foregoing rests entirely with the user.  The unauthorized use of the words ""Chicago Police Department,"" ""Chicago Police,"" or any colorable imitation of these words or the unauthorized use of the Chicago Police Department logo is unlawful. This web page does not, in any way, authorize such use. Data are updated daily. The dataset contains more than 65,000 records/rows of data and cannot be viewed in full in Microsoft Excel. Therefore, when downloading the file, select CSV from the Export menu. Open the file in an ASCII text editor, such as Wordpad, to view and search. To access a list of Chicago Police Department - Illinois Uniform Crime Reporting (IUCR) codes, go to http://data.cityofchicago.org/Public-Safety/Chicago-Police-Department-Illinois-Uniform-Crime-R/c7ck-438e",Crimes - 2001 to present - Dashboard,[],Data Lens,656565.0,0.7519644773476664
Parks & Recreation,"The Chicago Park District maintains weather sensors at beaches along Chicago's Lake Michigan lakefront. These sensors generally capture the indicated measurements hourly while the sensors are in operation during the summer.  During other seasons and at some other times, information from the sensors may not be available.  See https://data.cityofchicago.org/id/qmqz-2xku for a dataset with similar measurements on the lake water, itself.",Beach Weather Stations - Automated Sensors - 2016 - Humidity,"['water', 'recreation', 'parks & recreation', 'open spaces', 'chicago park district']",Chart,516200.0,0.5912043182424671
Buildings,"Permits issued by the Department of Buildings in the City of Chicago from 2006 to the present. The dataset for each year contains more than 65,000 records/rows of data and cannot be viewed in full in Microsoft Excel. Therefore, when downloading the file, select CSV from the Export menu. Open the file in an ASCII text editor, such as Wordpad, to view and search. Data fields requiring description are detailed below. 
PERMIT TYPE: ""New Construction and Renovation"" includes new projects or rehabilitations of existing buildings; ""Other Construction"" includes items that require plans such as cell towers and cranes; ""Easy Permit"" includes minor repairs that require no plans; ""Wrecking/Demolition"" includes private demolition of buildings and other structures; ""Electrical Wiring"" includes major and minor electrical work both permanent and temporary; ""Sign Permit"" includes signs, canopies and awnings both on private property and over the public way; ""Porch Permit"" includes new porch construction and renovation (defunct permit type porches are now issued under ""New Construction and Renovation"" directly); ""Reinstate Permit"" includes original permit reinstatements; ""Extension Permits"" includes extension of original permit when construction has not started within six months of original permit issuance. WORK DESCRIPTION: The description of work being done on the issued permit, which is printed on the permit. PIN1 ? PIN10: A maximum of ten assessor parcel index numbers belonging to the permitted property. PINs are provided by the customer seeking the permit since mid-2008 where required by the Cook County Assessor?s Office. CONTRACTOR INFORMATION: The contractor type, name, and contact information. Data includes up to 15 different contractors per permit if applicable.
Data Owner: Buildings.
Time Period: January 1, 2006 to present.
Frequency: Data is updated daily.
Related Applications: Building Data Warehouse (https://webapps.cityofchicago.org/buildingviolations/violations/searchaddresspage.html).",Building Permits,['permits'],Dataset,405206.0,0.4640827915105717
Ethics,"All lobbyist registration fillings submitted to the Board of Ethics during the 2010 reporting period. / All lobbyists must register with the City of Chicago Board of Ethics by filing a Statement of Registration within five business days of engaging in lobbying activity and annually thereafter by January 20th. 
Lobbyist registration information is submitted to the Board of Ethics in paper form and is available in its entirety in the Board's offices. The Board has, since 2000, compiled and posted static lists of all lobbyists and their clients online. Data for the 2010 reporting period is limited because previous policy did not require the Board of Ethics to prioritize the reporting of all data available from paper filings. 
Moving forward, the Board of Ethics will compile and report more data about lobbyists and their activities, and make that additional information publicly available in machine-readable format. /  
Data Owner:  Board of Ethics 
[http://j.mp/mbH9BN] /
Time Period: January 1, 2010 to December 31, 2010 /
Related Applications:  Registered Lobbyist List [http://j.mp/l8LwAq], 
2011 Lobbyist Registry  [http://j.mp/ifigjs]",Lobbyist Data - Historical - Lobbyist Registry - 2010,"['historical', 'lobbyists']",Dataset,368846.0,0.42243965123297367
Community & Economic Development,"The affordable rental housing developments listed below are supported by the City of Chicago to maintain affordability standards. For information on rents, income requirements and availability, contact each property directly. For information on other affordable rental properties in Chicago and Illinois, call (877) 428-8844, or visit www.ILHousingSearch.org.",Affordable Rental Housing Developments,['housing'],Dataset,324695.0,0.37187347173912794
Public Safety,"This dataset reflects reported incidents of crime (with the exception of murders where data exists for each victim) that occurred in the City of Chicago from 2001 to present, minus the most recent seven days. Data is extracted from the Chicago Police Department's CLEAR (Citizen Law Enforcement Analysis and Reporting) system. In order to protect the privacy of crime victims, addresses are shown at the block level only and specific locations are not identified. Should you have questions about this dataset, you may contact the Research & Development Division of the Chicago Police Department at PSITAdministration@ChicagoPolice.org.  Disclaimer: These crimes may be based upon preliminary information supplied to the Police Department by the reporting parties that have not been verified. The preliminary crime classifications may be changed at a later date based upon additional investigation and there is always the possibility of mechanical or human error. Therefore, the Chicago Police Department does not guarantee (either expressed or implied) the accuracy, completeness, timeliness, or correct sequencing of the information and the information should not be used for comparison purposes over time. The Chicago Police Department will not be responsible for any error or omission, or for the use of, or the results obtained from the use of this information. All data visualizations on maps should be considered approximate and attempts to derive specific addresses are strictly prohibited. The Chicago Police Department is not responsible for the content of any off-site pages that are referenced by or that reference this web page other than an official City of Chicago or Chicago Police Department web page. The user specifically acknowledges that the Chicago Police Department is not responsible for any defamatory, offensive, misleading, or illegal conduct of other users, links, or third parties and that the risk of injury from the foregoing rests entirely with the user.  The unauthorized use of the words ""Chicago Police Department,"" ""Chicago Police,"" or any colorable imitation of these words or the unauthorized use of the Chicago Police Department logo is unlawful. This web page does not, in any way, authorize such use. Data are updated daily. The dataset contains more than 65,000 records/rows of data and cannot be viewed in full in Microsoft Excel. Therefore, when downloading the file, select CSV from the Export menu. Open the file in an ASCII text editor, such as Wordpad, to view and search. To access a list of Chicago Police Department - Illinois Uniform Crime Reporting (IUCR) codes, go to http://data.cityofchicago.org/Public-Safety/Chicago-Police-Department-Illinois-Uniform-Crime-R/c7ck-438e",Crimes - 2001 to present,"['police', 'crime']",Dataset,307675.0,0.35238045063008727
Public Safety,"This dataset reflects reported incidents of crime that have occurred in the City of Chicago over the past year, minus the most recent seven days of data. Data is extracted from the Chicago Police Department's CLEAR (Citizen Law Enforcement Analysis and Reporting) system. In order to protect the privacy of crime victims, addresses are shown at the block level only and specific locations are not identified. Should you have questions about this dataset, you may contact the Research & Development Division of the Chicago Police Department at 312.745.6071 or RandD@chicagopolice.org.
Disclaimer: These crimes may be based upon preliminary information supplied to the Police Department by the reporting parties that have not been verified. The preliminary crime classifications may be changed at a later date based upon additional investigation and there is always the possibility of mechanical or human error. Therefore, the Chicago Police Department does not guarantee (either expressed or implied) the accuracy, completeness, timeliness, or correct sequencing of the information and the information should not be used for comparison purposes over time. The Chicago Police Department will not be responsible for any error or omission, or for the use of, or the results obtained from the use of this information. All data visualizations on maps should be considered approximate and attempts to derive specific addresses are strictly prohibited. 
The Chicago Police Department is not responsible for the content of any off-site pages that are referenced by or that reference this web page other than an official City of Chicago or Chicago Police Department web page. The user specifically acknowledges that the Chicago Police Department is not responsible for any defamatory, offensive, misleading, or illegal conduct of other users, links, or third parties and that the risk of injury from the foregoing rests entirely with the user. Any use of the information for commercial purposes is strictly prohibited. The unauthorized use of the words ""Chicago Police Department,"" ""Chicago Police,"" or any colorable imitation of these words or the unauthorized use of the Chicago Police Department logo is unlawful. This web page does not, in any way, authorize such use.
Data is updated daily.",Crimes - Map,"['police', 'crime']",Map,235667.0,0.2699096243069498
Community & Economic Development,"This dataset contains all current and active business licenses issued by the Department of Business Affairs and Consumer Protection.  This dataset contains a large number of records /rows of data and may not be viewed in full in Microsoft Excel.  Therefore, when downloading the file, select CSV from the Export menu.  Open the file in an ASCII text editor, such as Notepad or Wordpad, to view and search.  

Data fields requiring description are detailed below. 
APPLICATION TYPE:  'ISSUE' is the record associated with the initial license application.  'RENEW' is a subsequent renewal record.  All renewal records are created with a term start date and term expiration date.  'C_LOC' is a change of location record.  It means the business moved.   'C_CAPA' is a change of capacity record.  Only a few license types my file this type of application.  'C_EXPA' only applies to businesses that have liquor licenses.  It means the business location expanded.
LICENSE STATUS: 'AAI' means the license was issued. 
Business license owners may be accessed at:  http://data.cityofchicago.org/Community-Economic-Development/Business-Owners/ezma-pppn
To identify the owner of a business, you will need the account number or legal name.

Data Owner: Business Affairs and Consumer Protection 

Time Period: Current 

Frequency: Data is updated daily",Business Licenses - Current Active,"['current', 'licenses', 'business']",Filtered View,235527.0,0.26974928218266864
Health & Human Services,"This information is derived from inspections of restaurants and other food establishments in Chicago from January 1, 2010 to the present. Inspections are performed by staff from the Chicago Department of Public Health?s Food Protection Program using a standardized procedure. The results of the inspection are inputted into a database, then reviewed and approved by a State of Illinois Licensed Environmental Health Practitioner (LEHP). For descriptions of the data elements included in this set, go to http://bit.ly/tS9IE8
Disclaimer: Attempts have been made to minimize any and all duplicate inspection reports. However, the dataset may still contain such duplicates and the appropriate precautions should be exercised when viewing or analyzing these data. The result of the inspections (pass, pass with conditions or fail) as well as the violations noted are based on the findings identified and reported by the inspector at the time of the inspection, and may not reflect the findings noted at other times. For more information about Food Inspections, go to http://bit.ly/tD91Sb.",Food Inspections,"['inspections', 'food']",Dataset,212685.0,0.2435883193053063
