category,descrip,name,topics,type,views,views_norm
Transportation,"Colorado Highway and Frontage road milepost locations. Mileposts are locations of milepost (mile marker) locations alongside CDOT highways, collected during GPS mapping efforts in the early 2000s. MIleposts differ from milepoints in that milepoints represent the location along CDOT highways where that highway's linear reference system indicates a whole number reference point (such as 57.000). Therefore, mileposts are not necessarily found at exactly at milepoints. Also includes collection date of point, route ID and some GPS locations.",Colorado Highway Mileposts GPS,"[u'colorado', u'transportation', u'mileposts', u'mile post', u'milemarker']",Map,4989.0,1.0
Government,,Map of Colorado Governmental Agencies,"[u'county', u'special district school district', u'municipality']",Map,3045.0,0.6103427540589297
Water,Division of Water Resources (DWR) Call History. The Call is a term used by the state engineer to effectively communicate the administrative status of the natural stream. The Call communicates the priority required during a specified period of time for a water right located within a specific stream or stream segment to divert under the Prior Appropriation Doctrine. The basic purpose of the Call is to “call out” water rights that are not in priority in order to make water available to the senior water right that is diverting less than its decreed amount of water that it could beneficially use.,DWR Calls History,"[u'gocode', u'administrative call']",Dataset,2672.0,0.5355782721988375
Water,Current streamflow conditions,DWR Current Surface Water Conditions Map (Statewide),[],Map,2654.0,0.5319703347364201
Water,Division of Water Resources (DWR) Active Calls.  The Call is a term used by the state engineer to effectively communicate the administrative status of the natural stream.  The Call communicates the priority required during a specified period of time for a water right located within a specific stream or stream segment to divert under the Prior Appropriation Doctrine.  The basic purpose of the Call is to “call out” water rights that are not in priority in order to make water available to the senior water right that is diverting less than its decreed amount of water that it could beneficially use.,DWR Active Calls,"[u'river administration', u'river call', u'gocode']",Dataset,2231.0,0.44718380436961314
Water,"Division of Water Resources (DWR) Current Surface Water Conditions.  This is a list of all remote monitored stream, diversion, and reservoir gages within the state of Colorado.",DWR Current Surface Water Conditions,"[u'gocode', u'current conditions', u'streamflows']",Dataset,1867.0,0.3742232912407296
Demographics,This dataset contains data on the actual and projected population by gender and age from 1990-2040.,Colorado Population Projections,"[u'dola', u'population projection', u'projections', u'estimate', u'state demography office']",Dataset,1751.0,0.3509721387051513
Water,Division of Water Resources (DWR) Active Calls. The Call is a term used by the state engineer to effectively communicate the administrative status of the natural stream. The Call communicates the priority required during a specified period of time for a water right located within a specific stream or stream segment to divert under the Prior Appropriation Doctrine. The basic purpose of the Call is to “call out” water rights that are not in priority in order to make water available to the senior water right that is diverting less than its decreed amount of water that it could beneficially use.,DWR Active Calls Map (Statewide),"[u'river administration', u'active call']",Map,1668.0,0.3343355381840048
County,Colorado's counties and their county seat along with EPA FIPS codes.,Colorado County Seats,"[u'county seat', u'fips']",Dataset,1515.0,0.3036680697534576
Agriculture,"This list provides the 2014 Statistics for the Animal Rescues and Animal Shelters that are PACFA licensed in the State of Colorado. The numbers in this data set were provided by each individual facility, if you have questions about the numbers please call the facility directly.
If you have general questions or if you feel the numbers are not correct please send an email to adrienne.bannister@state.co.us
If you are aware of a facility that is not licensed please complete a complaint form on our website (www.colorado.gov/aginspection/pacfa) so that we may investigate the reason they are not currently licensed.",2014 - Animal Shelter & Rescue Annual Reporting Numbers,"[u'animals', u'pacfa', u'reporting', u'shelter', u'rescue']",Dataset,1457.0,0.29204249348566846
Legislative,"A comprehensive list of all bills signed by Governor Hickenlooper from the 2012 Legislative Session.  Note that this list does not include some bills which the Governor has not yet signed, nor those bills passed during the special legislative session.",2012 Signed Bills,"[u'2012', u'bills']",Dataset,1427.0,0.2860292643816396
K-12,"A website for comparing and contrasting Colorado's schools, viewing process and determining the best facility for your child",Colorado Department of Education's School View,[],External Link,1315.0,0.2635798757265985
Government,,Colorado Governmental Agencies,"[u'state agency', u'municipality', u'municipal', u'higher education', u'school district']",Dataset,1278.0,0.2561635598316296
County,Colorado's counties and their county seat along with EPA FIPS codes.,Map of Colorado County Seats,"[u'county seat', u'fips']",Map,1228.0,0.24614151132491482
Health,"This dataset provides the location of health care service providers around the State of Colorado where the Colorado Telehealth Network (CTN) has installed new communications technology that will enable patients, providers and payers to improve the quality of care, reduce costs and increase access for health care services. By connecting patients and providers on a high speed and secure statewide private broadband network, the CTN provides increased access to educational, business process and clinical care products.",Colorado Telehealth Network Locations,[u'telehealth'],Dataset,1173.0,0.23511725796752855
