category,descrip,name,topics,type,views,views_norm
Finance & Administration,"Click on the link to see or download a PDF of the contract. This dataset contains new contracts and amendments. Amendments may be contract extensions, renewals, increases, decreases, scope changes, or any combination of these. Amendment data is included starting with Fiscal Year 2015 (December 2014).",Procurement - Awarded Contracts & Amendments,"['award', 'bid', 'contract', 'procurement', 'purchase']",Dataset,69644.0,1.0
Finance & Administration,"Disclaimer: This list was last updated on 06/01/2017 and is updated monthly on the website.  If up-to-the-minute accuracy is needed, contact us at 312-603-6328. These dealers collect and remit Use Tax for sales of Titled Personal Property such as: cars, motorcycles, trucks, trailers, boats and planes.",Titled Personal Property Retail Dealers Registered with the Cook County Department of Revenue,"['tax', 'home rule', 'business', 'revenue']",Filtered View,60089.0,0.8628022514502326
Finance & Administration,"Annual salaries paid to employees by the Cook County Comptroller as of August 28, 2014. For 2015 data see https://datacatalog.cookcountyil.gov/d/9tzu-m4zi.",Comptroller - Annual Salaries - 2014 - August 28,['salary'],Dataset,55865.0,0.8021509390615128
Finance & Administration,"Annual salaries paid to employees by the Cook County Comptroller as of November 24, 2015. This dataset does not include salaries for Cook County Forest Preserves. This is the newest salaries dataset. 
For 2014, see https://datacatalog.cookcountyil.gov/d/hdna-35se.",Comptroller - Annual Salaries - 2015 - November 24,['salary'],Dataset,37025.0,0.5316323014186434
Finance & Administration,"Annual salaries paid to employees by the Cook County Comptroller as of September 22, 2011. Does not include deduction for furlough or closure days for employees subject to furloughs and closures. Does not include amounts paid by other governmental entities. For 2014 salaries see https://datacatalog.cookcountyil.gov/resource/hdna-35se",Comptroller - Annual Salaries - 2011 - September 22,[],Dataset,29852.0,0.4286370685199012
Finance & Administration,"Disclaimer: This list was last updated on 06/01/2017 and is updated monthly on the website.  If up-to-the-minute accuracy is needed, contact us at 312-603-6328. This dataset contains businesses registered for New Motor Vehicle Home Rule.",New Motor Vehicle Dealers Registered with the Cook County Department of Revenue,"['tax', 'home rule', 'business', 'revenue']",Filtered View,23527.0,0.33781804606283383
Economic Development,"Use the tools at right to find the Cook County Government location or service you need.  Click on the icon to see the location name, type, type of service offered, and contact information.",Facilities Management -- Find it Fast - Cook County Public Facilities and Services Map,"['capital planning and policy', 'cook county facilities and services locator']",Map,19567.0,0.28095744069840906
Finance & Administration,An exempt position is one that involves policy making to an extent or is confidential in such a way that political affiliation is an appropriate consideration for the effective performance of the job. Please refer to the exempt list and associated job descriptions for more information.,Human Resources - Exempt Positions,[],Dataset,19466.0,0.27950720808684165
Healthcare,"This dataset contains descriptions of unidentified remains whose cases have been processed by the Medical Examiner?s Office.
Call 312-666-0500 to speak to Chief Investigator, Christopher Kalka, about matching one of these unidentified bodies to the identity of a missing person. Descriptions of cases can also be found at NAMUS.gov
Please note that images posted in this section may be graphic in nature and may not be appropriate for all users.",Medical Examiner - Unidentified Persons,[],Dataset,18697.0,0.2684653380047097
Finance & Administration,"Annual salaries paid to employees by the Cook County Comptroller as of March 5, 2013. Does not include deduction for furlough or closure days for employees subject to furloughs and closures. Does not include amounts paid by other governmental entities. For 2014 salaries see https://datacatalog.cookcountyil.gov/resource/hdna-35se",Comptroller - Annual Salaries - 2013,[],Dataset,16110.0,0.2313192809143645
Finance & Administration,"Disclaimer: This list was last updated on 06/01/2017 and is updated monthly on the website.  If up-to-the-minute accuracy is needed, contact us at 312-603-6328. This dataset contains businesses registered for Amusement Home Rule.",Amusement Operators Registered with the Cook County Department of Revenue,"['tax', 'home rule', 'business', 'revenue']",Filtered View,13451.0,0.19313939463557522
,"This dataset contains our most up to date list of Unclaimed Persons found in Cook County.
If you feel you are the next of kin to any of the individuals listed, Please contact Rebeca Perrone, Indigent Coordinator, at 312-997-4403. During regular business hours: Monday through Friday, 8:30 a.m. to 4:30 p.m.
Statement of Public Notice: Unclaimed indigents will be cremated or buried at County expense within 90 days of admission to our facility as dictated by the Cook County Medical Examiner Ordinance",Medical Examiner - Unclaimed Persons,[],Dataset,12029.0,0.17272126816380448
Property & Taxation,"Foreclosures recorded from January 1, 2012 through November 29, 2012",Cook County Recorder of Deeds - Foreclosures - 2012 January 1 to November 29,['foreclosures'],Dataset,11829.0,0.16984952041812648
Finance & Administration,"Disclaimer: This list was last updated on 06/01/2017 and is updated monthly on the website.  If up-to-the-minute accuracy is needed, contact us at 312-603-6328. This dataset contains businesses registered for Tobacco Home Rule Tax.",Wholesale Tobacco Dealers Registered with the Cook County Department of Revenue,"['tobacco', 'tax', 'home rule', 'business', 'revenue']",Filtered View,11825.0,0.16979208546321292
Finance & Administration,Collective Bargaining Agreements from Cook County for the periods of 2004 to 2017. This is an initial collection and will be revised as new data becomes available.,Human Resources - Collective Bargaining Agreements,"['union', 'labor agreement', 'cba']",Dataset,11423.0,0.1640198724944001
Finance & Administration,"Disclaimer: This list was last updated on 06/01/2017 and is updated monthly on the website.  If up-to-the-minute accuracy is needed, contact us at 312-603-6328. This dataset contains businesses registered for Firearm Tax.",Firearm Retailers Registered with the Cook County Department of Revenue,"['tax', 'home rule', 'business', 'revenue']",Filtered View,11139.0,0.1599419906955373
Finance & Administration,"Disclaimer: This list was last updated on 06/01/2017 and is updated monthly on the website.  If up-to-the-minute accuracy is needed, contact us at 312-603-6328. This dataset contains businesses registered for Liquor Home Rule Tax.",Wholesale Alcoholic Beverage Dealers Registered with the Cook County Department of Revenue,"['tax', 'home rule', 'business', 'revenue']",Filtered View,10452.0,0.1500775371891333
Finance & Administration,,Cook County Commissioner District Map,[],Map,8941.0,0.12838148297053587
Healthcare,"The following page lists the final disposition sites of the indigents buried by the Cook County Medical Examiner?s Office. Homewood Memorial Gardens Cemetery provides Latitude and Longitude coordinates. Mount Olivet provides Grave, Lot, and Block locations.",Medical Examiner - Burial Locations,[],Dataset,8795.0,0.12628510711619093
Finance & Administration,"Disclaimer: This list was last updated on 06/01/2017 and is updated monthly on the website.  If up-to-the-minute accuracy is needed, contact us at 312-603-6328. This dataset contains businesses registered for Parking Home Rule Tax.",Parking Lot Operators and Valet Operators Registered with the Cook County Department of Revenue,"['tax', 'home rule', 'business', 'revenue']",Filtered View,7527.0,0.10807822640859227
Finance & Administration,"Disclaimer: This list was last updated on 06/01/2017 and is updated monthly on the website.  If up-to-the-minute accuracy is needed, contact us at 312-603-6328. This dataset contains businesses registered for Diesel Home Rule Tax.",Diesel Distributors Registered with the Cook County Department of Revenue,"['diesel', 'tax', 'home rule', 'business', 'revenue']",Filtered View,7464.0,0.10717362586870369
Finance & Administration,"Disclaimer: This list was last updated on 06/01/2017 and is updated monthly on the website.  If up-to-the-minute accuracy is needed, contact us at 312-603-6328. This dataset contains businesses registered for Gasoline Home Rule Tax.",Gasoline Distributors Registered with the Cook County Department of Revenue,"['tax', 'home rule', 'business', 'revenue']",Filtered View,7204.0,0.10344035379932227
Finance & Administration,"The bid tabulations provided herein are preliminary and are for informational purposes only. The purpose of providing this preliminary information is to improve process transparency. The information contained in the preliminary bid tabulations is subject to change pending math review, analysis of all bids, and review of documentation provided.
Bids: All bids estimated at $25,000 or more are publicly opened and read at the time, date, and place specified in the bid document.
RFP/RFQ/RFI: Responses to RFP/RFQ/RFI are not publicly opened. Names of respondents will be made available based on the names identified on the sealed package and is, therefore, subject to change.
For bid tabulations before June 2016 see https://datacatalog.cookcountyil.gov/d/pn38-yupm",Procurement - Bid Tabulations,"['bid tabs', 'bid tab', 'award', 'rfi', 'rfp']",Dataset,6806.0,0.09772557578542301
Finance & Administration,"Annual salaries paid to employees by the Cook County Comptroller as of September 16, 2011. Does not include deduction for furlough or closure days for employees subject to furloughs and closures. Does not include amounts paid by other governmental entities. For 2014 salaries see https://datacatalog.cookcountyil.gov/resource/hdna-35se",Comptroller - Annual Salaries - 2011 - September 16,[],Dataset,6694.0,0.09611739704784332
,The following page lists the unclaimed indigents cremated by the Cook County Medical Examiner?s Office.,Medical Examiner Indigent Cremations,"['indigent', 'cremation']",Dataset,6561.0,0.09420768479696744
Finance & Administration,"In order to ensure Cook County?s commitment to transparency, reports on employment actions and monitoring activities are available.
As required under the Employment Plan, Cook County Board President Toni Preckwinkle hired a Compliance Officer whose primary responsibilities include the following:
1. Overseeing compliance with the Employment Plan
2. Maintaining and reviewing the Exempt List
3. Accepting, investigating, and reporting on complaints related to Employment Actions and the Employment Plan
4. Taking steps to evaluate, eliminate, remedy and reporting instances of Political Contacts and Unlawful Political Discrimination; and
5. Training on Employment Plan and reviewing Policies and Procedures.
If you would like to make a complaint alleging non-compliance with the Employment Plan, a Complaint Form is available or you can contact the Compliance Officer directly.
Letitia Dominici, Compliance Officer 118 N. Clark Street, 8th Floor Chicago, IL 60602 Letitia.dominici@cookcountyil.gov",Human Resources - Compliance Officer?s Quarterly Employment Action Reports,[],Dataset,6442.0,0.09249899488828901
Finance & Administration,"These reports are issued every March 15th and September 15th.
As required under the Employment Plan, Cook County Board President Toni Preckwinkle hired a Compliance Officer whose primary responsibilities include the following:
1. Overseeing compliance with the Employment Plan
2. Maintaining and reviewing the Exempt List
3. Accepting, investigating, and reporting on complaints related to Employment Actions and the Employment Plan
4. Taking steps to evaluate, eliminate, remedy and reporting instances of Political Contacts and Unlawful Political Discrimination; and
5. Training on Employment Plan and reviewing Policies and Procedures.
If you would like to make a complaint alleging non-compliance with the Employment Plan, a Complaint Form is available or you can contact the Compliance Officer directly.
Letitia Dominici, Compliance Officer 118 N. Clark Street, 8th Floor Chicago, IL 60602 Letitia.dominici@cookcountyil.gov",Human Resources - Compliance Officer?s Semi-Annual Reports,[],Dataset,6376.0,0.09155131813221527
Finance & Administration,"2012 budget requests by line-item, by bureau, and elected official.",Budget Management - 2012 Budget Request - Summary of Appropriations by Object Classification,['2012 budget'],Dataset,5364.0,0.07702027453908449
Finance & Administration,"This dataset provides the list of vendors to be recommended for award at the Cook County Board Meetings and are posted below for public viewing.
M/W/DBE Participation Types
MBE = Minority Business Enterprise
WBE = Women Business Enterprise
DBE = Disadvantaged Business Enterprise
Native American (4)
African American (5)
Female (7)
Asian (8)
Hispanic (9)",Procurement - Intent to Award,"['award', 'rfi', 'rfp', 'bid', 'contract']",Dataset,4819.0,0.06919476193211188
Property & Taxation,"Foreclosures recorded with the Cook County Recorder of Deeds. Data covers 2013 through March 27, 2015. This dataset will be updated Quarterly. For more information see http://cookrecorder.com/ .","Cook County Recorder - Foreclosures - 2013 through March 27, 2015","['property', 'quit claim deeds', 'mortgages', 'foreclosures', 'recorder']",Filtered View,4684.0,0.06725633220377922
Property & Taxation,"Quit Claim Deeds recorded with the Cook County Recorder of Deeds. Data covers 2013 through March 27, 2015. This dataset will be updated Quarterly. For more information see http://cookrecorder.com/ .","Cook County Recorder - Quit Claim Deeds - 2013 through March 27, 2015","['property', 'quit claim deeds', 'mortgages', 'foreclosures', 'recorder']",Filtered View,4023.0,0.05776520590431337
GIS/Maps,The Parcel 2012 feature contains tax parcel polygons for the 2012 property tax assessment at the County. This feature reflects tax parcel polygons as they existed from 1/1/2012 through 12/31/2012. Each parcel is uniquely identified with a Property Index Number (PIN).,ccgisdata - Parcel 2012,"['cook', 'parcel', 'gis', 'clerk', 'map']",Map,3936.0,0.056515995634943424
Finance & Administration,"This check register provides a cumulative record of payments to County suppliers, vendors and other payees as approved by the Cook County Board of Commissioners. Data covers December 2009 through November 2016. [NOTE: We are in the process of restructuring this dataset with implementation of a new financial system. Updates will resume once the new structure has been established.]",Cook County Check Register,"['payments', 'check registry', 'check register']",Dataset,3841.0,0.05515191545574637
Property & Taxation,,Cook County Recorder of Deeds - Quit Claim Deeds - 2012 January 1 to November 29,['quit claim deeds'],Dataset,3757.0,0.0539457814025616
Property & Taxation,Scavenger Tax Sale: A sale held every two years by the Treasurer selling taxes on property with 2 or more years of delinquent taxes.,Treasurer - 2011 Scavenger Sale No-bid PINs,[],Dataset,3683.0,0.052883234736660734
Finance & Administration,Archive of budget PDFs starting with fiscal year 2002.,Budget Archive,[],Dataset,3652.0,0.05243811383608064
Finance & Administration,"? Includes Sales Tax previously allocated to JTDC for FY08--9.  Reflects rate reduction for last 2 months of FY10, last 8 months of FY12 and FY13
 ? Provided for comparison purposes to revenues as shown in Revenue Estimate
 ? Sources: FY07-FY11 from Budget Citizen's Summary, Q-1 Total General Fund Expenditures.   FY13-16 based on FY12 with 3.2% annual growth (10 year CPI-U-2.44%/Health-8%).",Cook County Budget - 2012 - Budget Long-term Forecast,[],Dataset,3418.0,0.04907816897363736
Property & Taxation,,Cook County Recorder of Deeds - Mortgages - 2012 January 1 to November 29,['mortgages'],Dataset,3211.0,0.046105910056860606
Courts,,Chief Judge--Directory Of Judges,[],Dataset,2999.0,0.043061857446441906
Finance & Administration,"Pursuant to the Employment Plan, the OIIG Employment Plan Officer will issue semi-annual reports every March 15 and September 15 to the President, the IIG, and the Compliance Administrator, while acting, describing his or her activities during the prior six months, including, but not limited to: (i) auditing activities as required by this OIIG Employment Plan; (ii) any violations of the OIIG Employment Plan discovered; (iii) any remedial actions recommended; and (iv) any corrective action taken by the IIG to address the violations.  These reports can be accessed below.",Inspector General - Employment Plan Officer Semi-Annual Reports,[],Dataset,2878.0,0.0413244500603067
Property & Taxation,"Foreclosures, Mortgages, and Quit Claim Deeds recorded with the Cook County Recorder of Deeds. Data covers 2013 through March 27, 2015. This dataset will be updated Quarterly. For more information see http://cookrecorder.com/ .","Cook County Recorder - Foreclosures, Mortgages, and Quit Claim Deeds - 2013 through March 27, 2015","['forclosures', 'mortgages', 'deeds', 'recorder', 'property']",Dataset,2820.0,0.040491643214060076
Property & Taxation,Assessment Appeals by Town and Class from Tax Year 2010.,Cook County Assessor - Assessment Appeals by Town and Class - 2010,[],Dataset,2815.0,0.040419849520418126
