category,descrip,name,topics,type,views,views_norm
Economic Development,Buy Local It Matters at one of many neighborhood farmer's market throughout Hawaii.,Hawaii Farmer's Markets,"[u""farmer's market"", u'local fruits', u'local vegetables']",Dataset,37217.0,1.0
,Locations,Map of Med-QUEST Office Locations,[],Map,22326.0,0.5998871483461858
Health,"List of pesticide products currently licensed for distribution and sale in the state of Hawaii.  This list is provided for informational purposes only.  Restricted use pesticides are indicated by an asterisk (*).  Restricted use pesticides can only be distributed and sold by a licensed dealer and only to certified applicators.  It is a violation of state and federal laws to use these restricted use pesticides unless the person is a certified pesticide applicator or under the direct supervision of a certified pesticide applicator.  Product names followed by a number in parenthesis, for example (1) or (2), indicate that the product will be discontinued and will only be renewed for one or two additional years after the current license period expires.",Currently Licensed Pesticide Listing,[],Filtered View,19489.0,0.5236585431388882
Economic Development,Enterprise Zone Enrollment,Enterprise Zone Enrollment,[],Chart,16434.0,0.44157239970981005
,Top 10 Source Countries Of International Undergraduate Student In The US 2012,Top 10 Source Countries Of International Undergraduate Student In The US,[],Chart,14834.0,0.39858129349490823
Community,,"Campaign Contributions Received By Hawaii State and County Candidates From November 8, 2006 Through December 31, 2015","[u'campaign spending commission', u'campaign finance', u'candidate', u'hawaii candidates', u'contributions']",Dataset,13089.0,0.351694118279281
Economic Development,Statewide map of Hawaii's Farmer's Markets,market,"[u""farmer's market local fruits vegetables""]",Map,8797.0,0.2363704758578069
,,Gasoline Prices: U.S. vs. Hawaii  (Source: DBEDT),[],Chart,8719.0,0.23427465942983045
,,Energy Costs as a Percent of GDP (Source: DBEDT),[],Chart,7801.0,0.20960851223903054
Health,Aggregate usage of Restricted Use Pesticides as reported through the Kaua'i Agricultural Good Neighbor Program.,Kaua'i Agricultural Good Neighbor Program RUP Use Reporting,[],Dataset,7066.0,0.18985947282156004
,,Hawaii State Ethics Commission's Lobbyist Registration Statements,[],Dataset,5650.0,0.15181234382137196
Employment,Largest employers in Honolulu County as provided by InfoGroup.,Top 50 Employers - Honolulu County,"[u'employer', u'business', u'company']",Dataset,5050.0,0.13569067899078377
,,Hawaii's Electricity Production by Source  (Source: EIA),[],Chart,4811.0,0.12926888249993282
Community,,"Expenditures Made By Hawaii State and County Candidates From November 8, 2006 Through December 31, 2015","[u'campaign spending commission', u'campaign finance', u'candidate', u'hawaii candidates', u'contributions']",Dataset,4807.0,0.12916140473439558
,,Hawaii Renewable Portfolio Standards (RPS)  (Source: Hawaii Public Utilities Commission),[],Chart,4588.0,0.1232769970712309
,,Hawaii Renewable Energy Generation By Resource (Source: Hawaii Public Utilities Commission),[],Chart,4424.0,0.11887040868420345
,,Renewable Energy Projects In Hawaii: Planning Stage (Source: DBEDT),[],Chart,4388.0,0.11790310879436816
Economic Development,Hawaii EV Charging Stations,Hawaii EV Charging Stations Map,[],Map,4359.0,0.11712389499422307
,,Electricity Prices: U.S. vs Hawaii (Source: EIA),[],Chart,4284.0,0.11510868689039955
,,New Distributed Renewable Energy Systems Installed in Hawaii (Source: Hawaii Public Utilities Commission),[],Chart,4220.0,0.11338904264180348
Health,DOH Adult Residential Care Home Facilities Listing,Adult Residential Care Home LISTING,"[u'arch', u'listing']",Dataset,4165.0,0.11191122336566622
,,Hawaii Energy Efficiency Portfolio Standards (EEPS) (Source: Hawaii Public Utilities Commission),[],Chart,3364.0,0.09038880081683102
,,"Hawaii's Petroleum Use, Gallons by Sector (Source: DBEDT)",[],Chart,3281.0,0.088158637181933
Employment,Largest employers in Maui County as provided by InfoGroup.,Top 50 Employers - Maui County,[],Dataset,3235.0,0.08692264287825456
,,Lead By Example Hawaii State Agencies Electricity Consumption,[],Chart,3220.0,0.08651960125748985
,,Hawaii Energy Star Buildings,[],Chart,3217.0,0.08643899293333691
,,Election Maps - Statewide,[],Dataset,3198.0,0.08592847354703495
,Updated:  9.9.13,Map View of Health Connectors,[],Map,3181.0,0.08547169304350162
,,"First In Nation 2015 Energy Services Coalition ""Race to the Top""  (Source: Energy Services Coalition)",[],Dataset,3042.0,0.08173684069108203
Other,Zipcode Layer for Oahu,Oahu Zipcodes,[],Map,2686.0,0.07217131955826639
,,Hawaii Renewable Energy Generation by Utility/County (Source: Hawaii Public Utilities Commission),[],Chart,2648.0,0.07115028078566246
Economic Development,Statewide map of Hawaii's Farmer's Markets,Hawaii's Farmer's Market Statewide Map,"[u""farmer's market local fruits vegetables""]",Map,2134.0,0.05733938791412527
Transportation Facilities,"September 20, 2013",Map of State Government Public Parking Lots,[],Map,2106.0,0.05658704355536449
,,Hawaii Renewable Energy Generation,[],Chart,1921.0,0.05161619689926646
