category,descrip,name,topics,type,views,views_norm
Public Safety,Up-to-the-minute traffic updates,Traffic Incidents,[],Dataset,26460.0,1.0
Public Safety,A snapshot of Crime Incidents from the Honolulu Police Department,Crime Incidents,[],Dataset,18048.0,0.6820861678004535
,,data,[],Filtered View,7699.0,0.29096749811035527
,"Actual spending 2010&2011
Budget 2012
Proposed Budget 2013",Sam's View,[],Filtered View,6537.0,0.24705215419501134
Finance,"Actual spending 2010&2011
Budget 2012
Proposed Budget 2013",City spending,[],Dataset,5566.0,0.21035525321239606
Finance,Proposed City Budget for Fiscal Year 2014,Proposed FY14 Budget,"[u'proposed', u'budget', u'fy2014']",Dataset,4508.0,0.17037037037037037
,Location and descriptions of public works of art,Public Art,[],Dataset,3460.0,0.1307634164777022
Finance,,By Fund,[],Chart,3110.0,0.11753590325018896
Finance,Proposed City Budget for Fiscal Year 2015,Proposed FY15 Budget,"[u'proposed', u'budget', u'fy2015']",Dataset,1742.0,0.06583522297808012
Transportation,,Abandoned Vehicles,[],Dataset,1425.0,0.053854875283446714
Finance,,CIty Budget 2012,[],Chart,1099.0,0.041534391534391535
,,Sister Cities,[],Dataset,1086.0,0.041043083900226755
Transportation,Bike Rack Data,Bike Racks,"[u'bike', u'bicycles', u'racks']",Filtered View,1007.0,0.038057445200302346
Finance,,City Spending 2011 Charted,[],Chart,974.0,0.03681027966742252
Transportation,Bike Rack Data,Bike Rack Locations By Area,"[u'bike', u'bicycles', u'racks']",Dataset,858.0,0.032426303854875285
Location,,Warning Sirens,[],Map,834.0,0.03151927437641723
Transportation,"Station envelope footprints for the 21 HHCTCP stations from East Kapolei to Ala Moana Center as presented in preliminary engineering (PE) drawings prepared for RTD/HART by Parsons Brinckerhoff and subconsultants in 2009/2010. These footrpints were traced in ArcMap over rubber-sheeted PE station area, architectural, and civil site plan drawings, and are not intended to be exact.
To be used principally for station area land use planning.",Rail Station Footprints,[],External Link,668.0,0.025245653817082388
Finance,Adopted Fiscal Year 2016 Budget,Adopted FY15 Budget,"[u'adopted', u'fiscal year 2015', u'fy15', u'budget']",Dataset,602.0,0.02275132275132275
Location,Parking facilities in the City & County of Honolulu.,Parking Facilties,[],External Link,561.0,0.021201814058956915
Finance,Proposed City Budget for Fiscal Year 2016,Proposed FY16 Budget,"[u'proposed', u'budget', u'fy2016']",Dataset,531.0,0.020068027210884354
Location,,Neighborhood Boards,[],Dataset,527.0,0.019916855631141345
,"Feature Service of Tsunami Evacuation Zones, island of Oahu.",Tsunami Evacuation Zone,[],External Link,523.0,0.019765684051398336
,Location and descriptions of public works of art,Art over time,[],Chart,520.0,0.019652305366591082
Recreation,City & County exceptional tree database,Exceptional Trees On Oahu,[],Dataset,502.0,0.018972033257747545
