category,descrip,name,topics,type,views,views_norm
Transportation,"This data contains rest area related information such as services available, location information, location and rest area name. The data is intended to provide basic location and service information to the traveling public.",IDOT Rest Areas Map,"[u'rest', u'area']",Map,88804.0,1.0
Public Health,Current as of July 2016,IDPH Home Health Agencies Directory,"[u'home', u'health', u'agency']",Dataset,53153.0,0.5985428584298005
Public Health,"A list of licensed facilities that provide assisted living and shared housing functionality. Listed are the number of units, whether they provide Alzheimer and adult day care.
Current as of July 2016.",IDPH Assisted Living and Shared Housing Licensed Establishments Listing,"[u'licensed', u'facilities', u'assisted living', u'shared housing', u'alzheimer']",Dataset,41882.0,0.4716228998693753
,"Eligible IDHR Public Contract Numbers as of June 7, 2016.  For further information contact IDHR at IDHR.PublicContracts@illinois.gov or 312-814-2431.",IDHR Eligible Public Contract Numbers,[],Dataset,35757.0,0.402650781496329
Public Health,Current as of July 2016,IDPH Hospital Directory,[u'hospital'],Dataset,27098.0,0.30514391243637673
Public Health,Current as of July 2016,IDPH Ambulatory Surgical Treatment Center Directory,"[u'ambulatory', u'surgical', u'treatment', u'center']",Dataset,23940.0,0.2695824512409351
Public Safety,FOID Card Applications -- 10 Year History -- 2002 through 2011,ISP - Firearm Owners' Identification (FOID) Applications,"[u'police', u'state police', u'firearms', u'guns']",Dataset,21881.0,0.24639655871357147
Public Health,Current as of July 2016,IDPH Home Services Directory,"[u'home', u'services']",Dataset,21205.0,0.23878428899599116
,"Listing of all Designated Truck Routes under the jurisdiction of the State of Illinois Department of Transportation. Class I, II, and III roadways.",IDOT Designated Truck Route List,"[u'designated', u'truck']",Dataset,12826.0,0.1444304310616639
Public Health,Current as of July 2016,IDPH Hospice Directory,[u'hospice'],Dataset,11043.0,0.12435250664384487
Transportation,,IDOT Map of Weigh Stations,[],Map,10079.0,0.1134971397684789
Labor,Guarantees a minimum wage per hour for workers 18 years of age and older.,IDOL Illinois Minimum Wage,"[u'labor', u'minimum wage', u'820 ilcs 105', u'fair labor standards']",Dataset,9281.0,0.10451105806044773
Transportation,"This dataset has a record for every milepost on I-294 of the Illinois Tollway that includes the route number, the milepost and the latitude and longitude. It lists a milepost every tenth of mile, and every quarter of a mile, but there is actually only a physical milepost every quarter of a mile.","ISTHA Map of Mileposts on the Illinois Tollway, I-294 Tri-State","[u'tollway', u'i-294', u'tri-state tollway', u'mileposts', u'mile marker']",Map,9083.0,0.10228142876447006
Public Health,Current as of July 2016,IDPH Home Services Placement Agencies Directory,"[u'home', u'services', u'placement']",Dataset,7789.0,0.08771001306247467
Transportation,"This dataset has a record for every milepost on I-88 of the Illinois Tollway that includes the route number, the milepost and the latitude and longitude. It lists a milepost every tenth of mile, and every quarter of a mile, but there is actually only a physical milepost every quarter of a mile.","ISTHA Map of Mileposts on the Illinois Tollway, I-88","[u'tollway', u'i-88', u'ronald reagan memorial tollway', u'mileposts', u'mile marker']",Map,7537.0,0.08487230304941219
Transportation,"This data contains rest area related information such as services available, location information, location and rest area name. The data is intended to provide basic location and service information to the traveling public.",IDOT Rest Areas,"[u'rest', u'area']",Dataset,7430.0,0.08366740236926265
,"This data set has a record for every milepost on I-90 of the Illinois Tollway that includes the route number, the milepost and the latitude and longitude. It lists a milepost every tenth of mile, and every quarter of a mile, but there is actually only a physical milepost every quarter of a mile.","ISTHA Map of Mileposts on the Illinois Tollway, I-90","[u'tollway', u'i-90', u'jane addams memorial tollway', u'mileposts', u'mile marker']",Map,7262.0,0.08177559569388766
Public Health,"Current as of October, 2012.",IDPH Shelter Care Facilities,[u'shelter'],Dataset,6937.0,0.07811585063735868
Public Health,The dataset provides information on upcoming plumbing continuing education courses that licensees may attend to fulfill the requirements of the Illinois Plumbing Code.  Last Updated November 2015.,Plumbing Continuing Education Calendar,"[u'plumbing', u'plumbers', u'continuing education']",Calendar,6855.0,0.07719246880771137
Public Health,"Nursing Facility Services are provided by Medicaid certified nursing homes, which primarily provide three types of services:
Skilled nursing or medical care and related services;
Rehabilitation needed due to injury, disability, or illness;
Long term care —health-related care and services (above the level of room and board) not available in the community, needed regularly due to a mental or physical condition.
Facilities have been designated as such in this list by presence of Skilled, Intermediate or Sheltered Beds.",IDPH - Skilled Nursing Facilities (Nursing Homes),"[u'skilled nursing facilities', u'nursing homes']",Dataset,6731.0,0.0757961353092203
Transportation,This coverage contains a highway Annual Average Daily Traffic (AADT) subset of the information included in the IDOT Illinois Highway Information System (IHIS) -- Illinois Roadway Information System (IRIS). Information is collected for all public highways as defined in Illinois Compiled Statutes (605 ILCS 5/2-202).,IDOT Average Annual Daily Traffic 2010,"[u'traffic', u'count']",Dataset,6472.0,0.0728796000180172
Public Health,"Asbestos Licensed Contractors are responsible for conducting asbestos abatement projects. All contractors who conduct asbestos abatement projects must have current insurance and are required to be licensed
Last Updated: March 2016",IDPH ASBESTOS LICENSED CONTRACTORS,"[u'asbestos', u'contractors', u'idph', u'license']",Dataset,5894.0,0.06637088419440566
Public Health,The dataset provides information on upcoming plumbing continuing education courses that licensees may attend to fulfill the requirements of the Illinois Plumbing Code.  Last Updated March 2016.,Plumbing Continuing Education Listing,"[u'plumbing', u'plumbers', u'continuing education']",Dataset,5712.0,0.06432142696274942
Public Health,"Last Updated June 2016.
This list contains those individuals and companies that are deemed to be pre-qualified for the design and construction of swimming facilities in Illinois.  Renewal of this certification is required annually.","List of Pre-Qualified Architects, Engineers and Contractors for Swimming Facilities","[u'pre-qualified', u'engineers', u'architects', u'contractors']",Dataset,5618.0,0.06326291608486104
Public Health,"Last Update:  March 2016
Asbestos Licensed Professionals fall into six major categories. 
o	Supervisors are the Contractor's designees on asbestos abatement projects and are responsible for ensuring that work is conducted in accordance with state and federal regulations. 
o	Project Managers are the building owner's or school district's representative on school projects and are responsible for ensuring that the workers and supervisors are complying with the contract specification and state and federal regulations. Projects Managers are not required to oversee asbestos abatement projects in commercial and public buildings, but if a building owner chooses to have an individual oversee the project, then the Department requires that the person be licensed. 
o	Air Sampling Professionals are responsible for taking air samples to determine the airborne concentration of asbestos inside and outside the work area. The Air Sampling Professional conducts aggressive clearance air monitoring at the end of asbestos abatement projects to ensure that the concentration of asbestos in the air is acceptable for reoccupation of the area. 
o	Project Designers are required to develop project designs for school buildings. The project designers are required to draw up specifications and contracts that contractors must follow to complete an asbestos abatement project that meets state and federal regulations. If a project design is developed for asbestos abatement in commercial and public buildings, then it must be completed by a licensed Project Designer.
o	Inspectors are required to identify asbestos-containing materials by sampling suspected asbestos-containing materials discovered during an inspection. 
o	Management Planners are required to develop management plans based upon information from an Inspector. Each school in Illinois must develop and maintain an asbestos management plan describing the management of the school's asbestos-containing building materials. Commercial and public buildings in Illinois are not required to develop management plans.",IDPH ASBESTOS LICENSED PROFESSIONALS,"[u'asbestos', u'professionals']",Dataset,5443.0,0.06129228413134544
Public Health,This contains the dates of the Pest Control Exam. Last Updated April 2016,Pest Control Exam Calendar,"[u'pest control', u'exam']",Filtered View,5397.0,0.06077428944642133
Municipality,2013 employee total compensation,2013 Salary Reporting,[u'rockford'],Dataset,5359.0,0.06034638079365794
Social/Healthcare,Current as of July 2016,IDPH Home Nursing Agencies,"[u'nursing', u'home']",Dataset,5030.0,0.0566415927210486
Public Health,"This dataset provides Continuing Education opportunities for the Private Sewage licensees including Portable Sanitation, Installation & Pumping Contractors.  Last Update April 2016",Continuing Education Calendar for Private Sewage,"[u'continuing education', u'private sewage']",Calendar,4563.0,0.05138282059366695
Transportation,Information for all seven Tollway Oases on the Illinois Tollway system including location and vendors,ISTHA - Tollway Oasis Map,"[u'tollway', u'istha', u'oasis', u'oases', u'restaurant']",Map,4210.0,0.04740777442457547
Health-Medicaid,,2012 Provider- Level Data,"[u'hfs', u'medicaid', u'health']",Dataset,3886.0,0.04375929012206657
Public Health,"This schedule provide the dates, location and hours of continuing education opportunities for Pest Control professionals
Updated May 2016",Calendar of Scheduled Pest Control Seminars,"[u'pest control', u'continuing education']",Filtered View,3713.0,0.04181117967659114
Public Health,Current as of July 2016,IDPH Rural Health Center Directory,"[u'rural', u'health', u'rhc']",Dataset,3593.0,0.04045988919418044
