category,descrip,name,topics,type,views,views_norm
Economy,This dataset contains Iowa unemployment insurance benefit payments and number of benefit recipients by county. County data is based on the recipient’s place of residence. (Annual),Unemployment Insurance Recipients and UI Benefit Payments by County (Annual),"[u'unemployment insurance', u'benefits', u'ui', u'county', u'recipients']",Dataset,5227.0,1.0
Economy,"This dataset contains an annual summary of the statewide Unemployment Insurance claims and payment activities. This data is based on the ETA-5159 report that IWD submits to the US Department of Labor, Employment and Training Administration. (The number of UI recipients is the only exception.)",Unemployment Insurance Claims And Payments (Statewide - Annual),"[u'unemployment insurance', u'benefits', u'ui', u'claims', u'initial claims']",Dataset,2644.0,0.5058350870480199
Government,"The dataset contains the name, gender, county or city of residence (when possible), official title, total salary received during each fiscal year, base salary for the employee, and traveling and subsistence expense reimbursed to state personnel.
A status of ""TERMINATED"" in the column providing the base salary does not indicate that the employee was fired, only that the person no longer works in that position.",State of Iowa Salary Book,"[u'state employees', u'salaries', u'travel reimbursements', u'subsistence expense', u'salary book']",Dataset,1866.0,0.3569925387411517
Government,This dataset contains payment transactions recorded in the State’s central accounting system for the Executive Branch.  Please visit Iowa's Open Checkbook at http://checkbook.iowa.gov to explore this dataset more extensively.,State of Iowa Checkbook,"[u'checkbook', u'expenditures', u'payments', u'vendors']",Dataset,1711.0,0.32733881767744405
Government,"The Iowa Department of Management is responsible for implementing and administering the state's Performance Management System established in 2001 through the Iowa Accountable Government Act. Iowa's performance management system provides a framework for actively using performance data to improve state government results so we can better serve customers. This framework ensures executive branch state agencies have sound performance planning and reporting, strategic planning and proven results.   Agency strategic plans identify essential goals, strategies, and measures to guide progress in achieving the department's vision and mission as well as define how the agency contributes to achievement of the enterprise goals.  Agency performance plans look at the agency's mission (the purpose or why the agency exists) and define the operations (core functions and key services, products and/or activities) that are in place to achieve that mission.  Agency performance reports compare actual performance with projected levels for key areas outlined in the agency strategic plan and the agency performance plan.  Agency performance plans are due to the Iowa Department of Management on December 15th for the preceding fiscal year.",State of Iowa Accountable Government Act Reports and Plans,"[u'state agencies', u'performance reports', u'performance plans', u'strategic plans', u'aga']",Dataset,1501.0,0.2871628084943562
Environment,Locations for completed and active watershed projects administered by Iowa Department of Agriculture and Land Stewardship,Active and Completed Watershed Projects - IDALS,"[u'watersheds', u'wirb', u'wspf', u'wpf', u'wqi']",Map,1153.0,0.22058542184809643
Government,"This dataset includes Investments made by Iowa Finance Authority in the State of Iowa. The data includes investment amounts and quantity by program by Fiscal year and is broken out by County, Congressional District, and Council of Government. The Investments vary by program and include Grant Recipients, Loan Agreements, Counseling Sessions, Rental Units, and Title Certificates.","IFA Investments by Fiscal Year, Program and County","[u'investments', u'grants', u'loan agreements', u'couseling sessions', u'rental units']",Dataset,937.0,0.17926152668834897
Economy,"This dataset provides final seasonally adjusted employment estimates for the State of Iowa. Iowa's estimate contained in this dataset is broken into the following ""expanded"" supersectors:
    Goods-Producing: Construction, Manufacturing, and Mining and Logging
    Service-Providing: Education and Health Services, Financial Activities, Information, Leisure and Hospitality, Other Services, Professional and Business Services, Retail Trade, Transportation and Utilities, and Wholesale Trade
    Government: Federal Government, State Government, and Local Government
Seasonal adjusted estimates help eliminate sharp fluctuations in employment levels due to such seasonal events as changes in weather, reduced or expanded production, harvests, major holidays, and the opening and closing of schools. Adjusting the estimates to eliminate the seasonal events that tend to follow a regular pattern each year, make it easier to observe cyclical and other nonseasonal movements in the data. More information on the seasonal adjustment process can be found on the Bureau of Labor Statistics website: http://www.bls.gov/sae/790faq2.htm#Ques3.",Iowa Seasonally Adjusted Non-Farm Employment by Month and Industry,"[u'non-farm', u'service-providing', u'government', u'goods-producing', u'seasonally adjusted']",Dataset,934.0,0.17868758370001914
Public Safety,"This dataset contains de-identified individual offender data for those serving in Iowa Penitentiaries and Correctional Facilities. Dataset includes information regarding age, gender, race, years served, and offense committed. It also identifies whether the individual is serving a life sentence.",Iowa Prison Population,"[u'prison population', u'offender demographics']",Dataset,932.0,0.17830495504113258
Government,"This dataset provides summarized data for all expenditures from July 2003 through the current fiscal year, year to date, from the State's central accounting system. The state fiscal year runs from July 1 to the following June 30 and is numbered for the calendar year in which it ends. The State of Iowa operates on a modified accrual basis which provides that encumbrances on June 30 must be paid within 60 days after year end. The expenditures are summarized by Fiscal Year, Month, Fund, Appropriation, Department, Unit, and Object Class.",State of Iowa Expenditures,"[u'expenditures', u'actuals', u'financial']",Dataset,908.0,0.17371341113449398
