category,descrip,name,topics,type,views,views_norm
,,"Governor - General Election, 2012",[],Chart,35347.0,1.0
,,"Governor table - General Election, 2012",[],Filtered View,35045.0,0.9914561348912213
,,"Referendum 74 - General Election, 2012",[],Chart,25818.0,0.7304155939683707
,,"Referendum 74 table - General Election,2012",[],Filtered View,25659.0,0.725917333861431
Government,Ballot drop box and van locations and dates for the April 2014 election.,August Primary 2014 : Where to Return Ballots,"['special election', 'april 2014', '2014', 'ballot return']",Map,22898.0,0.6478060372874643
Government,,Aug 2013 Primary : Seattle Mayor,"['primary results', '2013 primary', 'primary', 'results', 'elections']",Chart,20767.0,0.5875180354768439
Government,Ballot drop box and van locations and dates for the April 2014 election.,April 2014: Where to Return Ballots,"['special election', 'april 2014', '2014', 'ballot return']",Map,19798.0,0.5601041106741732
Government,,August 2014 primary - ecanvass - no PCO data,['elections'],Dataset,18111.0,0.5123772880301015
Government,"Ecanvass results by precinct; updated Dec. 11, 2013 to reflect recount for Auburn City Council Position No. 6 and SeaTac Proposition No. 1.",Ecanvass - November 2013 General Election,"['ecanvass', 'election']",Dataset,17300.0,0.48943333239030185
Government,August 2013 Primary ECanvass,August 2013 Primary ECanvass,"['2013 result', 'election', 'ecanvass', '2013 primary election']",Dataset,16556.0,0.468384870003112
Government,"eCanvass for April 22, 2014 special election; King County results only. More info here: http://1.usa.gov/1mwntU6",April 2014 Special Election - eCanvass,"['2014', 'elections', 'king county']",Dataset,15706.0,0.44433756754462894
,,"Initiative 502 - General Election, 2012",[],Chart,14115.0,0.39932667553116247
Government,August 2013 Primary ECanvass,seattle primary precinct,"['2013 result', 'election', 'ecanvass', '2013 primary election']",Filtered View,14006.0,0.3962429626276629
,,Initiative 502 table - General Election 2012,[],Filtered View,13940.0,0.39437576031912186
Government,"Ecanvass results by precinct; updated Dec. 11, 2013 to reflect recount for Auburn City Council Position No. 6 and SeaTac Proposition No. 1.",2013 Initiative 522 King County Precinct by Precinct,"['ecanvass', 'election']",Filtered View,13119.0,0.3711488952386341
Government,Nov 2016 Election night abstract by precinct,Nov 2016 Election night abstract by precinct,[],Dataset,12669.0,0.3584179704076725
Government,,ecanvass for November 2014 General Election,"['king county', '2014', 'elections']",Dataset,12057.0,0.34110391263756473
,,"Initiative 1240 - General Election, 2012",[],Chart,12024.0,0.3401703114832942
,,"Initiative 1240 table - General Election, 2012",[],Filtered View,12024.0,0.3401703114832942
,,"President-General Election, 2012",[],Filtered View,11956.0,0.33824652728661553
,,"President - General Election, 2012",[],Chart,11919.0,0.3371997623560698
Government,,zzz,"['king county', '2014', 'elections']",Filtered View,11173.0,0.31609471808074235
Government,,eCanvass - November 2015 General Election,['election'],Dataset,11120.0,0.3145952980450958
Government,,"2016 Primary, election night abstract by precinct",['election results'],Dataset,10700.0,0.30271310153619824
Government,,August 2016 ECanvass,[],Dataset,10692.0,0.3024867739836478
Government,August 2015 Primary Election ecanvass,August 2015 Primary Election ecanvass,[],Dataset,10336.0,0.29241519789515374
Government,eCanvass (precinct-by-precinct data),"February 2016 election, ecanvass","['king county', 'elections']",Dataset,10156.0,0.28732282796276915
Government,,Election Results Schedule,[],Calendar,10085.0,0.28531417093388406
Government,,Ecanvass - May 2016 presidential primary election,"['2016', 'king county', 'election']",Dataset,9991.0,0.2826548221914165
Government,"eCanvass for April 22, 2014 special election; King County results only. More info here: http://1.usa.gov/1mwntU6",Move King County Now,"['2014', 'elections', 'king county']",Filtered View,9919.0,0.2806178742184627
,,"Attorney General table - General Election, 2012",[],Filtered View,9839.0,0.27835459869295837
Government,Zero report,KC Transportation District Results,"['results', 'april 2014', 'elections']",Chart,9314.0,0.2635018530568365
Government,Zero report,LW School District Results,"['results', 'april 2014', 'elections']",Chart,9276.0,0.26242679718222195
Government,August 2013 Primary ECanvass,Council 2,"['2013 result', 'election', 'ecanvass', '2013 primary election']",Filtered View,8798.0,0.24890372591733387
Government,,lorn,['election'],Filtered View,8764.0,0.24794183381899454
Government,August 2013 Primary ECanvass,Chase 1,"['2013 result', 'election', 'ecanvass', '2013 primary election']",Filtered View,8700.0,0.24613121339859112
Government,"Ecanvass results by precinct; updated Dec. 11, 2013 to reflect recount for Auburn City Council Position No. 6 and SeaTac Proposition No. 1.",Sawant,"['ecanvass', 'election']",Filtered View,8694.0,0.2459614677341783
Government,"Ecanvass results by precinct; updated Dec. 11, 2013 to reflect recount for Auburn City Council Position No. 6 and SeaTac Proposition No. 1.",Peters,"['ecanvass', 'election']",Filtered View,8458.0,0.23928480493394064
