category,descrip,name,topics,type,views,views_norm
Operations,Master calendar for King County events,"Home page events, list view",['calendar'],Filtered View,360012.0,1.0
Pets,The following cities issue their own pet licenses. Please contact them directly for pet license information if you live within their city limits.,King County cities that issue their own pet licenses,['pet pets animal license tag tags'],Dataset,210717.0,0.5853054898170061
Jail,"The Jail Bookings Open Data dataset is provided by the King County Department of Adult and Juvenile Detention. The dataset contains adult jail bookings which have occurred within the last twelve months; specific dates are indicated on the web site. 
The data provided is a snapshot and is current as of the date and time it was extracted from the jail management systems. Every effort has been made to ensure the accuracy of data listed at the time of extraction. Updates, corrections, and additions may have occurred since the extraction date and time. 
This dataset provides information associated with the booking of an individual into a King County jail facility, and not with any court cause, case, or criminal filing pursuant to the booking event. This information does not reflect the criminal history or criminal status of any inmate currently or previously in custody. 
Current information about a specific booking event can be obtained by calling the Department of Adult and Juvenile Detention at (206) 296-1234 or by visiting our Jail Inmate Lookup Service (JILS). http://ingress.kingcounty.gov/inmatelookup/","Adult Jail Booking June 1, 2016 to May 31, 2017 as of June 6, 2017","['jail inmate', 'dajd']",Dataset,133997.0,0.37220148217281646
Health,"Health Department inspection results for food service establishments in King County, 2006 to the present. This data is organized by Business / Inspection Date / Violation. Each row in this dataset is an inspection, and if an inspection at a particular buiness results in multiple violations there will be multiple rows for that business with the same Inspection_Serial_Num. This dataset was last updated on 06/06/2017 and is current from 1/1/2006 to 06/03/2017.",Food Establishment Inspection Data,"['food safety', 'closures', 'violations', 'restaurant inspections', 'health']",Dataset,115505.0,0.32083652767129983
Election results,November 2010 election; final/official results by precinct.,2010 General - Election Results by precinct (complete eCanvass dataset),"['ecanvass', 'precinct', 'results', 'elections', 'general']",Dataset,102545.0,0.28483772763130116
Jail,"The Jail Bookings Open Data dataset is provided by the King County Department of Adult and Juvenile Detention. The dataset contains adult jail bookings which have occurred within the last twelve months; specific dates are indicated on the web site. 
The data provided is a snapshot and is current as of the date and time it was extracted from the jail management systems. Every effort has been made to ensure the accuracy of data listed at the time of extraction. Updates, corrections, and additions may have occurred since the extraction date and time. 
This dataset provides information associated with the booking of an individual into a King County jail facility, and not with any court cause, case, or criminal filing pursuant to the booking event. This information does not reflect the criminal history or criminal status of any inmate currently or previously in custody. 
Current information about a specific booking event can be obtained by calling the Department of Adult and Juvenile Detention at (206) 296-1234 or by visiting our Jail Inmate Lookup Service (JILS). http://ingress.kingcounty.gov/inmatelookup/","Names, dates, charges","['jail inmate', 'dajd']",Filtered View,99581.0,0.27660466873326445
Election results,November 2012 general election; final/official results by precinct.,2012 General - Election Results by precinct (complete eCanvass dataset),"['ecanvass', 'precinct', 'results', 'elections', 'general']",Dataset,96813.0,0.26891603613212894
Election results,August 2010 primary election; final/official results by precinct.,2010 Primary - Election Results by precinct (complete eCanvass dataset),"['ecanvass', 'precinct', 'results', 'elections', 'primary']",Dataset,96758.0,0.268763263446774
Election results,August 2012 primary election; final/official results by precinct.,2012 Primary - Election Results by precinct (complete eCanvass dataset),"['ecanvass', 'precinct', 'results', 'elections', 'primary']",Dataset,95180.0,0.26438007621968157
Election results,November 2009 general election; final/official results by precinct.,2009 General - Election Results by precinct (complete eCanvass dataset),"['ecanvass', 'precinct', 'results', 'elections', 'general']",Dataset,94514.0,0.26253013788429275
