category,descrip,name,topics,type,views,views_norm
Purchasing,Financial Data for the Checkbook Explorer. Data since Fiscal Year 2012.,eCheckbook Data,"['agencies', 'vendors', 'expenditures', 'echeckbook', 'checkbook']",Dataset,19745.0,1.0
Budget,"City Budget, Adjustments and Expenditures since Budget Fiscal Year 2012. Financial data is shown by Budget Fiscal Year.",City Budget Expenditures,"['expenditures', 'account', 'appropriation', 'expenditure', 'budget']",Dataset,5846.0,0.29607495568498354
Audits and Reports,"Balance of all Funds for the City of Los Angeles. Includes General Fund, Reserve Fund, Budget Stabilization Fund, and Special Funds.",Balance of All City Funds,"['cafr statistical section', 'activity type', 'asset type group', 'asset type', 'net position']",Dataset,4978.0,0.2521144593567992
Purchasing,"Expenditures by the Neighborhood Councils for Fiscal Year 2014 (July 1 2013 - June 30 2014)
Information provided by the Department of Neighborhood Empowerment",Neighborhood Council Expenditures for Fiscal Year 2014,"['neighborhood', 'ncs', 'done', 'expenditures', 'neighborhood council']",Dataset,4968.0,0.25160800202582934
Purchasing,Financial Data for the Checkbook Explorer since Fiscal Year 2012.,Top City Vendors,"['agencies', 'vendors', 'expenditures', 'echeckbook', 'checkbook']",Chart,3611.0,0.18288174221321854
Finance,"General Fund Budget, Adjustments and Expenditures beginning Fiscal Year 2012 through September of Fiscal Year 2014",FY2013 General Fund Expenditures by Account Name,"['account', 'appropriation', 'expenditure', 'budget', 'general fund']",Chart,3565.0,0.18055203849075716
Purchasing,"For expenditures prior to July 1, 2014, please visit this dataset: http://controllerdata.lacity.org/resource/f2ec-m4t9
Beginning in 2014, each Neighborhood Council has been given a checking account as part of a new funding model for NC's. This dataset contains the information about each Neighborhood Council's expenditures from those checking accounts. For more information, see the User Guide here: http://empowerla.org/wp-content/uploads/2012/10/NC-Checking-Account-Core-Guide-7-1-14-1.pdf",Neighborhood Council Checking Account Expenditures for Fiscal Year 2015,"['community development', 'community', 'neighborhood', 'neighborhood council', 'neighborhood empowerment']",Dataset,3344.0,0.16935933147632312
Revenue,"City revenue including adopted, amended, budgeted and revenue collected since fiscal year 2012. Data is updated monthly.",City Revenue,"['budget', 'revenues', 'general fund', 'revenue']",Dataset,3153.0,0.1596859964547987
Finance,"Financial Data for the Checkbook Explorer. Data from June 2011 - October 30, 2013.",External Vendor Payments Authorized by Contract,"['agencies', 'vendors', 'expenditures', 'echeckbook', 'checkbook']",Filtered View,3130.0,0.158521144593568
Finance,"Financial Data for the Checkbook Explorer. Data from June 2011 - January 31, 2014.",Police Expenditures,"['agencies', 'vendors', 'expenditures', 'echeckbook', 'checkbook']",Filtered View,3049.0,0.15441884021271207
Payroll,"Payroll information for all Los Angeles City Departments since 2013. Data for calendar years, updated on a quarterly basis by the Los Angeles City Controller's Office.",Top City Earners,"['overtime', 'healthcare', 'bonuses', 'personnel', 'payroll']",Chart,2854.0,0.1445429222587997
Finance,Financial Data for the Checkbook Explorer,Vendor count,"['agencies', 'vendors', 'expenditures', 'echeckbook', 'checkbook']",Filtered View,2754.0,0.13947834894910105
Payroll,"Payroll information for all Los Angeles City Departments since 2013. Data for calendar years, updated on a quarterly basis by the Los Angeles City Controller's Office.",Payroll by Job Class,"['overtime', 'healthcare', 'bonuses', 'personnel', 'payroll']",Filtered View,2731.0,0.13831349708787036
