category,descrip,name,topics,type,views,views_norm
Police,Calls for Service;  Type of Call; Descriptions; Date/Time; Location by 100 block; Incident Number,Map: Madison Police Calls for Service,['madison police department calls for service'],Map,20279.0,1.0
Property,"Parcels; Property Value; Property Information: Zoning; Property Class; Water Frontage; Assessment Area; TIF District; Frontage; Residential Building Information:  Home-Style; Stories; Year Built; Number of Garages; Driveway; Roof type and replacement; Interior Information: Number of bedrooms, Full Baths, Half Baths, Fireplaces; Living Areas: Floor and Size of rooms in square feet; Other Structures; Mechanicals.",Assessor Property Information,"['zoning', 'property information', 'property value', 'parcels', 'commercial property information']",Dataset,17768.0,0.8761773262981409
Police,Incidents listed are selected by the Officer In Charge of each shift that may have significant public interest. Incidents listed are not inclusive of all incidents.,Police Incident Reports,"['incidents', 'police']",Dataset,11324.0,0.5584101780166675
Police,Type of Call; Date/Time; Location by 100 block; Incident Number,Madison Police Calls for Service,['madison police department calls for service'],Dataset,10205.0,0.5032299423048474
Parks & Recreation,Street tree inventory was completed over 5 years. The diameter is approximate.,"Madison, Wisconsin Street Tree Map and Table View",[],Map,6874.0,0.33897134967207454
Property,Improved Commercial Sales Determined to be Arms-Length and Verified by Assessor's Office Staff; Information is subject to change upon further review by appraisal staff; Area; Parcel Number; Situs; Grantor; Sale Date; Sale Price; Description of Sale,Map: Commercial Land Sales,[],Map,4590.0,0.2263425218206026
Events,"Date, Location, Categories: City Event, Elections, Environment, Holiday, City Offices Closed, Informational Meetings, Listening Session, Neighborhood Event/Meeting, Parks Events, Public Hearing/Meeting, Safety & Wellness, Seniors, Task Force; Cost; Aldermanic District; Contacts; Description of Event",City Calendar of Events,"['task force', 'seniors', 'safety & wellness', 'public hearing/meeting', 'parks events']",Dataset,3989.0,0.19670595197001825
Police,October Calls for Service;  Type of Call; Descriptions; Date/Time; Location by 100 block; Incident Number,Total Incidents by Type,['madison police department calls for service'],Filtered View,3874.0,0.19103506090043887
Police,Type of Call; Date/Time; Location by 100 block; Incident Number,Police Calls for Service Map - Point,['madison police department calls for service'],Map,3756.0,0.18521623354208788
City Facilities,"City of Madison streets with pavement data including functional class, pavement rating, length and others.",Pavement Data,"['functional class', 'rating', 'pavement', 'street']",Dataset,3644.0,0.17969327876128013
Police,Calls for Service;  Type of Call; Descriptions; Date/Time; Location by 100 block; Incident Number,UW-Madison Campus Area,['madison police department calls for service'],Map,3470.0,0.17111297401252526
Police,Calls for Service;  Type of Call; Descriptions; Date/Time; Location by 100 block; Incident Number,6/11/13,['madison police department calls for service'],Filtered View,3189.0,0.15725627496424874
Property,"Parcels; Property Value; Property Information: Zoning; Property Class; Water Frontage; Assessment Area; TIF District; Frontage; Residential Building Information:  Home-Style; Stories; Year Built; Number of Garages; Driveway; Roof type and replacement; Interior Information: Number of bedrooms, Full Baths, Half Baths, Fireplaces; Living Areas: Floor and Size of rooms in square feet; Other Structures; Mechanicals.",prop,"['zoning', 'property information', 'property value', 'parcels', 'commercial property information']",Filtered View,3121.0,0.15390305241875832
Police,Calls for Service;  Type of Call; Descriptions; Date/Time; Location by 100 block; Incident Number,SASYNA Police Calls for Service,['madison police department calls for service'],Map,3053.0,0.15054982987326793
Property,"Parcels; Property Value; Property Information: Zoning; Property Class; Water Frontage; Assessment Area; TIF District; Frontage; Residential Building Information:  Home-Style; Stories; Year Built; Number of Garages; Driveway; Roof type and replacement; Interior Information: Number of bedrooms, Full Baths, Half Baths, Fireplaces; Living Areas: Floor and Size of rooms in square feet; Other Structures; Mechanicals.",Property Styles and Ages,"['zoning', 'property information', 'property value', 'parcels', 'commercial property information']",Filtered View,3022.0,0.14902115488929435
Police,Calls for Service;  Type of Call; Descriptions; Date/Time; Location by 100 block; Incident Number,UW-Madison Campus Area 2,['madison police department calls for service'],Map,3000.0,0.14793628877163567
Events,"Date, Location, Categories: City Event, Elections, Environment, Holiday, City Offices Closed, Informational Meetings, Listening Session, Neighborhood Event/Meeting, Parks Events, Public Hearing/Meeting, Safety & Wellness, Seniors, Task Force; Cost; Aldermanic District; Contacts; Description of Event",City Events Calendar View,"['task force', 'seniors', 'safety & wellness', 'public hearing/meeting', 'parks events']",Calendar,2890.0,0.14251195818334236
Police,Incidents listed are selected by the Officer In Charge of each shift that may have significant public interest. Incidents listed are not inclusive of all incidents.,Incident Reports 2013,"['incidents', 'police']",Filtered View,2847.0,0.14039153804428225
Property,Vacant Commercial Sales Determined to be Arms-Length and Verified by Assessor's Office Staff.,Map: Vacant Land Sales,[],Map,2826.0,0.13935598402288082
Police,Incidents listed are selected by the Officer In Charge of each shift that may have significant public interest. Incidents listed are not inclusive of all incidents.,PoliceReports,"['incidents', 'police']",Filtered View,2726.0,0.13442477439715964
Property,"Parcels; Property Value; Property Information: Zoning; Property Class; Water Frontage; Assessment Area; TIF District; Frontage; Residential Building Information:  Home-Style; Stories; Year Built; Number of Garages; Driveway; Roof type and replacement; Interior Information: Number of bedrooms, Full Baths, Half Baths, Fireplaces; Living Areas: Floor and Size of rooms in square feet; Other Structures; Mechanicals.",Performance,"['zoning', 'property information', 'property value', 'parcels', 'commercial property information']",Filtered View,2311.0,0.11396025445041669
Property,"Parcels; Property Value; Property Information: Zoning; Property Class; Water Frontage; Assessment Area; TIF District; Frontage; Residential Building Information:  Home-Style; Stories; Year Built; Number of Garages; Driveway; Roof type and replacement; Interior Information: Number of bedrooms, Full Baths, Half Baths, Fireplaces; Living Areas: Floor and Size of rooms in square feet; Other Structures; Mechanicals.",parcels,"['zoning', 'property information', 'property value', 'parcels', 'commercial property information']",Map,2307.0,0.11376300606538783
Events,"Date, Location, Categories: City Event, Elections, Environment, Holiday, City Offices Closed, Informational Meetings, Listening Session, Neighborhood Event/Meeting, Parks Events, Public Hearing/Meeting, Safety & Wellness, Seniors, Task Force; Cost; Aldermanic District; Contacts; Description of Event",Parks Events Calendar View,"['task force', 'seniors', 'safety & wellness', 'public hearing/meeting', 'parks events']",Calendar,1879.0,0.09265742886730115
Property,"Parcels; Property Value; Property Information: Zoning; Property Class; Water Frontage; Assessment Area; TIF District; Frontage; Residential Building Information:  Home-Style; Stories; Year Built; Number of Garages; Driveway; Roof type and replacement; Interior Information: Number of bedrooms, Full Baths, Half Baths, Fireplaces; Living Areas: Floor and Size of rooms in square feet; Other Structures; Mechanicals.",parcel,"['zoning', 'property information', 'property value', 'parcels', 'commercial property information']",Map,1795.0,0.08851521278169534
Property,Improved Commercial Sales Determined to be Arms-Length and Verified by Assessor's Office Staff; Information is subject to change upon further review by appraisal staff; Area; Parcel Number; Situs; Grantor; Sale Date; Sale Price; Description of Sale,Commercial Land Sales,[],Dataset,1576.0,0.07771586370136595
Polling Places,Ward; Aldermanic District; Polling Place; Polling Place Address; Handicap Accessible; Comments about location of polling place in building.,Polling Places,[],Dataset,1526.0,0.07525025888850535
Property,Tax by parcel,2015 Tax Roll,"['parcel', 'tax']",Dataset,1445.0,0.07125597909167118
Property,"Parcels; Property Value; Property Information: Zoning; Property Class; Water Frontage; Assessment Area; TIF District; Frontage; Residential Building Information:  Home-Style; Stories; Year Built; Number of Garages; Driveway; Roof type and replacement; Interior Information: Number of bedrooms, Full Baths, Half Baths, Fireplaces; Living Areas: Floor and Size of rooms in square feet; Other Structures; Mechanicals.",37 A,"['zoning', 'property information', 'property value', 'parcels', 'commercial property information']",Filtered View,1415.0,0.06977661620395482
Property,"Updated week days. Parcels; Property Value; Property Information: Zoning; Property Class; Water Frontage; Assessment Area; TIF District; Frontage; Residential Building Information:  Home-Style; Stories; Year Built; Number of Garages; Driveway; Roof type and replacement; Interior Information: Number of bedrooms, Full Baths, Half Baths, Fireplaces; Living Areas: Floor and Size of rooms in square feet; Other Structures; Mechanicals.",ressel,"['zoning', 'property information', 'property value', 'parcels', 'commercial property information']",Filtered View,1358.0,0.06696582671729376
Property,"Updated week days. Parcels; Property Value; Property Information: Zoning; Property Class; Water Frontage; Assessment Area; TIF District; Frontage; Residential Building Information:  Home-Style; Stories; Year Built; Number of Garages; Driveway; Roof type and replacement; Interior Information: Number of bedrooms, Full Baths, Half Baths, Fireplaces; Living Areas: Floor and Size of rooms in square feet; Other Structures; Mechanicals.",res,"['zoning', 'property information', 'property value', 'parcels', 'commercial property information']",Filtered View,1327.0,0.06543715173332018
Parks & Recreation,Street tree inventory was completed over 5 years. The diameter is approximate.,200 Division,[],Map,1285.0,0.06336604369051728
Parks & Recreation,Street tree inventory was completed over 5 years. The diameter is approximate.,Tree Map 3,[],Map,1281.0,0.06316879530548844
Parks & Recreation,Street tree inventory was completed over 5 years. The diameter is approximate.,Tree Map4,[],Map,1271.0,0.06267567434291632
Police,Calls for Service;  Type of Call; Descriptions; Date/Time; Location by 100 block; Incident Number,Bryan St.,['madison police department calls for service'],Map,1245.0,0.06139355984022881
Parks & Recreation,Street tree inventory was completed over 5 years. The diameter is approximate.,TreeMap2,[],Map,1226.0,0.06045663001134178
Parks & Recreation,Street tree inventory was completed over 5 years. The diameter is approximate.,Tree Map1,[],Map,1216.0,0.05996350904876966
Police,Calls for Service;  Type of Call; Descriptions; Date/Time; Location by 100 block; Incident Number,northport incidents,['madison police department calls for service'],Map,1210.0,0.059667636471226394
Parks & Recreation,Street tree inventory was completed over 5 years. The diameter is approximate.,Tree Map 3,[],Map,1205.0,0.059421075989940335
Police,Calls for Service;  Type of Call; Descriptions; Date/Time; Location by 100 block; Incident Number,Union Triangle Madison Police Calls for Service,['madison police department calls for service'],Map,1199.0,0.05912520341239706
