category,descrip,name,topics,type,views,views_norm
Budget,"This dataset contains summary information on payments made to vendors that received $25,000 or more in fiscal year 2012.  The data is also published and searchable online on the www.spending.dbm.maryland.gov website.",Maryland Funding FY12 Payments Data,"['payments', 'vendor', 'budget', 'spending']",Dataset,48423.0,1.0
Public Safety,Collisions investigated by the Maryland State Police in 2012 (does not include collisions investigated by local jurisdictions).,2012 Vehicle Collisions Investigated by State Police,"['traffic', 'car', 'accidents', 'collisions', 'vehicle']",Dataset,47489.0,0.9807116452925263
Energy and Environment,"Reported sewer overflows from January 2005 through December 22, 2016.  Although MDE requires that all public sewer system owners or operators report overflows to us, there may be incidents that were not reported. Note that overflow amounts provided by the person reporting the overflow may be estimated using best professional judgment or they may be actual readings from flow measurement devices when available.  
Penalty information started during 2013.",Reported Sewer Overflows,"['mde', 'water quality', 'cso', 'sso', 'sewer overflow']",Dataset,45739.0,0.9445717943952254
Budget,"Payments greater than $25,000 made by State Agencies to Vendors in FY13",FY13 Payments Data,"['vendors', 'fiscal', 'spending', 'budget']",Dataset,13552.0,0.2798670053486979
Transportation,Maryland Port Administration General Cargo Monthly Data for the MPA's public terminals (Souce: Internal MPA data),Maryland Port Administration General Cargo,"['tons', 'teu', 'ro/ro', 'auto', 'container']",Dataset,11821.0,0.2441195299754249
Transportation,"This dataset shows the number of vehicles that have passed under a gantry on that particular day. This dataset does not show trips, it only shows segments. Segments are compiled to make trips. There are 10 gantries on the InterCounty Connector (ICC) and 5 interchanges. 
The eastbound gantries are 101, 105, 107, 109, 113, and the
westbound gantries are 102, 106, 108, 110, 114. 
The dataset has a column for each gantry going east and west, then a total for each gantry. 
The ICC is an all electronic tolling road which opened February 2011. The first opening was a partial opening, with only the first interchange being available for use.There was a free period from February 23, 2011 through March 6, 2011. The rest of the ICC opened in November 2011, and there was another free period from November 22, 2011 through December 4, 2011.
There are a few days where a low number of traffic passed under gantries (rows 196,198, 269,271...), these were either testing periods or construction vehicles.",ICC Vehicle Volume Data,"['vehicles', 'segments', 'transportation', 'mdta', 'icc']",Dataset,9983.0,0.20616236086157405
Energy and Environment,"This is statewide digital watershed data. This file depicts the State with 138 separate watersheds each with an 8-digit numeric code. This file was created primarily for State and Federal agency use.  The creation of this file goes back many years and involved several State and Federal agencies. This file was derived from a more detailed watershed file (Maryland's Third-Order Watershed).  The U.S. Natural Resources Conservation Service (NRCS) redefined the third order watersheds creating the HUA14 file. The process used to create this file is consistent with the elevation contour information found on the US Geological Survey's 7.5 minute topographic quadrangle maps and the Maryland Department of the Environment's watershed location and naming conventions.  This file is similar, but not identical, to the US Natural Resources Conservation Service's (NRCS) Hydrologic Unit Code (HUC11) watershed file. The watersheds define Strahler (Strahler 1952 p.1120) third order stream drainage by contours on U.S. Geological Survey (USGS) 7.5 minute quadrangle map sheets.  Some watershed drainage areas were defined for streams less than third order and some large area Watersheds were split to maintain a maximum size of 15,000 acres. This watershed data is used by many state and local government agencies to accurately locate and report many landscape activities by watershed in Maryland.",Maryland's 8 Digit Sub-Watersheds,"['8 digit watersheds', 'water', 'watersheds']",Map,9711.0,0.200545195464965
Budget,"This dataset contains summary information on payments made to vendors that received $25,000 or more in fiscal year 2012.  The data is also published and searchable online on the www.spending.dbm.maryland.gov website.",Maryland Funding FY11 Payments Data,"['payments', 'vendor', 'budget', 'spending']",Dataset,9499.0,0.19616711067054912
Agriculture,This dataset shows all licensed veterinarians in Maryland for FY 2014. Data are provided by MDA.,Licensed Veterinarians Statewide,"['animal', 'cat', 'dog', 'maryland department of agriculture', 'mda']",Dataset,9402.0,0.19416393036367016
Budget,"Summary information of payments to vendors that received $25,000 or more for a respective fiscal year also published on spending.dbm.maryland.gov website..",Maryland Funding FY09 Payments Data,"['payments', 'vendor', 'budget', 'spending']",Dataset,9002.0,0.18590339301571568
