category,descrip,name,topics,type,views,views_norm
Transportation,"This dataset includes parking spaces availability for Montgomery County Public Parking Facilities. This dataset only includes facilities that are equipped with vehicle counting systems.
Update frequency:  Every few minutes",Parking Garage Space Availability,"['public facility', 'cehicle counting', 'space available', 'garage', 'parking']",Dataset,354728.0,1.0
Environment,This dataset contains leaf collection dates for area and subarea where leaf collection service is provided by Montgomery County Department of Transportation. Update Frequency - Daily (September through December).  Monthly update (January through August) on the first day of each month.,Leaf Collection Posting Log,"['department of transportation', 'schedule', 'log', 'leaf collection']",Dataset,104309.0,0.29405347195597753
Health and Human Services,"The Licensure & Regulatory Services Program inspects all licensed retail food establishments in Montgomery County for a variety of reasons (e.g. obtaining a permit, regular check-ups, or in response to complaints.) Included in this overall surveillance are two types of inspections that are conducted on a routine basis. The first type, a comprehensive inspection, is a thorough inspection that evaluates the sanitation, maintenance, and food service operations for the facility. This inspection includes many of the items found in the monitoring inspection, such as critical temperatures and food handling procedures. The second type, a monitoring inspection, involves checking the food service operation for critical food temperatures, equipment temperatures, and general food handling / cleanliness practices. While monitoring inspections are not as detailed as environmental inspections, they help ensure that the facility is operating safely throughout the year.
The frequency of inspections is based on the food-borne illness risks associated with the food being processed at a facility. Based on the risk each facility is designated as high, medium, or low priority. High priority risk facilities prepare food products a day or more in advance or utilize any combination of two or more processes such as a cooking, cooling, reheating and hot holding food over four hours. Moderate priority risk facilities prepare and cook food products which are served immediately or within four hours. A low priority risk facility serve prepackage foods that are not potentially hazardous.
For high risk facilities, a monitoring inspection is conducted at least twice a year, and moderate risk facilities are inspected at least once a year. High and moderate risk facilities also receive at least one comprehensive inspection every year. Low risk priority facilities typically receive one comprehensive inspection every two years.
(C) Denotes a Critical Violation. A Critical Violation means a food safety requirement that requires immediate correction. Failure for immediate correction results in cessation of some or all food operations or closure of the facility until violation is able to be corrected.
Update Frequency:  Daily",Food Inspection,"['restaurant', 'closures', 'violations', 'inspection', 'food']",Dataset,47269.0,0.1332542116776798
Human Resources,"Annual salary information including gross pay and overtime pay for all active, permanent employees of Montgomery County, MD paid in calendar year 2014. This information will be published annually, by the end of January each year.",Employee Salaries - 2014,"['salary and gender.', 'gross pay', 'overtime', 'employee salaries', 'annual']",Dataset,42008.0,0.11842312983469024
Public Safety,"This dataset provides the public with arrest information from the Montgomery County Central Processing Unit (CPU) systems. The data presented is derived from every booking; criminal, civil and motor vehicle entered through CPU. The data is compiled by ?CRIMS?, a respected jail records-management system used by the Montgomery County Corrections and many other law enforcement agencies. To protect arrestee?s privacy, personal information is redacted. Residential addresses are rounded to the nearest hundred block. All data is refreshed on 2 hour basis to reflect any additions or changes. 
-Information that may include mechanical or human error 
-Arrest information [Note: all arrested persons are presumed innocent until proven guilty in a court of law
- Records will be removed after 30 days.
Update Frequency - every 2 hours",Daily Arrests,"['arrestee', 'arrest', 'daily']",Dataset,29250.0,0.08245754493583816
Government,"Information on all MC311 Service Requests received (via email or phone) since July 1, 2012.  This data is updated daily.
The PIO?s business requirement includes adding the following data elements to the new and enhanced open data site being proposed by DTS.  This data is derived from requests for service which originate in the CSC, from the County?s web portal, and via ?walk-ins? from county departments including but not limited to DHCA.
?	SLA ? to indicate the number of days in county business days the department has to fulfill the request.  County business days must exclude weekends, county holidays and days when the county is closed due to inclement weather (snow days, etc) per CountyStat?s business requirement.  This field has been published in the existing MC311 Service Requests dataset with the field name ?Attached Solution SLA Days?.
?	+/- SLA ?to indicate the number of days a service request is over or under SLA as is currently measured by CountyStat. The following 4 fields will be added to fulfill this line item
?	# of days open ? Number of County Business days the Service Request has been opened.
?	Within SLA Window? - To indicate the number of days a service request is over or under SLA as is currently measured by CountyStat.
?	SLA Yes ? Number of days to fulfill the service request  is under the SLA window.
?	SLA No -? Number of days to fulfill the service request  is over the SLA window.",MC311 Service Requests,"['requests', 'service', '311', 'services', 'mc311']",Dataset,28313.0,0.07981608443652602
Public Safety,"Updated daily postings on Montgomery County?s open data website, dataMontgomery, provide the public with direct access to crime statistic databases - including raw data, mapping and search functions ? of reported County crime. The data presented is derived from reported crimes classified according to Maryland criminal code and documented by approved police incident reports. The data is compiled by ?EJustice?, a respected law enforcement records-management system used by the Montgomery County Police Department and many other law enforcement agencies. To protect victims? privacy, no names or other personal information are released. Residential addresses are rounded to the nearest hundred block. All data is refreshed on a quarterly basis to reflect any changes in status due to on-going police investigation. 
Data Montgomery allows the public to query the Montgomery County Police Department's database of founded crime. The information contained herein includes all founded crimes reported after July 2013 and entered to-date utilizing Incident Based Reporting (IBR) rules. Please note that under IBR rules multiple offenses may appear as part of a single founded reported incident. Please note that these crime reports are based on preliminary information supplied to the Police Department by the reporting parties. Therefore, the crime data available on this web page may reflect:
-Information not yet verified by further investigation
-Addresses that have been rounded may reflect law --enforcement sites that do not represent the incident location.
-Information that may include attempted and reported crime
-Preliminary crime classifications that may be changed at a later date based upon further investigation
-Information that may include mechanical or human error
-Arrest information [Note: all arrested persons are presumed innocent until proven guilty in a court of law
Update Frequency:  Daily",Crime,"['mdcoordinationcrime', 'maryland', 'montgomery', 'arson', 'district']",Dataset,28075.0,0.079145147831578
Human Resources,"Annual salary information including gross pay and overtime pay for all active, permanent employees of Montgomery County, MD paid in calendar year 2015. This information will be published annually, by the end of January each year.",Employee Salaries - 2015,"['salary and gender.', 'gross pay', 'overtime', 'employee salaries', 'annual']",Dataset,26781.0,0.07549728242484383
Government,"Information on all MC311 Service Requests received (via email or phone) since July 1, 2012.  This data is updated daily.",MC311ServiceRequests-API,"['services', 'mc311']",Filtered View,24842.0,0.07003112243747323
Elections,"Map of 2014 early voting locations in Montgomery County as selected October 21, 2013, subject to approval by the Maryland State Board of Elections. For more information, see www.777vote.org.",2014 Early Voting Centers Map,"['vote', 'polling place', 'election']",Map,24831.0,0.07000011276245462
Public Safety,"This dataset contains traffic violation information from all electronic traffic violations issued in the County.  Any information that can be used to uniquely identify the vehicle, the vehicle owner or the officer issuing the violation will not be published.
Update Frequency:  Daily",Traffic Violations,"['electronic issued.', 'violations', 'stop', 'traffic']",Dataset,19497.0,0.05496323943979613
Government,"Pie chart display of all closed MC311 Service Requests received (via email or phone) since July 1, 2012 - grouped by their Solution Topic.",Completed MC311 Service Requests by Topic (since 07/01/2012),"['services', 'mc311']",Chart,15635.0,0.04407602444690016
Government,"The following dataset is a listing of all active County contracts.  This list is updated daily.  Contract spending information can be found at:  https://data.montgomerycountymd.gov/Finance-Tax-Property/Contract-Spending/wv2m-su7v
Update Frequency:  Daily",Contracts,"['contract', 'procurement', 'contracts']",Dataset,8223.0,0.0231811416070905
Health and Human Services,"Rodent and insects violations.

Update Frequency:  Daily",Rodent and Insects Food Inspection Violations,[],Data Lens,8156.0,0.02299226449561354
Licenses/Permits,"Data for all Residential Building Permits issued since 2000, including status and work performed.
Update Frequency:  Daily",Residential Permit,"['residential', 'permits', 'licenses']",Dataset,8034.0,0.022648339009043547
Human Resources,"Annual salary information including gross pay and overtime pay for all active, permanent employees of Montgomery County, MD paid in calendar year 2016. This information will be published annually, by the end of January each year.",Employee Salaries - 2016,"['salary and gender', 'gross pay', 'overtime', 'employee salaries', 'annual']",Dataset,6675.0,0.018817234613563067
Licenses/Permits,"Data for all Electrical Permit applications, including status and work performed.",Electrical Building Permits,"['status', 'residential', 'permit']",Dataset,6631.0,0.018693195913488645
Elections,"2016 early voting locations in Montgomery County as selected April 12th, 2016, subject to approval by the Maryland State Board of Elections. For more information, see www.777vote.org.",2016 Early Voting Centers Map,"['early voting', 'polling', 'voting']",Map,5992.0,0.016891815701044182
Licenses/Permits,"Data for all Commercial Building Permits issued since 2000, including status and work performed.
Update Frequency:  Daily",Commercial Permits,"['permitting', 'commercial', 'permits']",Dataset,5275.0,0.014870548702104148
Licenses/Permits,"Data for all Mechanical Permit applications, including status and work performed.  Update Frequency:  Daily",Mechanical Permits,"['residential', 'permit', 'mechanical']",Dataset,5273.0,0.014864910579373492
Business,"The dataset includes alcohol violations as a result of sale to minor compliance checks, routine inspections and enforcement efforts.
Update Frequency:  Monthly",Alcoholic Beverage License Violations,"['fines', 'violations', 'license', 'alcohol', 'liquor']",Dataset,4853.0,0.013680904805935815
Government,"This dataset includes the Fiscal Year* 2013 Council-approved operating budget for Montgomery County.  The dataset does not include revenues and agency budget information; each agency, such as Montgomery County Public Schools, maintain their individual budget information.   The data can be sorted, filtered, and exported by the following elements:  Function (grouping, such as ?Public Safety?), Department, Program, Cost Center (activity within a program), Fund Type , Fund Subtype, Fund Name, Subfund Name, Personnel & Operating Expenses, Object Name, and Account Name.
*The 12-month period to which the annual operating and capital budgets and their respective appropriations apply.  The Montgomery County fiscal year starts on July 1st and ends on June 30th.
Update Frequency:  Annually",Fiscal Year 2013 Budget,"['fiscal year', 'county budget', 'operating budget', 'budget']",Dataset,4363.0,0.012299564736925193
Public Safety,"Map of updated daily postings on Montgomery County?s open data website, dataMontgomery, provide the public with direct access to crime statistic databases - including raw data, mapping and search functions ? of reported County crime.. The data presented is derived from reported crimes classified according to Maryland criminal code and documented by approved police incident reports. The data is compiled by ?EJustice?, a respected law enforcement records-management system used by the Montgomery County Police Department and many other law enforcement agencies. To protect victims? privacy, no names or other personal information are released. Residential addresses are rounded to the nearest hundred block. All data is refreshed on a quarterly basis to reflect any changes in status due to on-going police investigation.  Update Frequency : Daily.",Countywide Crime Map with Icons,"['arson', 'district', 'assault', 'theft', 'robberies']",Map,3853.0,0.010861843440608015
Public Safety,"This dataset provides the public with arrest information from the Montgomery County Central Processing Unit (CPU) systems. The data presented is derived from every booking; criminal, civil and motor vehicle entered through CPU. The data is compiled by ?CRIMS?, a respected jail records-management system used by the Montgomery County Corrections and many other law enforcement agencies. To protect arrestee?s privacy, personal information is released. Residential addresses are rounded to the nearest hundred block. All data is refreshed on 2 hour basis to reflect any additions or changes. 
-Information that may include mechanical or human error 
-Arrest information [Note: all arrested persons are presumed innocent until proven guilty in a court of law
- Records will be removed after 30 days.
Update Frequency - every 2 hours",Daily Arrests - API,"['arrestee', 'arrest', 'daily']",Filtered View,3754.0,0.010582756365440564
Government,"The Council enacts local public laws for the ?peace, good government, health, and welfare of the county?. The bills dataset contains all legislation considered by the County Council to amend specific sections of the Montgomery County Code. Update Frequency : Daily",Montgomery County Council Legislation - Bills,"['bills', 'council']",Dataset,3442.0,0.00970320921945829
