category,descrip,name,topics,type,views,views_norm
Health,"The Genealogical Research Death Index assists individuals with locating New York State (NYS) death records that fall within defined genealogy years, exclusive of New York City recorded death records. This Index contains information on decedents, date of death, gender, age at death, and NYS file number that will allow the public to search for individuals on a variety of genealogy criteria if on file for at least 50 years.",Genealogical Research Death Index:  Beginning 1957,"['births-deaths-other facts', 'consumer resources', 'genealogy', 'decedents']",Dataset,184174.0,1.0
Health,This data includes the name and location of food service establishments and the violations that were found at the time of their last inspection. This dataset is for reporting purposes only.  Any concerns about individual establishments should be referred to the corresponding Local Health Department. Contact information can be found at http://www.health.ny.gov/environmental/water/drinking/doh_pub_contacts_map.htm,Food Service Establishment: Last Inspection,"['consumer resources', 'community health and chronic disease', 'environmental health', 'public health', 'oph']",Dataset,171609.0,0.9317764722490688
Health,"This map contains the locations of Adult Care Facilities that are currently licensed in New York State. 
New York State, through the New York State Department of Health, licenses and supervises adult care facilities which provide temporary or long-term, non-medical residential care services to adults who are substantially unable to live independently. For more information, check out: https://www.health.ny.gov/facilities/adult_care/. The ""About"" tab contains additional details concerning this dataset.",Adult Care Facility Map,"['facilities and services', 'special needs assisted living residence', 'enriched housing program', 'enhanced assisted living residence', 'census']",Map,154686.0,0.8398905382953077
Health,"The DOH Radon Program contracts with a radon testing laboratory to provide short-term charcoal radon test kits, radon test kit analysis and results to residents.   The contract laboratory provides the radon test results to the individual home owner and the DOH Radon Program. All testing data is entered into our database. From this database, we are able to create radon prevalence maps, design special outreach activities and campaigns, and track the location in the home where the detector was placed.",Radon Test Results By Town: Beginning 1987,"['environmental health', 'public health', 'oph', 'radon', 'town']",Dataset,118797.0,0.6450258994211995
Health,"The boundary map shows radon test results by county. The test results are provided on a monthly basis to the Department of Health?s Radon Program from a contracted radon testing laboratory. The color grading of the counties represent the average radon level of homes tested in the counties.The radon test results illustrated on this map may not be reflective of all radon tests completed in New York State. 
For more information, check out http://www.health.ny.gov/environmental/radiological/radon/radon.htm. The ""About"" tab contains additional details concerning this dataset.",Radon Test Results: 1st Floor by County Map,"['consumer resources', 'county', 'environmental health', 'oph', 'public health']",Map,113226.0,0.6147773301334607
Health,"The DOH Radon Program contracts with a radon testing laboratory to provide short-term charcoal radon test kits, radon test kit analysis and results to residents.   The contract laboratory provides the radon test results to the individual home owner and the DOH Radon Program. All testing data is entered into our database. From this database, we are able to create radon prevalence maps, design special outreach activities and campaigns, and track the location in the home where the detector was placed.",Radon Test Results By County: Beginning 1987,"['environmental health', 'public health', 'oph', 'radon', 'test kit']",Dataset,112952.0,0.6132896065677023
Health,"You can quickly research and filter the Genealogical Research Death Index data starting in 1957 with these easy to use, interactive search and visualization cards.  Just follow the tips by clicking on the below ""Show More"" arrow. The data is refreshed on a quarterly basis.
Quick tips: First, use the search cards to explore the data.  As you enter your requested information, a sample of available data is displayed to help your search. 

Next, you can hover  over the graphs, to further filter the data. For example, on the ""Date of Death"" timeline  or the  ""Decedent Age"" graphs you are able to select a time frame and/or age range by hovering over the desired dates/ages.  If you just want to search a particular year, click on the year in the ""Year of Death"" card.  The table will change with each search and filter that you apply.  There is also a  description of what you are filtering above the cards.

Click the ""Clear All"" button above the cards on the left hand side to remove all filter(s). Important reminders: ?The Genealogical?Research Death Index contains?a variety of genealogy
criteria on decedents, date of death, gender, age at death and NYS file number
that will allow the public to search for individuals who
died at least 50 years ago ?in New York State, outside of New York City. ?For more information, check out http://www.health.ny.gov/vital_records/genealogy.",Interactive Ancestry/Genealogical Research Death Index,[],Data Lens,112083.0,0.6085712424120668
Health,"The point map shows violations found during the last inspection of the food service establishments. The initial view of the map is broken up into large geographic areas and displays the number of violations in each area. To drill down to a smaller geographic area, click directly on the area of the map or click the plus sign to zoom in on the map. The map can be filtered by facility, city, and county by changing these options under the Filter tab. Last inspection data is the most recently submitted and available data.   Although violation details are collected on inspection reports (i.e., the actual food item, quantity and temperature of food found out of temperature control) as well as corrective actions for critical violations, this data set is limited to the violation number and the corresponding general violation description. Requests for more detailed information or actual copies of inspection reports should be directed to the local health department or State District Office which conducted the inspections in question. This map is for reporting purposes only.  Any concerns about individual establishments should be referred to the corresponding Local Health Department. Contact information can be found at http://www.health.ny.gov/environmental/water/drinking/doh_pub_contacts_map.htm 
This map excludes inspections conducted in New York City (https://nycopendata.socrata.com/), Suffolk County 
(http://apps.suffolkcountyny.gov/health/Restaurant/intro.html) and Erie County (http://www.healthspace.com/erieny).  Inspections are a snapshot in time and are not always reflective of the day-to-day operations and overall condition of an establishment. This map is currently updated monthly. Occasionally, remediation may not appear until the following month due to the timing of the updates. Some counties provide this information on their own websites and information found there may be more frequently updated.
For more information check out http://www.health.ny.gov/regulations/nycrr/title_10/part_14/subpart_14-1.htm. The ""About"" tab contains additional details concerning this dataset.",Food Service Establishment Map: Last Inspection,"['community health and chronic disease', 'environmental health', 'consumer resources', 'public health', 'oph']",Map,106450.0,0.5779860349452148
Health,"The boundary map shows radon test results by county. The test results are provided on a monthly basis to the Department of Health?s Radon Program from a contracted radon testing laboratory. The color grading of the counties represent the average radon level of homes tested in the counties. The radon test results illustrated on this map may not be reflective of all radon tests completed in New York State. 
For more information, check out http://www.health.ny.gov/environmental/radiological/radon/radon.htm. The ""About"" tab contains additional details concerning this dataset.",Radon Test Results: Basement by County Map,"['consumer resources', 'county', 'environmental health', 'oph', 'public health']",Map,100325.0,0.5447294406376578
Health,"This dataset contains information submitted by New York State Article 28 Hospitals as part of the New York Statewide Planning and Research Cooperative (SPARCS) and Institutional Cost Report (ICR) data submissions.  The file contains information on the volume of discharges, All Payer Refined Diagnosis Related Group (APR-DRG), the severity of illness level (SOI), medical or surgical classification the median charge, median cost, average charge and average cost per discharge.",Hospital Inpatient Cost Transparency: Beginning 2009,"['costs', 'patient', 'quality', 'cost transparency', 'charges']",Dataset,78074.0,0.4239143418723598
Health,"The Adult Care Facility Directory contains a listing of Adult Care Facilities that are currently licensed in New York State. New York State, through the New York State Department of Health, licenses and supervises adult care facilities which provide temporary or long-term, non-medical residential care services to adults who are substantially unable to live independently.",Adult Care Facility Directory,"['facilities and services', 'special needs assisted living residence', 'enriched housing program', 'enhanced assisted living residence', 'census']",Dataset,75237.0,0.40851043035390444
Health,"The datasets contain number of Medicaid PQI hospitalizations (numerator), county Medicaid population (denominator), observed rate, expected number of hospitalizations and rate, and risk-adjusted rate for Agency for Healthcare Research and Quality Prevention Quality Indicators ? Adult (AHRQ PQI) for Medicaid enrollees beginning in 2011.",Medicaid Inpatient Prevention Quality Indicators (PQI) for Adult Discharges by Patient County: Beginning 2011,"['strategic initiatives', 'quality-safety-costs', 'dsrip', 'efficiency', 'prevention quality indicator']",Dataset,72680.0,0.39462682028950885
Health,"This dataset, prepared by the Bureau of Biometrics and Health Statistics within the Department of Health, is intended to identify individual registration districts in New York State. These districts are used to identify residences and places of occurrence of events reported as part of the vital records registration system of the New York State Department of Health.",New York State Gazetteer,"['locality code', 'residence code', 'gazetteer', 'atlas']",Dataset,71967.0,0.3907554812297067
Health,"New York State Baby Names are aggregated and displayed by the year, county or borough where the mother resided as stated on a New York State or New York City (NYC) birth certificate. The frequency of the Baby Name is listed if there are 5 or more of the same baby name in a county outside of NYC, or 10 or more of the same baby name in a NYC borough.",Baby Names: Beginning 2007,"['births-deaths-other facts', 'consumer resources', 'names', 'baby']",Dataset,70532.0,0.38296393627765046
