category,descrip,name,topics,type,views,views_norm
Government & Finance,Go to http://on.ny.gov/1xRIvPz on the New York Lottery website for past Cash 4 Life results and payouts.,Lottery Cash 4 Life Winning Numbers: Beginning 2014,"['results', 'winning', 'new york lottery', 'cash 4 life']",Dataset,4633026,1
Housing & Development,A list of job applications filed for a particular day and associated data. Prior weekly and monthly reports are archived at DOB and are not available on NYC Open Data.,DOB Job Application Filings,"['buildings', 'job', 'dob']",Dataset,1357268,0.292954972
Transportation,"THIS DATASET IS UPDATED SEVERAL TIMES PER DAY.  TLC Driver application status check for applicants who had applied for a new TLC driver?s license. For questions, please email newdriverapp@tlc.nyc.gov and visit www.nyc.gov/newdriver for more detailed information. 
For historical/archived data of past application statuses, please see- https://data.cityofnewyork.us/Transportation/Historical-Driver-Application-Status/p32s-yqxq",New Driver Application Status,"['limousine', 'tlc', 'taxi', 'dmv', 'medical clearance']",Dataset,1075154,0.232063019
Government & Finance,Go to http://on.ny.gov/1Cx6zvs or http://on.ny.gov/1KYjE6X on the New York Lottery website for past Daily Numbers/Win-4 results and payouts.,Lottery Daily Numbers/Win-4 Winning Numbers: Beginning 1980,"['results', 'winning', 'new york lottery', 'win-4', 'numbers']",Dataset,864064,0.186501004
Government & Finance,Go to http://on.ny.gov/1J8tPSN on the New York Lottery website for past Mega Millions results and payouts.,Lottery Mega Millions Winning Numbers: Beginning 2002,"['results', 'winning', 'new york lottery', 'mega millions']",Dataset,335901,0.072501428
Transportation,"NYC TLC Licensed FHV drivers that are currently active and in good standing. This list is accurate to the date and time represented in the Last Date Updated and Last Time Updated fields. For inquiries about the contents of this dataset, please email licensinginquiries@tlc.nyc.gov.",For Hire Vehicles (FHV) - Active Drivers,"['fhv', 'for hire', 'for-hire', 'for-hire-vehicles', 'drivers']",Dataset,312937,0.06754484
Transportation,"TLC authorized For-Hire vehicles that are active or inactive. This list is accurate to the date and time represented in the Last Date Updated and Last Time Updated fields. For inquiries about the contents of this dataset, please email licensinginquiries@tlc.nyc.gov.",For Hire Vehicles (FHV) - Active and Inactive Vehicles,"['fhv', 'for hire', 'for-hire', 'for-hire-vehicles', 'drivers']",Dataset,312075,0.067358785
Government & Finance,Go to http://on.ny.gov/1GpWiHD on the New York Lottery website for past Powerball results and payouts.,Lottery Powerball Winning Numbers: Beginning 2010,"['results', 'winning', 'new york lottery', 'powerball']",Dataset,278626,0.060139097
Government & Finance,Go to http://on.ny.gov/1DYGlWJ on the New York Lottery website for past Take 5 results and payouts.,Lottery Take 5 Winning Numbers,"['results', 'winning', 'new york lottery', 'take 5']",Dataset,273307,0.058991035
Transparency,The data included here is the information in the NYS Attorney Registration Database that is deemed public information pursuant to 22 NYCRR 118.,NYS Attorney Registrations,"['integrity', 'registrations', 'attorney']",Dataset,259808,0.056077389
Government & Finance,Go to http://on.ny.gov/1BbsR6n on the New York Lottery website for past NY Lotto results and payouts.,Lottery NY Lotto Winning Numbers: Beginning 2001,"['new york lottery', 'drawing', 'results', 'winning', 'lotto']",Dataset,206715,0.044617708
Health,"The Genealogical Research Death Index assists individuals with locating New York State (NYS) death records that fall within defined genealogy years, exclusive of New York City recorded death records. This Index contains information on decedents, date of death, gender, age at death, and NYS file number that will allow the public to search for individuals on a variety of genealogy criteria if on file for at least 50 years.",Genealogical Research Death Index:  Beginning 1957,"['births-deaths-other facts', 'consumer resources', 'genealogy', 'decedents']",Dataset,184116,0.039739902
Health,This data includes the name and location of food service establishments and the violations that were found at the time of their last inspection. This dataset is for reporting purposes only.  Any concerns about individual establishments should be referred to the corresponding Local Health Department. Contact information can be found at http://www.health.ny.gov/environmental/water/drinking/doh_pub_contacts_map.htm,Food Service Establishment: Last Inspection,"['consumer resources', 'community health and chronic disease', 'environmental health', 'public health', 'oph']",Dataset,171565,0.037030874
Energy & Environment,"Solar Electric Programs Reported by NYSERDA; Beginning 2000 dataset includes the following data points for projects completed and in the pipeline (not yet installed) in the Incentive Program beginning December 2000: Project number, city, county, state, zip code, sector, program type, solicitation, electric utility, purchase type, date application received, date completed, project status, contractor, primary inverter manufacturer, total inverter quantity, primary inverter model number, primary PV module manufacturer, total PV module quantity, primary PV module model number, project cost, incentive amount, total nameplate capacity, expected annual kilowatt-hour production, remote net metering, affordable solar, community distributed generation project and Green Jobs-Green New York participant. Blank cells represent data that were not required or are not currently available.  Contractor data is provided for completed projects only, except for Community Distributed Generation projects. Pipeline projects are subject to change.",Solar Electric Programs Reported by NYSERDA Data Lens: Beginning 2000,[],Data Lens,168934,0.036462994
Transportation,"This list contains the most recently published active  medallion drivers list. This is a list of licensees who are currently authorized to operate NYC TLC licensed Taxicabs. The old data set is no longer being updated but can be accessed from the link given below to access data from 03/07/2013 through 01/04/2014 https://data.cityofnewyork.us/Transportation/Medallion-Drivers-Active/n776-dsqy. A new Change Log containing changes in status from 10/28/2013 onwards can be found at https://data.cityofnewyork.us/Transportation/TLC-MEDALLION-ACTIVE-Historical-Data/sjfe-fppp. This list is accurate to the date and time represented in the Last Date Updated and Last Time Updated fields. For inquiries about the contents of this dataset, please email licensinginquiries@tlc.nyc.gov.",Medallion Drivers - Active,"['taxi', 'taxicab', 'tlc', 'limousine', 'taxi driver']",Dataset,168079,0.03627845
Health,"This map contains the locations of Adult Care Facilities that are currently licensed in New York State. 
New York State, through the New York State Department of Health, licenses and supervises adult care facilities which provide temporary or long-term, non-medical residential care services to adults who are substantially unable to live independently. For more information, check out: https://www.health.ny.gov/facilities/adult_care/. The ""About"" tab contains additional details concerning this dataset.",Adult Care Facility Map,"['facilities and services', 'special needs assisted living residence', 'enriched housing program', 'enhanced assisted living residence', 'census']",Map,154573,0.033363292
Economic Development,In the past decade the number of farmers markets in New York State has grown at a rapid rate.  The dataset contains information detailing the time and location of community farmers markets as well as the name and phone number of the market manager.,Farmers Markets in New York State Map,['community farmers markets'],Map,147996,0.031943702
Social Services,"All 311 Service Requests from 2010 to present. This information is automatically updated daily.
Click here to download data from 2011 - https://data.cityofnewyork.us/dataset/311-Service-Requests-From-2011/fpz8-jqf4
Click here to download data from 2012 - https://data.cityofnewyork.us/dataset/311-Service-Requests-From-2012/as38-8eb5
Click here to download data from 2013 - https://data.cityofnewyork.us/dataset/311-Service-Requests-From-2013/hybb-af8n
Click here to download data from 2014 - https://data.cityofnewyork.us/dataset/311-Service-Requests-From-2014/vtzg-7562
Click here to download data from 2015 - https://data.cityofnewyork.us/dataset/311-Service-Requests-From-2015/57g5-etyj",311 Service Requests from 2010 to Present,"['2012', '2011', '2010', 'socialservices', 'city government']",Dataset,141076,0.030450077
Government & Finance,Go to http://on.ny.gov/1BbsWqI on the New York Lottery website for past Quick Draw results and payouts.,Lottery Quick Draw Winning Numbers: Beginning 2013,"['results', 'winning', 'new york lottery', 'quick draw']",Dataset,123162,0.02658349
Health,"The DOH Radon Program contracts with a radon testing laboratory to provide short-term charcoal radon test kits, radon test kit analysis and results to residents.   The contract laboratory provides the radon test results to the individual home owner and the DOH Radon Program. All testing data is entered into our database. From this database, we are able to create radon prevalence maps, design special outreach activities and campaigns, and track the location in the home where the detector was placed.",Radon Test Results By Town: Beginning 1987,"['environmental health', 'public health', 'oph', 'radon', 'town']",Dataset,118789,0.025639614
Transportation,Map of NYC Subway Entrances,Subway Entrances,"['transportation', 'station', 'map', 'jobs and economic mobility', 'location']",Map,117767,0.025419024
,,OpenNY Press Releases,[],Dataset,115168,0.024858052
Recreation,"DEC stocks more than 2.3 million catchable-size brook, brown, and rainbow trout in over 309 lakes and ponds and roughly 2,900 miles of streams across the state each spring. This dataset represents the planned stocking numbers, species and time of spring for those waters for the current fishing season.
These are planned stockings for the year reported. Actual stocking may differ depending on fish availability, weather conditions and other factors during the year of stocking. ?The current stocking data is updated annually in mid-March.",Current Season Spring Trout Stocking Data Lens,"['rainbow trout', 'brown trout', 'brook trout', 'streams', 'ponds']",Data Lens,114464,0.024706099
Energy & Environment,"Solar Electric Programs Reported by NYSERDA; Beginning 2000 dataset includes the following data points for projects completed and in the pipeline (not yet installed) in the Incentive Program beginning December 2000: Project number, city, county, state, zip code, sector, program type, solicitation, electric utility, purchase type, date application received, date completed, project status, contractor, primary inverter manufacturer, total inverter quantity, primary inverter model number, primary PV module manufacturer, total PV module quantity, primary PV module model number, project cost, incentive amount, total nameplate capacity, expected annual kilowatt-hour production, remote net metering, affordable solar, community distributed generation project and Green Jobs-Green New York participant. Blank cells represent data that were not required or are not currently available.  Contractor data is provided for completed projects only, except for Community Distributed Generation projects. Pipeline projects are subject to change.",Solar Electric Programs Reported by NYSERDA: Beginning 2000,"['pv', 'inverter', 'solar electric', 'solar photovoltaic', 'mw']",Dataset,113547,0.024508172
Health,"The boundary map shows radon test results by county. The test results are provided on a monthly basis to the Department of Health?s Radon Program from a contracted radon testing laboratory. The color grading of the counties represent the average radon level of homes tested in the counties.The radon test results illustrated on this map may not be reflective of all radon tests completed in New York State. 
For more information, check out http://www.health.ny.gov/environmental/radiological/radon/radon.htm. The ""About"" tab contains additional details concerning this dataset.",Radon Test Results: 1st Floor by County Map,"['consumer resources', 'county', 'environmental health', 'oph', 'public health']",Map,113225,0.024438671
Health,"The DOH Radon Program contracts with a radon testing laboratory to provide short-term charcoal radon test kits, radon test kit analysis and results to residents.   The contract laboratory provides the radon test results to the individual home owner and the DOH Radon Program. All testing data is entered into our database. From this database, we are able to create radon prevalence maps, design special outreach activities and campaigns, and track the location in the home where the detector was placed.",Radon Test Results By County: Beginning 1987,"['environmental health', 'public health', 'oph', 'radon', 'test kit']",Dataset,112952,0.024379747
Health,"You can quickly research and filter the Genealogical Research Death Index data starting in 1957 with these easy to use, interactive search and visualization cards.  Just follow the tips by clicking on the below ""Show More"" arrow. The data is refreshed on a quarterly basis.
Quick tips: First, use the search cards to explore the data.  As you enter your requested information, a sample of available data is displayed to help your search. 
Next, you can hover  over the graphs, to further filter the data. For example, on the ""Date of Death"" timeline  or the  ""Decedent Age"" graphs you are able to select a time frame and/or age range by hovering over the desired dates/ages.  If you just want to search a particular year, click on the year in the ""Year of Death"" card.  The table will change with each search and filter that you apply.  There is also a  description of what you are filtering above the cards.
Click the ""Clear All"" button above the cards on the left hand side to remove all filter(s). Important reminders: ?The Genealogical?Research Death Index contains?a variety of genealogy
criteria on decedents, date of death, gender, age at death and NYS file number
that will allow the public to search for individuals who
died at least 50 years ago ?in New York State, outside of New York City. ?For more information, check out http://www.health.ny.gov/vital_records/genealogy.",Interactive Ancestry/Genealogical Research Death Index,[],Data Lens,112014,0.024177287
Health,"The point map shows violations found during the last inspection of the food service establishments. The initial view of the map is broken up into large geographic areas and displays the number of violations in each area. To drill down to a smaller geographic area, click directly on the area of the map or click the plus sign to zoom in on the map. The map can be filtered by facility, city, and county by changing these options under the Filter tab. Last inspection data is the most recently submitted and available data.   Although violation details are collected on inspection reports (i.e., the actual food item, quantity and temperature of food found out of temperature control) as well as corrective actions for critical violations, this data set is limited to the violation number and the corresponding general violation description. Requests for more detailed information or actual copies of inspection reports should be directed to the local health department or State District Office which conducted the inspections in question. This map is for reporting purposes only.  Any concerns about individual establishments should be referred to the corresponding Local Health Department. Contact information can be found at http://www.health.ny.gov/environmental/water/drinking/doh_pub_contacts_map.htm 
This map excludes inspections conducted in New York City (https://nycopendata.socrata.com/), Suffolk County 
(http://apps.suffolkcountyny.gov/health/Restaurant/intro.html) and Erie County (http://www.healthspace.com/erieny).  Inspections are a snapshot in time and are not always reflective of the day-to-day operations and overall condition of an establishment. This map is currently updated monthly. Occasionally, remediation may not appear until the following month due to the timing of the updates. Some counties provide this information on their own websites and information found there may be more frequently updated.
For more information check out http://www.health.ny.gov/regulations/nycrr/title_10/part_14/subpart_14-1.htm. The ""About"" tab contains additional details concerning this dataset.",Food Service Establishment Map: Last Inspection,"['community health and chronic disease', 'environmental health', 'consumer resources', 'public health', 'oph']",Map,106437,0.022973538
Health,"The boundary map shows radon test results by county. The test results are provided on a monthly basis to the Department of Health?s Radon Program from a contracted radon testing laboratory. The color grading of the counties represent the average radon level of homes tested in the counties. The radon test results illustrated on this map may not be reflective of all radon tests completed in New York State. 
For more information, check out http://www.health.ny.gov/environmental/radiological/radon/radon.htm. The ""About"" tab contains additional details concerning this dataset.",Radon Test Results: Basement by County Map,"['consumer resources', 'county', 'environmental health', 'oph', 'public health']",Map,100325,0.021654314
Economic Development,A listing of all retail food stores which are licensed by the Department of Agriculture and Markets.,Retail Food Stores,"['food safety', 'license', 'retail food store']",Dataset,99626,0.021503441
Housing & Development,A list of permits issued for a particular day and associated data. Prior weekly and monthly reports are archived at DOB and are not available on NYC Open Data.,DOB Permit Issuance,"['dob', 'permit', 'buildings']",Dataset,82957,0.017905576
Economic Development,Liquor Authority quarterly list of all active licensees in NYS filtered by Winery and Brewery specific License Types.,"Wineries, Breweries, and Distilleries Map","['drug store', 'grocery', 'club', 'bar', 'restaurant']",Map,81077,0.017499794
Government & Finance,Go to http://on.ny.gov/1Cx6Zls on the New York Lottery website for past Pick 10 results and payouts.,Lottery Pick 10 Winning Numbers: Beginning 1987,"['results', 'winning', 'new york lottery', 'pick 10']",Dataset,80106,0.017290212
,"Submissions from users through the ""Give Feedback"" form.",Give Feedback,[],Form,80069,0.017282225
Economic Development,The Department of State keeps a record of every filing for every incorporated business in the state of New York. This dataset contains information on all active corporations as of the last business day of the specified month and year.,Active Corporations:  Beginning 1800,"['integrity', 'limited liability partnership', 'limited partnership', 'limited liability company', 'corporation']",Dataset,78099,0.016857017
Health,"This dataset contains information submitted by New York State Article 28 Hospitals as part of the New York Statewide Planning and Research Cooperative (SPARCS) and Institutional Cost Report (ICR) data submissions.  The file contains information on the volume of discharges, All Payer Refined Diagnosis Related Group (APR-DRG), the severity of illness level (SOI), medical or surgical classification the median charge, median cost, average charge and average cost per discharge.",Hospital Inpatient Cost Transparency: Beginning 2009,"['costs', 'patient', 'quality', 'cost transparency', 'charges']",Dataset,78068,0.016850326
Recreation,"Each year DEC releases approximately 900,000 pounds of fish into more than 1,200 public streams, rivers, lakes and ponds across the state. These fish are stocked for two main purposes: to enhance recreational fishing and to restore native species to waters they formerly occupied.  The DEC runs 12 fish hatcheries, each specializing in raising one or more species of fish, including brook trout, brown trout, rainbow trout, lake trout, steelhead, chinook salmon, coho salmon, landlocked salmon, walleye, muskellunge and tiger muskellunge. All hatcheries are open to the public from spring through fall, and several are open year-round. The Fish Stocking Lists are updated approximately mid-May the year following the actual stocking. The number of stocked fish is an estimate, not an actual count.",Fish Stocking Lists (Actual): Beginning 2011,[],Data Lens,77125,0.016646788
Energy & Environment,"Map of all PV projects (completed and pipeline) reported by NYSERDA.  Markers on map at individual project level are geocoded to zip code center point.  Solar Electric Programs Reported by NYSERDA; Beginning 2000 dataset includes the following data points for projects completed and in the pipeline (not yet installed) in the Incentive Program beginning December 2000: Project number, city, county, state, zip code, sector, program type, solicitation, electric utility, purchase type, date application received, date completed, project status, contractor, primary inverter manufacturer, total inverter quantity, primary inverter model number, primary PV module manufacturer, total PV module quantity, primary PV module model number, project cost, incentive amount, total nameplate capacity, expected annual kilowatt-hour production, remote net metering, affordable solar, community distributed generation project and Green Jobs-Green New York participant. Blank cells represent data that were not required or are not currently available.  Contractor data is provided for completed projects only, except for Community Distributed Generation projects. Pipeline projects are subject to change.",All PV Projects (Completed and Pipeline) Reported by NYSERDA Map: Beginning 2000,"['map', 'pv', 'solar', 'renewable', 'inverter']",Map,75970,0.016397491
Health,"The Adult Care Facility Directory contains a listing of Adult Care Facilities that are currently licensed in New York State. New York State, through the New York State Department of Health, licenses and supervises adult care facilities which provide temporary or long-term, non-medical residential care services to adults who are substantially unable to live independently.",Adult Care Facility Directory,"['facilities and services', 'special needs assisted living residence', 'enriched housing program', 'enhanced assisted living residence', 'census']",Dataset,75146,0.016219637
Transparency,Data provided by Lobbyist in their Biennial Registration and Bi-monthly filings submitted to NYS Joint Commission on Public Ethics,Registered Lobbyist Disclosures: Beginning 2007,"['integrity', 'lobbyist disclosures']",Dataset,72717,0.015695358
Health,"The datasets contain number of Medicaid PQI hospitalizations (numerator), county Medicaid population (denominator), observed rate, expected number of hospitalizations and rate, and risk-adjusted rate for Agency for Healthcare Research and Quality Prevention Quality Indicators ? Adult (AHRQ PQI) for Medicaid enrollees beginning in 2011.",Medicaid Inpatient Prevention Quality Indicators (PQI) for Adult Discharges by Patient County: Beginning 2011,"['strategic initiatives', 'quality-safety-costs', 'dsrip', 'efficiency', 'prevention quality indicator']",Dataset,72673,0.015685861
Transparency,Data provided by Lobbying Clients in their Semi-Annual filings submitted to the NYS Joint Commission on Public Ethics,Lobbying Clients Disclosures: Beginning 2007,"['disclosures', 'integrity', 'lobbying clients']",Dataset,72173,0.01557794
