category,descrip,name,topics,type,views,views_norm
,"This dataset includes all itemized monetary contributions ($100 or more) e-filed on Fair Political Practices Commission (FPPC) Form 460 Schedule ""A"" Monetary Contributions from 2011 to the present. The data is current as of the last modified date on this dataset. See the data key for column definitions: https://data.sfgov.org/Ethics/Campaign-Finance-Data-Key/wygs-cc76",Essentials,"['schedule a', '460', 'form', 'contributions', 'monetary']",Filtered View,17370.0,1.0
Financial,,City of Oakland Proposed Policy Budget FY2013-15,['budget'],Dataset,15691.0,0.9033390903857225
Public Services,,Wildfire Prevention Assessment District Boundries,"['fire', 'wpad']",Map,12936.0,0.7447322970639033
Public Safety,"The Oakland Police Department provides crime data to the public through the City of Oakland?s Crime Watch web site. This site presents the data in a geographic format, which allows users of the information to produce maps and/or reports. 
The file that you are about to electronically download, copy, or otherwise retrieve by other means is a tabular representation of the same data without maps or reporting capabilities. Be advised that the exact address of each crime has been substituted with the block address to protect the privacy of the victim.",CrimeWatch Maps Past 90-Days,[],Dataset,11954.0,0.6881980426021876
Infrastructure,"REQUESTID = The service request number. This should be shown as an integer without decimals. 5-digit REQUESTIDs were imported from the Recycling Hotline?s prior tracking system when they switched to the same system as the Oakland Call Center in August 2012. All others are 6 digits. 
DATETIMEINIT = The Date that the request was initiated. 
SOURCE = Indicates if the request was received via SeeClickFix, via the Report A Problem website at www.oaklandpw.com, or via (Phone or Email). 
DESCRIPTION = Type of issue. Most of these are self-explanatory. Notes: ?test template? and ?This is a test subject. Ignore this ticket.? were for testing/training purposes only. Descriptions starting with ?Business? ?City Services? ?CityBldg? (no space) ?Events? ?Misc? are/were used by the Recycling Hotline ?TE? means ?Traffic Engineering? 
REQCATEGORY = Request Category 
REQADDRESS = Request Address An address of ZZ indicates that the address was not recorded, usually this is for general inquiries to the Recycling Hotline. 
STATUS = The status as of date of upload. Pending: Request received for review OPEN: Request assigned to work unit WOCREATE: Work Order created for work to be done (not all work units use this status, so Open service requests may also have work orders created for work to be done) CLOSED: Request is resolved REFERRED: Oakland Call Center received the request and forwarded it to another entity (see REFERREDTO) UNFUNDED: Request is for an service that the City is not funded to provide CANCEL: Request was canceled, generally because it was created erroneously, it was used for testing/training, or it is a request that was received that duplicated an existing unresolved request 
DATETIMECLOSED = The Date that the request was closed 
SRX, SRY= Coordinates of the issue. Note that this is in NAD_1983_StatePlane_California_III_FIPS_0403_Feet, not latitude/longitude. 
REFERREDTO = If the status is Referred, this shows who it was referred to. 
COUNCILDISTRICT = City Council District of the REQADDRESS.
BEAT = Police Beat of the REQADDRESS (see http://mapgis.oaklandnet.com/PoliceDistricts/ for a map of police beats)",Service requests received by the Oakland Call Center,"['transporation', 'maintenance', 'illegal dumping', 'pot holes', 'service requests']",Dataset,11940.0,0.687392055267703
Public Safety,"The Oakland Police Department provides crime data to the public through the City of Oakland?s Crime Watch web site. This site presents the data in a geographic format, which allows users of the information to produce maps and/or reports. 
The file that you are about to electronically download, copy, or otherwise retrieve by other means is a tabular representation of the same data without maps or reporting capabilities. Be advised that the exact address of each crime has been substituted with the block address to protect the privacy of the victim.",90daybutters,[],Map,11861.0,0.6828439838802534
Infrastructure,"REQUESTID = The service request number. This should be shown as an integer without decimals. 5-digit REQUESTIDs were imported from the Recycling Hotline?s prior tracking system when they switched to the same system as the rest of Public Works in August 2012. All others are 6 digits. 
DATETIMEINIT = The Date that the request was initiated. 
SOURCE = Indicates if the request was received via SeeClickFix, via the Report A Problem website at www.oaklandpw.com, or via (Phone or Email). 
DESCRIPTION = Type of issue. Most of these are self-explanatory. Notes: ?test template? and ?This is a test subject. Ignore this ticket.? were for testing/training purposes only. Descriptions starting with ?Business? ?City Services? ?CityBldg? (no space) ?Events? ?Misc? are/were used by the Recycling Hotline ?TE? means ?Traffic Engineering? 
REQCATEGORY = Request Category 
REQADDRESS = Request Address An address of ZZ indicates that the address was not recorded, usually this is for general inquiries to the Recycling Hotline. 
STATUS = The status as of January 5, 2015. Pending: Request received for review OPEN: Request assigned to work unit WOCREATE: Work Order created for work to be done (not all work units use this status, so Open service requests may also have work orders created for work to be done) CLOSED: Request is resolved REFERRED: Public Works received the request and forwarded it to another entity (see REFERREDTO) UNFUNDED: Request is for an service that Public Works is not funded to provide CANCEL: Request was canceled, generally because it was created erroneously, it was used for testing/training, or it is a request that was received that duplicated an existing unresolved request 
DATETIMECLOSED = The Date that the request was closed 
SRX, SRY= Coordinates of the issue. Note that this is in NAD_1983_StatePlane_California_III_FIPS_0403_Feet, not latitude/longitude. 
REFERREDTO = If the status is Referred, this shows who it was referred to. 
COUNCILDISTRICT = City Council District of the REQADDRESS.",Dumping heat map,"['maintenance', 'illegal dumping', 'pot holes', 'service requests', 'public works']",Map,10639.0,0.6124928036845135
Public Safety,"The Oakland Police Department provides crime data to the public through the City of Oakland?s Crime Watch web site. This site presents the data in a geographic format, which allows users of the information to produce maps and/or reports. 
The file that you are about to electronically download, copy, or otherwise retrieve by other means is a tabular representation of the same data without maps or reporting capabilities. Be advised that the exact address of each crime has been substituted with the block address to protect the privacy of the victim.",90-Day Crime Map,[],Map,10481.0,0.6033966609096143
Public Safety,"The Oakland Police Department provides crime data to the public through the City of Oakland?s Crime Watch web site. This site presents the data in a geographic format, which allows users of the information to produce maps and/or reports. 
The file that you are about to electronically download, copy, or otherwise retrieve by other means is a tabular representation of the same data without maps or reporting capabilities. Be advised that the exact address of each crime has been substituted with the block address to protect the privacy of the victim.",90 day crime map,[],Map,8442.0,0.48601036269430054
Infrastructure,"REQUESTID = The service request number. This should be shown as an integer without decimals. 5-digit 
REQUESTIDs were imported from the Recycling Hotline?s prior tracking system when they switched to the same system as the rest of Public Works in August 2012. All others are 6 digits.
DATETIMEINIT = The Date/Time that the request was initiated.
DESCRIPTION = Type of issue. Most of these are self-explanatory. Notes:
?test template? and ?This is a test subject. Ignore this ticket.? were for testing/training purposes only.
Descriptions starting with ?Business? ?City Services? ?CityBldg? (no space) ?Events? ?Misc? are/were used by the Recycling Hotline
?TE? means ?Traffic Engineering?
REQCATEGORY = Request Category
REQADDRESS = Request Address
An address of ZZ indicates that the address was not recorded, usually this is for general inquiries to the Recycling Hotline.
STATUS = The status as of 1/30/13. 
Pending: Request received for review
OPEN: Request assigned to work unit 
WOCREATE: Work Order created for work to be done (not all work units use this status, so Open service requests may also have work orders created for work to be done)
CLOSED: Request is resolved
REFERRED: Public Works received the request and forwarded it to another entity (see REFERREDTO)
UNFUNDED: Request is for an service that Public Works is not funded to provide
CANCEL: Request was canceled, generally because it was created erroneously, it was used for testing/training, or it is a request that was received that duplicated an existing unresolved request
DATETIMECLOSED = The Date/Time that the request was closed
SRX, SRY= Coordinates of the issue. Note that this is in NAD_1983_StatePlane_California_III_FIPS_0403_Feet, not latitude/longitude.
REFERREDTO = If the status is Referred, this shows who it was referred to.",Service requests received by Public Works,"['illegal dumping', 'pot holes', 'service requests', 'public works']",Dataset,7554.0,0.43488773747841103
Environmental,,trees,[],Filtered View,7087.0,0.4080023028209557
Public Safety,"The Oakland Police Department provides crime data to the public through the City of Oakland?s Crime Watch web site. This site presents the data in a geographic format, which allows users of the information to produce maps and/or reports. 
The file that you are about to electronically download, copy, or otherwise retrieve by other means is a tabular representation of the same data without maps or reporting capabilities. Be advised that the exact address of each crime has been substituted with the block address to protect the privacy of the victim.",Download Oakland Crime Heatmap,[],Map,7073.0,0.40719631548647095
Environmental,,Oakland Street Trees,[],Dataset,6340.0,0.3649971214738054
Financial,,Budget stacked column,['budget'],Filtered View,5762.0,0.33172135866436386
Public Safety,"The Oakland Police Department provides crime data to the public through the City of Oakland?s Crime Watch web site. This site presents the data in a geographic format, which allows users of the information to produce maps and/or reports. 
The file that you are about to electronically download, copy, or otherwise retrieve by other means is a tabular representation of the same data without maps or reporting capabilities. Be advised that the exact address of each crime has been substituted with the block address to protect the privacy of the victim.",90day crime 0923 22x,[],Filtered View,5596.0,0.3221646516983305
Public Safety,"The Oakland Police Department provides crime data to the public through the City of Oakland?s Crime Watch web site. This site presents the data in a geographic format, which allows users of the information to produce maps and/or reports. 
The file that you are about to electronically download, copy, or otherwise retrieve by other means is a tabular representation of the same data without maps or reporting capabilities. Be advised that the exact address of each crime has been substituted with the block address to protect the privacy of the victim.",Jan-March 13 Homicide & Assault with Firearm on Person,[],Filtered View,5129.0,0.29527921704087506
