category,descrip,name,topics,type,views,views_norm
Recreation,The Marine Board has a partnership with many outdoor retailers who provide exceptional customer service to boaters by serving as boat registration agents.,Map of Bonded Boat Registration Agents,"['agents', 'boat', 'bonded', 'dealers', 'register']",Map,208434.0,1.0
Revenue & Expense,Top 50 Delinquent Debtors for Oregon Personal Income Tax,Top 50 Delinquent Debtors Personal Income Tax,"['personal income tax', 'taxpayers', 'delinquent']",Dataset,118696.0,0.5694656342055519
Revenue & Expense,Top 50 Delinquent Oregon Business Tax Debtors,Top 50 Delinquent Tax Debtors Business,"['business tax', 'taxpayers', 'delinquent']",Dataset,116304.0,0.5579895794352169
Recreation,"Find a boat ramp in a location near you! Hundreds of boating access points, amenities, and launch information is available from this map. New coordinates are being added and other information to make your boating excursion fast and easy.",Oregon's Boating Access Sites,"['angling', 'bays', 'boating access', 'boating facilities', 'boating in oregon']",Map,112615.0,0.540290931421937
Recreation,Waterbodies where the use of motors are prohibited.  Waterways where motor boats are not allowed are established in Oregon Administrative Rule 250 or Oregon Statute 830.,Motorboat Restrictions in Oregon,"['inboard', 'jet boats', 'motor boats', 'motor restrictions', 'motors prohibited']",Dataset,89894.0,0.4312828041490352
Recreation,"Some waterbodies in Oregon have been designated ""electric motor only"" by Oregon Administrative Rule or statute.  These waterbodies have been designated based on their topography, size and traditional boating uses.","""Electric Motor Only"" Waterways in Oregon","['boats under 16 feet', 'electric motor only waterways', 'kicker motors', 'motor boat restrictions', 'open boats']",Dataset,89533.0,0.4295508410336126
Business,(Updated 6/1/2017) List of trademark registrations that are active on the record of the Secretary of State Corporation Division as of the end of the previous month.,Active Trademark Registrations,"['registration', 'service mark', 'trademark']",Dataset,82174.0,0.3942447009604959
Natural Resources,,Oregon Dept of Environmental Quality,[],Filtered View,72647.0,0.3485371868313231
Business,New businesses registered with the Secretary of State Corporation Division during the previous month.  Data is updated on the first working day of each month.,New Businesses Registered Last Month,"['registration', 'business name']",Dataset,51374.0,0.24647610274715256
Revenue & Expense,Salaries of state work force sorted by agency - 2015. For more information go to http://www.oregon.gov/transparency/Pages/state_workforce.aspx,"Salaries: State Agencies: As of June 30, 2015","['2015', '2015-salaries-das-063015', 'salaries', 'salaries 2015', 'salaries of state employees']",Dataset,51054.0,0.24494084458389706
Recreation,Recreation Opportunities on Oregon Department of Forestry State Forestland.,Camping,"['boating', 'paddling', 'horseback riding', 'biking', 'hiking']",Map,50565.0,0.24259477820317224
Recreation,Non-motorized boaters can purchase one-year Aquatic Invasive Species Permits from an ODFW license agent ($7) OR from an OSMB AIS Dealer for one-year or two-year TYVEK Tags ($5 & $10).  Out-of-state motorized permits can be purchased for $22 from an ODFW license agent or ODFW license sales online.  Find an agent or dealer near you...,Purchasing Options for AIS Permits for Non-Motorized and Out-of-State Boaters,"['aisp', 'ais permits', 'angling', 'aquatic invasive species', 'boating']",Map,48122.0,0.2308740416630684
,For more information about Public Meetings go to: http://www.oregon.gov/transparency/Pages/PublicMeetingNotices.aspx.,CalendarView,[],Calendar,42743.0,0.20506731147509524
Revenue & Expense,Salaries of state work force sorted by agency.,"Salaries: State Agencies: As of June 30, 2014","['2014', 'salaries', 'salaries 2014', 'salaries of state employees', 'state employees']",Dataset,42504.0,0.20392066553441376
Recreation,Recreation Opportunities on Oregon Department of Forestry State Forestland.,Motorized Trails,"['boating', 'paddling', 'horseback riding', 'biking', 'hiking']",Map,38282.0,0.18366485314296133
Recreation,Where to buy clear gasoline in Oregon.,"""Clear"" Gasoline Locations in Oregon","['non-ethanol', 'gasoline', 'clear', 'fueling', 'fuel']",Map,34731.0,0.16662828521258527
Natural Resources,Oregon state listed noxious weeds and relevant links.,Abreviated_list_view,"['oregon', 'weeds']",Filtered View,34380.0,0.1649442989147644
,,Bills Signed by Governor Kitzhaber (2011),"['2011', 'bills', 'governor', 'legislative', 'session']",Dataset,31569.0,0.15145801548691673
Revenue & Expense,Salaries of state work force sorted by agency - 2016. For more information go to http://www.oregon.gov/transparency/Pages/state_workforce.aspx,Salaries of State Agencies FY 2016,"['2016', 'salaries', 'salaries 2016', 'salaries of state employees', 'state employees']",Dataset,31116.0,0.14928466564955814
Natural Resources,The intent of the list is to assist growers in distinguishing those pesticide products whose labels do not legally prohibit use on cannabis from those that clearly do not allow use. The list is not an endorsement or recommendation to use these products in the production of cannabis in Oregon. Do not hesitate to contact Pesticides staff with questions or for label clarification.,Cannabis Pesticide Guidelist.,"['pesticides', 'cannabis']",Filtered View,30196.0,0.14487079843019854
,,Bills Signed by Governor Kitzhaber (2012),"['2012', 'bills', 'governor', 'kitzhaber', 'legislative']",Dataset,29535.0,0.14169953078672384
Natural Resources,Log prices by species and grade from 2015-2000,LogPricesFiltered,"['forestry', 'logs', 'logging']",Filtered View,28435.0,0.13642208085053303
Natural Resources,Oregon Department of Forestry wildfire occurrence points in Oregon from 2005-2015. Displaying STAT fires where ODF is the primary protection agency.,Oregon Dept of Forestry Wildfire Occurrence 2005-2015,"['oregon', 'wildfire', 'fire']",Map,27463.0,0.1317587341796444
Natural Resources,,Pesticide testing centers in Oregon,['pesticides'],Map,27026.0,0.12966214725044858
Business,Updated 6/1/2017. Nonprofit corporations active on the record of the Secretary of State Corporation Division as of the first working day of the month.,Active Nonprofit Corporations,"['registration', 'nonprofit name', 'nonprofit']",Dataset,26362.0,0.12647648656169339
Revenue & Expense,Salaries of state work force sorted by agency.,"Salaries: State Agencies: As of June 30, 2013","['salaries', 'salaries of state employees', 'state employees', 'wages of state employees']",Dataset,26252.0,0.1259487415680743
Business,,Oregon Department of Revenue Regional Office Locations,['revenue office locations'],Map,26049.0,0.12497481217075909
Administrative,List of bills signed by Governor Kitzhaber in the 2013 Legislative Session,Bills Signed by Governor Kitzhaber (2013),"['2013', 'bill', 'bills', 'legislative', 'legislature']",Dataset,25450.0,0.12210100079641517
Recreation,,ReservationCalendar,"['campground', 'camp']",Calendar,23346.0,0.11200667837301016
,"Each annual salary listed in this report is 12 times that particular employee's monthly adjusted salary rate as of June 30, 2010 (between July 1, 2009 and June 30, 2010). ""Annual Salary"" includes most differential payments (such as work-out-of-classification and bilingual differential), but excludes payments for overtime, shift differential, benefits, and vacation payout. The report does not account for unpaid furlough leave that management employees began taking in fiscal year 2009-2010; neither does it reflect step decreases and unpaid furlough leave that some classified employees began taking after June 2009.
This report does not include annual salaries for employees of the Oregon University System, semi-independent agencies, temporary employees, or records protected by court order.
For more State of Oregon Workforce/salary information please visit the Oregon Transparency Website: http://oregon.gov/transparency/state_workforce.page","Salaries: Agencies: As of June 30, 2010","['data.oregon.gov', 'data', 'agency', 'state', 'transparency']",Dataset,19570.0,0.09389063204659509
Revenue & Expense,,"Salary: State Agencies: As of June 30, 2012",[],Dataset,18824.0,0.09031156145350566
Recreation,"Where to buy clear gasoline in Oregon.  ""Clear"" gasoline is defined as a non-ethanol blended gas, generally produced with 91 octane and sold asa  premium blend.  Clear gasoline is a much better fuel for boats, ATV's, 1990 era and earlier car models, chainsaws, and yard equipment because of the rubber hoses, fuel lines, gaskets, etc. that can easily deteriorate with the use of ethanol-blended fuel.","""Clear"" Gasoline locations","['non-ethanol', 'gasoline', 'clear', 'fueling', 'fuel']",Dataset,18567.0,0.08907855724114108
Transportation,A calendar of Oregon Department of Transportation public meetings.,ODOT Meeting Calendar,[],Calendar,17794.0,0.08536994924052697
Recreation,"Only a fraction of all water bodies in Oregon are monitored due to limited physical and monetary resources. A water body with no advisory is not an indication that a bloom is not present. You are your own best advocate when ensuring your safety, and that of your family and pets. Be aware and ""when in doubt, stay out.""",Algae Bloom Advisories,['algae blooms'],Map,17261.0,0.08281278486235451
,This data contains mileposts on state owned highways.,Mile Posts [ArcGIS_rest_services_Framework_Trans_GeneralMap_WM_MapServer_0],[],Map,17121.0,0.08214110941593022
,,Bills Signed By Governor Brown 2015,[],Dataset,17093.0,0.08200677432664537
Recreation,"Where to get the Aquatic Invasive Species Prevention Permit.  All boats 10 feet long and longer (canoes, kayaks, drift boats, inflatable boats, etc.), out-of-state motor boats, and sailboats are required to purchase and carry an AISP permit when operating a watercraft on Oregon's waterways.",AISP One & Two Year Tyvek Tag Dealers,"['aquatic', 'boats', 'craft', 'invasive', 'motor boats']",Map,17047.0,0.08178608096567738
Administrative,,Bills Signed By Governor Kitzhaber  2014,[],Dataset,16546.0,0.07938244240383047
,,"OHA, OHPB, OHPR, DMAP, MAC",[],Calendar,15271.0,0.07326539815960928
Business,"Updated 6/1/2017
List of All Active Filings and their associated Secured Parties. 
This Dataset will be updated monthly by the 9th of each month.",UCC Secured Parties List,"['secured party', 'ucc']",Dataset,14801.0,0.07101048773232774
Administrative,Calendar of important elections dates and deadlines provided by the Oregon Secretary of State.,Public Calendar,"['vote', 'voting', 'secretary of state', 'elections', 'election']",Calendar,14252.0,0.0683765604459925
Business,Updated 6/1/2017 List of New UCC filings entered during the previous month.  This list will be updated by the 9th of every month.,UCC List of Filings Entered Last Month,['ucc'],Dataset,14221.0,0.06822783231142712
,For more information about Public Meetings go to: http://www.oregon.gov/transparency/Pages/PublicMeetingNotices.aspx.,Oregon Public Meetings,[],Dataset,12717.0,0.0610121189441262
Administrative,Oregon Department of Revenue Property Tax Division Training Calendar,Property Tax Division Training Calendar,"['department of revenue', 'assessor', 'appraiser', 'calendar', 'training']",Calendar,12425.0,0.059611195870155544
,,"Energy, Department of",[],Calendar,11933.0,0.057250736444150185
,,Oregon Dept. of Transportation,[],Filtered View,11403.0,0.05470796511125824
Public Safety,"Consumer complaints registered with the Oregon Dept. of Justice.  The database of consumer complaints is derived from consumer contacts for the past 3 years and is for information only. This database may not offer a completely accurate or comprehensive account of every incident. Several factors, including a company?s size and volume of transactions, may affect the likelihood of a consumer complaint being filed. The number of complaints about a business may not be a reliable measure as to whether it is appropriately conducting business.
The information in this database is updated as soon as possible. However, recently submitted complaints may not be immediately available.
The statements in this database do not necessarily reflect the opinion of the DOJ.
For more information, see http://www.doj.state.or.us/finfraud/index.shtml",Oregon Consumer Complaints,"['ag', 'attorney general', 'doj', 'department of justice', 'consumer protection']",Dataset,11274.0,0.05408906416419586
,,Oregon Public Meetings Calendar,[],Calendar,11219.0,0.05382519166738632
Business,Nonprofit corporations active on the record of the Secretary of State Corporation Division as of the first working day of the month.,Specific Words in a Nonprofit Name,"['registration', 'nonprofit name', 'nonprofit']",Filtered View,10604.0,0.050874617384879625
Recreation,This is a list of all marine-related events permitted by the Oregon State Marine Board and the U.S. Coast Guard for the current year on Oregon waterways.,Marine Event Calendar,"['marine', 'sponsored', 'cruises', 'log races', 'exhibits']",Calendar,10466.0,0.05021253730197568
Natural Resources,List of Oregon weed free forage providers,Oregon weed free forage provider list,"['feed', 'forage', 'weed-free', 'agriculture']",Filtered View,10155.0,0.04872045827456173
Revenue & Expense,"This report provides information on expenditures (i.e., cash transactions/payments) for the agencies that utilize the State Financial Management Application (SFMA) issued for the fiscal year 2010 (July 1, 2009 - June 30, 2010).   See the Oregon Transparency Website Expenditure page for more detail: http://oregon.gov/transparency/expenditures.page","Expenditures: Agencies: As of June 30, 2010","['agencies', 'data', 'data.oregon.gov', 'expenditures', 'oregon']",Dataset,10052.0,0.04822629705326386
Recreation,"Where to buy clear gasoline in Lane County, Oregon.",Lane County,"['non-ethanol', 'gasoline', 'clear', 'fueling', 'fuel']",Map,9986.0,0.04790965005709241
,,State Board of Agriculture,[],Calendar,9945.0,0.0477129451049253
Recreation,"Hiking, biking, and horse trails on Oregon Department of Forestry State Forestland.",Non-Motorized Trails,"['boating', 'paddling', 'horseback riding', 'biking', 'hiking']",Map,9843.0,0.047223581565387605
Recreation,Where to buy clear gasoline in the Portland/Metro area in Oregon.,Portland Metro,"['non-ethanol', 'gasoline', 'clear', 'fueling', 'fuel']",Map,9623.0,0.04616809157814944
Revenue & Expense,"This report provides information on expenditures (i.e., cash transactions/payments) for the agencies that utilize the State Financial Management Application (SFMA) issued for the fiscal year 2011 (July 1, 2010 - June 30, 2011). See the Oregon Transparency Website Expenditure page for more detail: http://oregon.gov/transparency/expenditures.page",Expenditures: State Agencies: Fiscal Year 2011,[],Dataset,9605.0,0.04608173330646632
Natural Resources,"The products listed below are under a current stop sale, use, or removal order. They are not legal for sale or distribution in Oregon. For questions about these products, please call (503) 986-4635.",Fertilizer Program Stop Sales,['fertilizer'],Dataset,9493.0,0.045544392949326884
Natural Resources,List of Oregon weed free forage providers,Oregon weed free forage providers map,"['feed', 'forage', 'weed-free', 'agriculture']",Map,9388.0,0.04504063636450867
Natural Resources,,Fertilizer violations and penalties,[],Filtered View,9270.0,0.0444745099168082
Natural Resources,,PARC annual reports,['parc'],Dataset,9210.0,0.04418664901119779
