category,descrip,name,topics,type,views,views_norm
Finance,Residential Property Assessment details for 2013 and 2010,2013 Residential Assessment,"['assessment', 'property value']",Dataset,23752.0,1.0
Public Safety,Recorded state and municipal offenses from AEGIS records management system of the Providence Police.  A single case can contain multiple offenses.  Refer to the case number to see all offenses for a particular case.  The case number can also be used to look up arrest activity in for a case in the Providence Police Arrest Log.  Due to the serious nature of the crime and to help protect victim's identities this list does not include violent sexual offenses.,Providence Police Case Log - Past 180 days,"['crime', 'safety', 'police']",Dataset,19698.0,0.8293196362411587
Finance,"This dataset contains the 2014 tax roll for the City of Providence, used for collections in FY2015. Property taxes are collected from July 1, 2014 to June 30, 2015. Ownership data is recorded as of 12/31/2013.",2014 Property Tax Roll,"['property', 'real estate', 'tax']",Dataset,14033.0,0.5908134051869316
Neighborhoods,Find out if your road is scheduled to be paved.,"Citywide Paving Projects, 2013 to 2015","['construction', 'paving']",Map,10298.0,0.43356348939036715
Public Safety,Adults arrested and charged by Providence Police in the past 60 days.  A single arrest can include multiple charges being brought against the person arrested.  Multiple persons can be arrested for a single case. The case number can be used to look up case information in the Providence Police Department - Case Log.,Providence Police Department Arrest Log - Past 60 Days,"['arrests', 'crime', 'police']",Dataset,8631.0,0.3633799259009768
Reference,"Abstract: This digitized collection contains approximately 90,000 images of Residential Assessment Records (a.k.a. ?field cards?) created by the Tax Assessors Department of the City of Providence, Rhode Island. These cards contain information on structural conditions of buildings (e.g., grades of condition for foundations, walls, roofs, building materials, etc.) organized by, street address, and plat & lot number within the City of Providence.  The verso of these cards contains structural diagrams, land valuations, and cost computations.
-----------------------------------------------------------
Finding aid:
Providence City Field Assessment Records 
-----------------------------------------------------------
Series 1: 1940
-----------------------------------------------------------
Creator: Providence City Archives
------------------------------------------------------------
Language of materials: English
------------------------------------------------------
Repository: Providence City Archives
-------------------------------------------------------
Record Group Number: RG 131.3
--------------------------------------------------------
Scope and Content: The field cards were developed as a measure to accurately grade the value of a structure for tax purposes within the City of Providence.  The strength of the collection, contemporarily, concerns the sections under ?Land Valuation? on the verso of the digitized documents, particularly the status for which a building was zoned for (eg., house, apartment, industrial, or commercial structure, etc.).  This information helps distinguish the maximum amount of tenants a residential building can have within code. Other areas of interest include quality assessments from building materials to structural condition (eg., cost computation of values before and after deductions of existing conditions and improvements of a structure). 
-------------------------------------------------------------
Arrangement: The field cards are digitized and arranged in the Socrata database system accessed by address + plat/lot. 
------------------------------------------------------------------
Access to the collection: There are no restrictions to access. 
---------------------------------------------------------------------
Use of materials: The materials are within public domain. However, researchers are kindly asked to cite the Providence City Archives if reproduced.
-----------------------------------------------------------------
Preferred citation:  Residential Assessment Records, RG131.3, Providence City Archives.",1940 City Field Assessment Records,"['archives', 'assessment']",Dataset,6601.0,0.27791343886830583
Neighborhoods,"Last updated 3/9/2016.  In 2006, a complete inventory of all the City?s street trees, including trees located within sidewalks, between sidewalks and curbs, or within 6 feet of the street if no sidewalk existed was conducted. One hundred volunteers were trained to record address, location, tree species, tree diameter, condition, and other related information. Trees located in parks and other public property were not included. Approximately 25,000 street trees were counted and the data was loaded into a tree database that the Forestry Division uses daily to manage the trees, track tree work, and record constituent concerns.",Providence Tree Inventory,"['sustainability', 'trees']",Dataset,5362.0,0.2257494105759515
Finance,"This dataset contains the range of salaries of full-time city staff, by department and title, as of July, 2014.",FY2015 City Employee Salary Schedule,"['employees', 'fy2015', 'salaries']",Dataset,5332.0,0.22448635904344896
Finance,"This dataset contains the range of salaries of full-time city staff, by department and title, as of July, 2013.",FY2014 City Employee Salary Schedule,"['employees', 'fy2014', 'salaries']",Dataset,3522.0,0.14828224991579655
Reference,"Agreement between the Providence Teachers Union, AFT Local 958, AFL-CIO and the City of Providence. September 1, 2011 to August 31, 2014",Providence Teachers Union Contract 2011-2014,"['958', 'contract', 'employees', 'union']",File or Document,3144.0,0.13236780060626474
Neighborhoods,2013 survey of fire hydrants in the City of Providence.,Map view of Providence Fire Hydrants,"['fire hydrants', 'water']",Map,2846.0,0.11982148871673964
Finance,"This dataset contains the range of salaries of full-time city staff, by department and title, as of June, 2013.",FY2013 City Employee Salary Schedule,"['employees', 'fy2013', 'salaries']",Dataset,2557.0,0.1076540922869653
Finance,"The enacted budget for the Fiscal Year July 1, 2014 through June 30, 2015",FY2015 City of Providence Enacted Budget,"['budget', 'fy2015']",Dataset,2242.0,0.09439205119568879
Neighborhoods,List of active business licenses in the City of Providence as issued by the Board of Licenses.  This dataset lists the primary license issued as well as all other licenses held under the primary.  Entertainment licenses are listed separately.,Active Business Licenses in Providence,"['licensing', 'neighborhood']",Dataset,1982.0,0.0834456045806669
Finance,"Budget enacted by the City Council for the Fiscal Year July 1, 2013 through June 30, 2014",FY2014 City of Providence Enacted Budget,"['budget', 'fy2014']",Dataset,1892.0,0.07965644998315931
Finance,"Mayor Jorge O. Elorza's Proposed Budget for the Fiscal Year July 1, 2015 through June 30, 2016.",FY2016 City of Providence Proposed Budget,"['budget', 'fy2016']",Dataset,1758.0,0.07401481980464802
Neighborhoods,2013 survey of fire hydrants,City of Providence Fire Hydrant Locations,"['fire hydrants', 'water']",Dataset,1737.0,0.07313068373189627
Finance,"The enacted budget for the Fiscal Year July 1, 2014 through June 30, 2015",Tree Map of FY2015 Department Budgets,"['budget', 'fy2015']",Chart,1562.0,0.06576288312563153
Finance,"The Mayor's proposed budget for the Fiscal Year July 1, 2014 through June 30, 2015",FY2015 City of Providence Proposed Budget,"['budget', 'fy2015']",Dataset,1546.0,0.06508925564163018
Retirement,"Monthly pension payroll, grouped by benefit type. This data is updated on the second of each month.",City of Providence Pension Payroll,"['payroll', 'retirement', 'pension']",Dataset,1496.0,0.06298416975412596
Finance,"Proposed budget submitted to City Council for the Fiscal Year July 1, 2013 through June 30, 2014",FY2014 City of Providence Proposed Budget,"['budget', 'fy2014']",Dataset,1467.0,0.061763219939373525
Finance,"July 1, 2012 through June 30, 2013",FY2013 City of Providence Enacted Budget,"['budget', 'fy2013']",Dataset,1249.0,0.05258504546985517
Reference,,Local Union 1033 Union Contract 2011-2015,"['1033', 'contract', 'employees', 'union']",File or Document,1219.0,0.05132199393735264
Neighborhoods,"This dataset contains a list of public and privately owned community gardens within Providence. Data was collected in the summer of 2014. For additional information on gardens, contact the Healthy Communities Office, at (401) 421-7740, ext. 733.",Map of Community Gardens in Providence,"['food', 'garden']",Map,1150.0,0.04841697541259683
Finance,"The enacted budget for the Fiscal Year July 1, 2015 through June 30, 2016",FY2016 City of Providence Enacted Budget,"['budget', 'fy2016']",Dataset,1083.0,0.04559616032334119
Finance,"Budget enacted by the City Council for the Fiscal Year July 1, 2013 through June 30, 2014",Summary Account view of FY2011 through FY2015,"['budget', 'fy2014']",Filtered View,894.0,0.03763893566857528
Neighborhoods,"Supplemental Nutrition Assistance Program (SNAP) offers nutrition assistance to millions of eligible, low-income individuals and families and provides economic benefits to communities. SNAP is the largest program in the domestic hunger safety net. The Food and Nutrition Service works with State agencies, nutrition educators, and neighborhood and faith-based organizations to ensure that those eligible for nutrition assistance can make informed decisions about applying for the program and can access benefits. FNS also works with State partners and the retail community to improve program administration and ensure program integrity. Data collected as of July, 2013.",Elmwood Ave SNAP Vendors,"['benefits', 'food', 'nutrition', 'snap']",Map,782.0,0.03292354328056585
Neighborhoods,"Supplemental Nutrition Assistance Program (SNAP) offers nutrition assistance to millions of eligible, low-income individuals and families and provides economic benefits to communities. SNAP is the largest program in the domestic hunger safety net. The Food and Nutrition Service works with State agencies, nutrition educators, and neighborhood and faith-based organizations to ensure that those eligible for nutrition assistance can make informed decisions about applying for the program and can access benefits. FNS also works with State partners and the retail community to improve program administration and ensure program integrity. Data collected as of July, 2013.",SNAP Vendor List,"['benefits', 'food', 'nutrition', 'snap']",Dataset,767.0,0.03229201751431458
Reference,"Recommendations of the 2015 Elorza Transition Committee, as submitted to the Administration for review",Elorza Transition Committee Report,"['arts', 'cuisine', 'culture', 'housing', 'park']",File or Document,741.0,0.031197372852812395
Neighborhoods,"Layer that represents property boundaries. Specific tracts of real estate defined by a legal description and used for taxing purposes, among others. Data is current, as of Winter, 2014.",Providence Parcel Boundaries 2014,"['real estate', 'tax', 'property', 'boundaries', 'parcels']",Map,731.0,0.03077635567531155
Public Safety,Potholes reported and filled by the the Department of Public works.,Pothole Map,"['paving', 'transportation', 'safety']",Map,719.0,0.030271135062310543
Reference,This dataset contains the location and contact numbers for public schools in Providence.,Map of Providence Public Schools,"['lookup', 'schools']",Map,687.0,0.02892388009430785
Public Safety,This dataset contains a searchable map of crime reports within the City of Providence. Incidents can be filtered by date and crime type.,Providence Crime Map,[],External Link,656.0,0.02761872684405524
Finance,"This dataset contains the 2016 tax roll for the City of Providence, used for collections in FY2016. Property taxes are collected from July 1, 2016 to June 30, 2017.",2016 Property Tax Roll,"['property', 'real estate', 'tax']",Dataset,656.0,0.02761872684405524
Finance,The summary of key benchmarking findings for the City of Providence Ten Year Plan by the National Resource Network,City of Providence Ten Year Plan: Summary of Key Benchmarking Findings,['nrn'],File or Document,617.0,0.025976759851801954
Neighborhoods,"Supplemental Nutrition Assistance Program (SNAP) offers nutrition assistance to millions of eligible, low-income individuals and families and provides economic benefits to communities. SNAP is the largest program in the domestic hunger safety net. The Food and Nutrition Service works with State agencies, nutrition educators, and neighborhood and faith-based organizations to ensure that those eligible for nutrition assistance can make informed decisions about applying for the program and can access benefits. FNS also works with State partners and the retail community to improve program administration and ensure program integrity. Data collected as of July, 2013.",Citywide SNAP Vendors,"['benefits', 'food', 'nutrition', 'snap']",Map,612.0,0.025766251263051532
Neighborhoods,"Supplemental Nutrition Assistance Program (SNAP) offers nutrition assistance to millions of eligible, low-income individuals and families and provides economic benefits to communities. SNAP is the largest program in the domestic hunger safety net. The Food and Nutrition Service works with State agencies, nutrition educators, and neighborhood and faith-based organizations to ensure that those eligible for nutrition assistance can make informed decisions about applying for the program and can access benefits. FNS also works with State partners and the retail community to improve program administration and ensure program integrity. Data collected as of July, 2013.",Academy Ave SNAP Vendors,"['benefits', 'food', 'nutrition', 'snap']",Map,600.0,0.02526103065005052
Neighborhoods,"Supplemental Nutrition Assistance Program (SNAP) offers nutrition assistance to millions of eligible, low-income individuals and families and provides economic benefits to communities. SNAP is the largest program in the domestic hunger safety net. The Food and Nutrition Service works with State agencies, nutrition educators, and neighborhood and faith-based organizations to ensure that those eligible for nutrition assistance can make informed decisions about applying for the program and can access benefits. FNS also works with State partners and the retail community to improve program administration and ensure program integrity. Data collected as of July, 2013.",Upper South Providence SNAP Vendors,"['benefits', 'food', 'nutrition', 'snap']",Map,593.0,0.024966318625799934
Neighborhoods,"List of active business licenses in the City of Providence as issued by the Board of Licenses.  This dataset lists the primary license issued as well as all other licenses held under the primary.  Entertainment licenses are listed separately.
icons provided by: https://mapicons.mapsmarker.com/",Liquor License Map,"['licensing', 'neighborhood']",Map,578.0,0.02433479285954867
Neighborhoods,"Supplemental Nutrition Assistance Program (SNAP) offers nutrition assistance to millions of eligible, low-income individuals and families and provides economic benefits to communities. SNAP is the largest program in the domestic hunger safety net. The Food and Nutrition Service works with State agencies, nutrition educators, and neighborhood and faith-based organizations to ensure that those eligible for nutrition assistance can make informed decisions about applying for the program and can access benefits. FNS also works with State partners and the retail community to improve program administration and ensure program integrity. Data collected as of July, 2013.",Silver Lake SNAP Vendors,"['benefits', 'food', 'nutrition', 'snap']",Map,577.0,0.024292691141798585
,The Enterprise Zone Program is designed to offer tax incentives to businesses that expand their workforce at facilities located in a designated area,Enterprise Zones,"['business', 'economic development', 'enterprise zone', 'tax incentitives', 'workforce']",Map,564.0,0.023745368811047492
Finance,A fiscal plan for Providence prepared by the National Resource Network,A Strategic Fiscal & Management Plan for the City of Providence,['nrn'],File or Document,547.0,0.02302963960929606
Neighborhoods,"The City of Providence has partnered with Goodwill to place their collection bins around the city as a way to divert textiles from recycling, and to collect clothing donations.",Map of Goodwill Collection Bins,"['donation', 'goodwill']",Map,524.0,0.022061300101044123
Retirement,"Actuarial Valuation and Review of The Employee Retirement System of the City of Providence, as of July 1, 2013",2013 Retirement System Actuarial Valuation,"['pension', 'retirement']",File or Document,507.0,0.02134557089929269
Reference,Providence Ward Boundaries as of 2014,Wards 2014,['wards'],Map,476.0,0.02004041764904008
Finance,"Comparison of Providence Full-Time Employee count from July 1, 2010 to July 1, 2014.",FTE - FY2011 To FY2015 - City Of Providence,"['budget', 'employees']",Dataset,467.0,0.019661502189289325
Public Safety,Potholes reported and filled by the the Department of Public works.,Pothole Counter,"['paving', 'transportation', 'safety']",Filtered View,463.0,0.019493095318288987
Finance,Independent Report in City Finances through FY2021,Providence PFM Report,[],File or Document,452.0,0.01902997642303806
Neighborhoods,"Base zoning districts for the City of Providence.
*Note: new zoning districts will be published after Dec. 24, 2014.",Base Zoning,['zoning'],Map,444.0,0.018693162681037385
Finance,Energy data on Providence Municipal buildings by year,Municipal Building Energy Use and Energy Star Score,"['energy', 'sustainability']",Dataset,439.0,0.018482654092286964
Neighborhoods,"This dataset contains a list of public and privately owned community gardens within Providence. Data was collected in the summer of 2014. For additional information on gardens, contact the Healthy Communities Office, at (401) 421-7740, ext. 733. For more information about urban agriculture in Providence, see http://www.providenceri.com/healthy-communities/urban-agriculture.",Community Gardens in the City of Providence,"['food', 'garden']",Dataset,435.0,0.01831424722128663
Reference,Neighborhood boundaries for the City of Providence,Neighborhood Boundaries,"['boundaries', 'neighborhood']",Map,427.0,0.017977433479285956
Finance,"This dataset provides a list of vendor payments made since FY2013. The data is updated monthly, and is pushed to the Open Checkbook application, found at http://opencheckbook.providenceri.gov/",City of Providence Expenditures,"['finance', 'expenditures']",Dataset,424.0,0.017851128326035703
Reference,Worst case hurricane surge inundation areas for category 1 through 4 hurricanes striking the coast of Rhode Island.,Hurricane Surge (Worst Case) Inundation Areas,"['hurricane surge', 'inundation areas', 'rhode island coast']",Map,403.0,0.016966992253283936
Reference,City offices will be closed on official holidays,2014 City Holiday Calendar,"['2014', 'holiday']",Calendar,402.0,0.01692489053553385
Finance,"City overall spending by Department, FY2010 to FY2014.  Note that 2013 and 2014 do not tie to the City budget due to budgeted transfers to the rainy day fund being excluded from this analysis.",City overall spending by Department FY2010 to FY2014,[],Dataset,397.0,0.01671438194678343
Finance,"Budget enacted by the City Council for the Fiscal Year July 1, 2013 through June 30, 2014",Tree Map of FY2014 Department Spending,"['budget', 'fy2014']",Chart,376.0,0.01583024587403166
Finance,"Budget enacted by the City Council for the Fiscal Year July 1, 2013 through June 30, 2014",Tree Map of FY2014 Expenditures,"['budget', 'fy2014']",Chart,364.0,0.01532502526103065
