category,descrip,name,topics,type,views,views_norm
Police,"This is the City of Raleigh Police Incident Data from 2005-present.  Each row represents a report made by the police officer, but not all reports may have resulted in arrests or convictions. This dataset updates the previous day's records daily by 11am. The locations provided with this dataset DO NOT reflect the exact locations where the incidents occurred. The locations provided represent a randomized location within the general neighborhood area where the incident was reported. 
To protect the privacy of victims and their families further, the Raleigh Police Department (RPD) has redacted all location information associated with incidents involving sexual assault, child abuse, juvenile incidents, domestic abuse and other related incidents. The column heading ""LCR DESC"" represents the description of Incident Type. 
The column heading ""LCR"" is the local code used by police to categorize the Incident Type Years covered: 2005 - present day.
This data is collected and presented according to the Summary Uniform Crime Reporting (UCR) standard set by the FBI. Find out more about the standards here: https://ucr.fbi.gov/ucr-program-data-collections#National & detailed information about Summary UCR method here: https://ucr.fbi.gov/nibrs/summary-reporting-system-srs-user-manual",Police Crime Incident Data from Jan 1 2005 - Present - Master (Summary UCR),"['reporting', 'uniform', 'ucr', 'rpd', 'incident']",Dataset,10866.0,1.0
Urban Planning,"This dashboard shows basic information for all submitted development plans that are approved or under review. Development plans include Master Plans, Subdivision, Site Plans, Administrative Site Review, and Group Housing plans. Actual copies of submitted and approved plans can be found in the table below for each record. Or, search here to find copies of recent submitted development plans.?Issued and Pending Permits?can be explored on a different dashboard.?For additional reports and searches, you can visit Raleigh's online development center.",Development Plans Dashboard (Discontinued),[],Data Lens,8064.0,0.7421314191054665
Police,"This is the City of Raleigh Police Incident Data for 2005, 2006, 2007, 2008, 2009, 2012, 2013 (when 2010 and 2011 becomes available it will be added)",All Police Incident Master Data - Heat Map,['socrata'],Map,5350.0,0.49236149457021905
Urban Planning,"This dataset includes all pending and approved permits related to buildings, as well as non-construction inspections permits. Dataset is updated daily at 5:30pm. This dataset does not include plumbing, electrical, mechanical, right of way, grading or other types of permits.
Improvements to this dataset include alignment with a national data standards called BLDS, including additional fields related to contractors.
This dataset replaced the previous COR Building Permit dataset created in 2014 found here: https://data.raleighnc.gov/d/hk3n-ieai",Building Permits Master - Official BLDS Standard (NEW),"['residential', 'standard', 'master', 'property', 'new buildings']",Dataset,4560.0,0.4196576477084484
Police,Daily police incident reports from the previous 24 hour period.,Police Incident Data Daily Snapshot,[],Filtered View,4106.0,0.3778759433094055
Police,"This dataset only includes Police Incidents reported from the previous calendar day, which is updated every day at 11AM, provided by City of Raleigh Police Department.  The locations provided represent a randomized location within the general neighborhood area where the incident was reported. To protect the privacy of victims and their families further, the Raleigh Police Department (RPD) has redacted all location information associated with incidents involving sexual assault, child abuse, juvenile incidents, domestic abuse and other related incidents. 
Column Heading = Code of Incident Type LCR DESC Column Heading = Description of Incident Type
For the full dataset of all Police Incidents since 2005: https://data.raleighnc.gov/Police/Police-Incident-Data-All-Dates-Master-File/csw9-dd5k",Daily Police Incidents,"['crime', 'crime reports', 'incident', 'police incident', 'police']",Dataset,4056.0,0.3732744340143567
Public Safety,"Fire Incident Data from January 1, 2007 through the most currently released data. Data is currently scheduled for release by the 5th of the current month for the previous month.
See the attached ""NFIRS_CODES.pdf"" with all of the codes and an explanation of them. 
The CoR Fire Department excludes incident types of 300 through 399 and type 661 because of the calls being EMS related and our concerns for privacy.","Fire Incident Data - January 1, 2007 to Most Current Release","['incident', 'fire']",Dataset,3801.0,0.3498067366096079
Fiscal Year 2014 Proposed to Council,The published data set shows the FY2012-13 Adopted and FY2013-14 Proposed Operating Budget detail at the division and line-item level. See the attached documentation for a complete description of the data set and the budget reporting process.,Adopted FY13 Budget and Proposed FY14 Budget,"['2014', '2014 proposed', 'fy14', 'budget']",Dataset,3792.0,0.34897846493649914
Police,"This is the City of Raleigh Police Incident Data for 2005, 2006, 2007, 2008, 2009, 2012, 2013 (when 2010 and 2011 becomes available it will be added)",All Police Incident by STAGE 1 type,['socrata'],Map,3781.0,0.34796613289158845
Police,"This is the City of Raleigh Police Incident Data for 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015
LCR Column Heading = Code of Incident Type
LCR DESC Column Heading = Description of Incident Type",Driving-While-Impaired-2014-2015,[],Filtered View,3642.0,0.33517393705135284
