category,descrip,name,topics,type,views,views_norm
Culture and Recreation,"If you love movies, and you love San Francisco, you're bound to love this -- a listing of filming locations of movies shot in San Francisco starting from 1924. You'll find the titles, locations, fun facts, names of the director, writer, actors, and studio for most of these films.",Film Locations in San Francisco,"['directors', 'actors', 'movies', 'locations', 'film']",Dataset,113129.0,1.0
Public Safety,Incidents are derived from SFPD Crime Incident Reporting system.   Updated on a daily basis;data available from 1 Jan 2003 up until two weeks from current date.,Map of Police Department Incidents,"['police', 'sfpd']",Map,77413.0,0.6842896162787614
Public Safety,"***As of July 19, 2015, the PD District boundaries have been updated through a redistricting process. These new boundaries are not reflected in the dataset yet so you cannot compare data from July 19, 2015 onward to official reports from PD with the Police District column. We are working on an update to the dataset to reflect the updated boundaries starting with data entered July 19 onward.***
Incidents derived from SFPD Crime Incident Reporting system  Updated daily, showing data from 1/1/2003 up until two weeks ago from current date. Please note: San Francisco police have implemented a new system for tracking crime. The dataset included here is still coming from the old system, which is in the process of being retired (a multi-year process).  Data included here is no longer the official SFPD data. We will migrate to the new system for DataSF in the upcoming months.",Police Department Incidents,"['police department', 'crime', 'sfpd']",Dataset,69847.0,0.6174102131195361
Economy and Community,"This dataset includes the locations of businesses that pay taxes to the City and County of San Francisco. Each registered business may have multiple locations and each location is a single row. The Treasurer & Tax Collector?s Office collects this data through business registration applications, account update/closure forms, and taxpayer filings. The data is collected to help enforce the Business and Tax Regulations Code including, but not limited to: Article 6, Article 12, Article 12-A, and Article 12-A-1. http://sftreasurer.org/registration",Registered Business Locations - San Francisco,['business'],Dataset,60205.0,0.5321800776105154
City Infrastructure,"***This dataset was reset and modified on 04/19/2017. Read the full notice of changes in the 'About' section of this dataset.*** 
SF311 cases created since 7/1/2008 with location information. For more information about Open311, see http://www.open311.org/.",311 Cases,"['calls', 'customer service', 'cases', 'case', '311']",Dataset,43463.0,0.3841897303078786
Health and Social Services,Provides the seniority list for entry into HSA 90 day emergency shelter waitlist. The list will be generated on 2/24/14 and updated twice daily.,HSA 90 day emergency shelter waitlist,[],Dataset,40430.0,0.3573796285656198
Geographic Locations and Boundaries,A list of officially valid street names contained in the City's GIS Basemap,Street Names,"['map', 'base', 'basemap', 'names', 'street']",Dataset,27600.0,0.24396927401462049
Economy and Community,"Mobile Food Facility Permits including name of vendor, location, type of food sold and status of permit.  Mobile Food Facility Permit Schedule is here https://data.sfgov.org/d/jjew-r69b",Mobile Food Facility Permit,"['mff', 'facility', 'truck', 'permits', 'food']",Dataset,13912.0,0.12297465724968841
Public Safety,"***As of July 19, 2015, the PD District boundaries have been updated through a redistricting process. These new boundaries are not reflected in the dataset yet so you cannot compare data from July 19, 2015 onward to official reports from PD with the Police District column. We are working on an update to the dataset to reflect the updated boundaries starting with data entered July 19 onward.***
Incidents derived from SFPD Crime Incident Reporting system  Updated daily, showing data from 1/1/2014 up until two weeks ago from current date. Address and location has been anonymized by moving to mid-block or to an intersection.",Police Department Incidents - Previous Year (2016),"['crime', 'sfpd']",Filtered View,13402.0,0.11846652936028781
City Management and Ethics,This dataset includes all summary totals e-filed on Fair Political Practices Commission (FPPC) Form 460 Summary Page from 1998 to the present.The data is current as of the last modified date on this dataset.See the data key for column definitions:  https://data.sfgov.org/Ethics/Campaign-Finance-Data-Key/wygs-cc76,Campaign Finance - FPPC Form 460 - Summary Totals,"['460', 'form', 'fppc', 'summary', 'finance']",Dataset,11430.0,0.10103510152127218
Energy and Environment,"Data updated 5/08/2017. The Existing Commercial Buildings Energy Performance Ordinance (Environment Code Chapter 20) requires that each non-residential building with at least 10,000 square feet of conditioned (heated or cooled) space must be benchmarked using Energy Star Portfolio Manager annually, and undergo an energy audit or retrocommissioning at least once every 5 years. 
More information: www.sfenvironment.org/ecb This dataset lists compliance status for private-sector (non-municipal) properties where the owner has been notified a building is subject to the ordinance. Fields reported have expanded as of early October 2015 to include energy use intensity, the 1-100 Portfolio Manager rating, and estimated greenhouse gas emissions from annual energy consumption.
View the data lens feature here: https://data.sfgov.org/Energy-and-Environment/Existing-Commercial-Buildings-Energy-Performance-O/v3c6-n4qs",Existing Commercial Buildings Energy Performance Ordinance Report,"['buildings', 'building', 'energy']",Dataset,11299.0,0.09987713141634771
Public Safety,"Incidents derived from SFPD Crime Incident Reporting system  Updated daily, showing data from 1/1/2003 up until two weeks ago from current date. Please note: San Francisco police have implemented a new system for tracking crime. The dataset included here is still coming from the old system, which is in the process of being retired (a multi-year process).  Data included here is no longer the official SFPD data. We will migrate to the new system for DataSF in the upcoming months.",Police Department Incidents Explorer,[],Data Lens,11162.0,0.09866612451272441
City Infrastructure,"List of dpw maintained street trees including: Planting date, species, and location",Street Tree List,['trees'],Dataset,8981.0,0.0793872481856995
City Infrastructure,Cases created since 7/1/2008 with location information,All cases map view,[],Map,8367.0,0.07395981578551919
Public Safety,"***As of July 19, 2015, the PD District boundaries have been updated through a redistricting process. These new boundaries are not reflected in the dataset yet so you cannot compare data from July 19, 2015 onward to official reports from PD with the Police District column. We are working on an update to the dataset to reflect the updated boundaries starting with data entered July 19 onward.***
Incidents derived from SFPD Crime Incident Reporting system  Updated daily, showing data from 1/1/2003 up until two weeks ago from current date. Please note: San Francisco police have implemented a new system for tracking crime. The dataset included here is still coming from the old system, which is in the process of being retired (a multi-year process).  Data included here is no longer the official SFPD data. We will migrate to the new system for DataSF in the upcoming months.",Police Department Incidents - Current Year (2017),"['crime', 'sfpd']",Filtered View,8169.0,0.07220960142845778
City Infrastructure,"SF311 launched its current knowledge base in July 2012. This dataset shows the title of the articles in our knowledge base that are used to answer information requests, and the number of times they were accessed by our Customer Service Representatives on a call. This dataset is updated on a monthly basis.",311 Information Requests by Month,[],Dataset,7253.0,0.06411265016043631
Public Safety,Incidents are derived from SFPD Crime Incident Reporting system.  Previous 3 months.  Updated on a daily basis.,West Portal Area,['sfpd'],Map,7122.0,0.06295468005551184
Housing and Buildings,"map of all SF properties with associated, zoning, permits, complaints and appeals history",San Francisco Property Information Map,"['planning', 'gis', 'pim']",External Link,7032.0,0.06215912807502939
City Infrastructure,"List of dpw maintained street trees including: Planting date, species, and location",Street Tree Map,['trees'],Map,6680.0,0.059047635884697997
Geographic Locations and Boundaries,"All active addresses from the City's Enterprise Addressing System, including sub-addresses, such as units. Includes references to parcel and street centerline data. Updated nightly.See EAS Base Addresses for base addresses not including units.",Addresses with Units - Enterprise Addressing System (EAS),"['enterprise addressing system', 'dbi', 'addresses', 'eas']",Dataset,6679.0,0.0590387964182482
Economy and Community,"Mobile Food Facility Permits including name of vendor, location, type of food sold and status of permit.",Mobile Food Permit Map,"['mobile food facility', 'food truck', 'permits', 'food', 'mobile']",Map,6479.0,0.05727090312828718
Transportation,"All parking meters owned by the SFMTA and the Port of San Francisco as of March 2014. Find attached a data dictionary, a version of the map as a PDF, and a shapefile of the data. This data includes locations of meters; meter characteristics, such as single-space or multi-space meter, smart meter status, sensor status, owner, on or off-street location; rate areas; cap colors (use type and restrictions): Black: Motorcycle parking, Brown: Tour bus parking, Green: Short term parking, Grey: General metered parking, Purple: Boat trailer parking, Red: Six-wheeled commercial vehicle parking, Yellow: Commercial vehicle parking. Please direct any data inquiries to info@sfpark.org",Parking meters,"['parking', 'meter']",Dataset,6423.0,0.056775893007098094
City Management and Ethics,Cases created since 7/1/2008 with location information,Street and Sidewalk Cleaning,[],Filtered View,6420.0,0.056749374607748676
Transportation,SFMTA transit stop and schedule data available in the General Transit Feed Specification (GTFS) format.,SFMTA Transit Stop and Schedule Data (GTFS format).,[],External Link,6330.0,0.05595382262726622
City Management and Ethics,"The San Francisco Sunshine Ordinance, S.F. Admin. Code Section 67.1 et seq., requires lobbyists who contract for economic consideration with the City to represent the City in matters before any local, regional, state or federal administrative or legislative body to file quarterly activity reports with the Ethics Commission. These persons and entities are referred to as ?Lobbyists on Behalf of the City.?
Please note: Lobbyists on Behalf of the City should not be confused with lobbyists who attempt to influence City officers on local legislative or administrative action on behalf of private parties. The latter are regulated by the San Francisco Lobbyist Ordinance, S.F. Campaign and Governmental Conduct Code Section 2.100, et seq., not by the Sunshine Ordinance.",Lobbyists on Behalf of the City Disclosure Reports,[],Filtered View,6112.0,0.054026818941208705
City Infrastructure,"Monthly metrics from the SF311 Call Center including Calls Answered, Percentage of Calls Ansewered within 60 Seconds, Average Speed of Answer (seconds) and Transferred Calls Percentage.",311 Call Metrics by Month,[],Dataset,6071.0,0.0536644008167667
City Infrastructure,SF311 cases created since 7/1/2008 with location information,[Socrata] 311test,[],Filtered View,5993.0,0.052974922433681904
City Management and Ethics,"San Francisco Campaign and Governmental Conduct Code (""S.F. C&GC Code"") sections 1.143(c), 1.152(a)(3), 1.161(b), 1.161.5, and 1.160.5 require persons who make any independent expenditure, electioneering communication, or member communication that clearly identifies a candidate for City elective office or who authorizes, administers or pays for a persuasion poll to file disclosure statements with the Ethics Commission. For detailed instructions, please see Third Party Disclosure Form Regarding Candidates.","Third-Party Spending in Support or Opposition of Candidates - November 6, 2012 Election","['2012', 'election', 'november', 'candidates', 'disclosure']",Chart,5932.0,0.05243571498024379
Housing and Buildings,"Data includes eviction notices filed with the San Francisco Rent Board per San Francisco Administrative Code 37.9(c). A notice of eviction does not necessarily indicate that the tenant was eventually evicted, so the notices below may differ from actual evictions. Notices are published since January 1, 1997.",Eviction Notices,"['eviction notices', 'protected status', 'rent control']",Dataset,5851.0,0.05171971819780958
Economy and Community,"The Census Bureau conducts nearly one hundred surveys and censuses every year. By law, no one is permitted to reveal information from these censuses and surveys that could identify any person, household, or business. The Decennial Census collects data every 10 years about households, income, education, homeownership, and more. NOTE: Follow the link and search for SAN FRANCISCO data.",US Census Bureau Data,[],External Link,5484.0,0.048475634010731114
Housing and Buildings,"Snapshot of San Francisco Development Pipeline. Tracking of construction and entitlement activity based on data from Dept of Building Inspection's Permit Tracking and the Planning Department's Case Tracking enterprise databases, processed quarterly.",San Francisco Pipeline Map Fourth Quarter 2012,"['planning', 'construction', 'housing', 'development']",Map,5228.0,0.04621273059958101
City Management and Ethics,The name of each officer of the City and County of San Francisco with whom a lobbyist made a contact.  Contacts of public officials are disclosed by lobbyists registered with the Ethics Commission on a monthly basis.  This dataset updates automatically every night.,Lobbyist Activity - Contacts of Public Officials,"['public official', 'contacts', 'lobbyist', 'ethics']",Dataset,5141.0,0.045443697018447964
City Management and Ethics,"This dataset includes all itemized monetary contributions ($100 or more) e-filed on Fair Political Practices Commission (FPPC) Form 460 Schedule ""A"" Monetary Contributions from 1998 to the present.The data is current as of the last modified date on this dataset.See the data key for column definitions:  https://data.sfgov.org/Ethics/Campaign-Finance-Data-Key/wygs-cc76",Campaign Finance - FPPC Form 460 - Schedule A - Monetary Contributions,"['460', 'form', 'fppc', 'contributions', 'monetary']",Dataset,5137.0,0.04540833915264875
City Management and Ethics,Shows the job titles associated with job classifications. Used with the Job Titles by Classification and Employees by Classification,Salary Ranges by Job Classification,[],Dataset,5107.0,0.0451431551591546
Transportation,Each  file contains ~24 hours of data from the GPS units affixed to SFMTA vehicles.,Raw AVL/GPS data,[],External Link,5085.0,0.04494868689725888
City Management and Ethics,"The dataset includes a list of SFEC 1.126 Notification of Contract Approval Filings filed with the San Francisco Ethics Commission.Each City elective officer who approves a contract that has a value of $50,000 or more in a fiscal year must file form SFEC-126 with the Ethics Commission within five business days of approval. This filing requirement applies if the contract is approved by:(1)the City elective officer, (2) any board on which the City elective officer serves, or (3) the board of any state agency on which an appointee of the City elective officer serves.To view the filings, proceed to:  http://www.sfethics.org/ethics/contracts/",Campaign Finance - SFEC 1.126 Notification of Contract Approval Filings,"['contractors', 'limits', 'contribution', 'notification', 'campaign finance']",Filtered View,4991.0,0.044117777050977205
Geographic Locations and Boundaries,Lists intersecting Supervisor Districts and ZIP Codes for City and County of San Francisco.,Supervisor District to ZIP Code Crosswalk,"['zip code', 'district', 'supervisor']",Dataset,4892.0,0.0432426698724465
City Infrastructure,Active Street use permits issued by DPW,Street-Use Permits,"['bicycle', 'banner', 'row', 'occupancy', 'temporary']",Dataset,4877.0,0.04311007787569942
Public Safety,"Fire Calls-For-Service includes all fire units responses to calls. Each record includes the call number, incident number, address, unit identifier, call type, and disposition. All relevant time intervals are also included. Because this dataset is based on responses, and since most calls involved multiple units, there are multiple records for each call number. Addresses are associated with a block number, intersection or call box, not a specific address.",Fire Department Calls for Service,"['medical', '911', 'fire', 'calls']",Dataset,4526.0,0.040007425151817835
Transportation,"Publicly available off-street parking in San Francisco as of September 2011. Find attached a data dictionary, a version of the map as a PDF (symbolized to show garage type and capacity of garage), and a shapefile and CSV of the data. This dataset includes location, capacities, and related details of public parking garages and lots; four parking categories: paid, publicly available (PPA): drive up and pay, typically by the hour or by the day; customer parking only (CPO): typically for businesses or religious institutions; permit holder only (PHO, CGO): i.e. employees only, students only, monthly only; free publicly available (FPA): free off-street parking. The data does not contain off-street residential parking spaces or other unmarked ???private?? parking.",Off-street parking lots and parking garages map,"['garages', 'parking lots', 'parking garages', 'parking', 'sfpark']",Map,4455.0,0.03937982303388168
City Management and Ethics,"The San Francisco Controller's Office maintains a database of spending and revenue data sourced from it's citywide financial system. This data is presented on the Spending and Revenue report hosted at http://openbook.sfgov.org, and is also available in this dataset in CSV format. New data is added on a weekly basis, and is available from fiscal year 2000 forward.",Spending And Revenue,"['openbook', 'open book', 'sfopenbook', 'amount', 'revenue']",Dataset,4392.0,0.03882293664754395
Public Safety,The SFPD incident dataset filtered where the Description = 'TRAFFIC ACCIDENT',Police Department Incidents - Traffic Accidents,['sfpd'],Filtered View,4142.0,0.03661307003509268
City Management and Ethics,"This dataset includes all itemized monetary contributions ($100 or more) e-filed on Fair Political Practices Commission (FPPC) Form 460 Schedule ""A"" Monetary Contributions from 1998 to the present.The data is current as of the last modified date on this dataset.See the data key for column definitions:  https://data.sfgov.org/Ethics/Campaign-Finance-Data-Key/wygs-cc76","Campaign Finance - FPPC Form 460 - Schedule A - Monetary Contributions - Board of Education - November 4, 2014 Election","['460', 'form', 'fppc', 'contributions', 'monetary']",Filtered View,4087.0,0.0361268993803534
Culture and Recreation,"The following data-set is from the Recreation and Park Departments Master Property database. It list all Parks, Playgrounds, and Stadiums. This master list also contains the Park Service Area Manager along with their individual contact information.",Recreation & Park Department Park Info Dataset,"['stadiums', 'playgrounds', 'parks', 'recreation']",Dataset,4087.0,0.0361268993803534
