category,descrip,name,topics,type,views,views_norm
Government,Position & Salary information for San Mateo County Job Classifications,Job Classification Table: Table View,[],Filtered View,47840.0,1.0
Housing & Development,"In April 2013, the San Mateo County Board of Supervisors approved an allocation, through a ""Notice of Funding Availability"" (NOFA) process, of approximately $13.4 million of unrestricted General Funds for affordable housing purposes. These funds were derived from a one-time distribution of Housing Trust Funds held by former redevelopment agencies in San Mateo County. These unrestricted general funds - which initiated the County's Affordable Housing Fund (AHF) - were set aside to provide financial assistance for the development of multifamily affordable rental housing and provision of emergency and transitional shelter in the County. The Board directed the County's Department of Housing to develop allocation guidelines and recommend projects for funding.  As of May 2014, approximately $13.2 million of AHF funds have been allocated, collectively, to six multifamily affordable rental housing developments and four emergency and transitional housing projects (""AHF 1.0"").
On August 5, 2014, the County Board of Supervisors authorized the Housing Authority of the County of San Mateo to publish another NOFA, using funds from the Housing Authority's Housing Assistance Program (HAP) Reserves to create affordable housing options for low-, very low-, and extremely low-income households. A total of $5 million was awarded to five projects, including three multifamily affordable housing rental developments, a homeownership project, and a farmworker housing program. This became the second funding round of the AHF (""AHF 2.0"").",Affordable Housing Map (embed),"['funding', 'development', 'affordable housing']",Map,34539.0,0.7219690635451504
Government,Position & Salary information for San Mateo County Job Classifications,Job Classification Table (JCT),[],Dataset,10344.0,0.2162207357859532
Government,"This is a list of unclaimed checks issued by San Mateo County. If you are the payee and your check has been lost or destroyed or stale-dated, please fill out this form (https://controller.smcgov.org/document/affidavit-lost-or-destroyed-check) and follow the included instructions to obtain a replacement check. If you have the check (which is less than six-months old) and need additional information prior to deposit, please e-mail lcatoc@smcgov.org for assistance.
This dataset contained a column for check number until February, 2017 when that data was removed for security reasons.",Unclaimed Checks,[],Dataset,10198.0,0.21316889632107022
Government,Raw Dataset feeding the Public Checkbook Explorer,Checkbook Live Data,['checkbook'],Dataset,2961.0,0.0618938127090301
Transportation,"The Federal Aviation Administration (FAA) and other government entities have issued regulations for flying Unmanned Aircraft Systems (UAS) or, more commonly, drones. Areas of exclusion include National Parks, Military Bases, and with notification restrictions within a 5 mile area of airports. This map shows areas where drones cannot be flown (over the Golden Gate National Recreation Area) as well as areas where UAS operators must notify an airport or control tower when flying within 5 nautical miles of an airport. The following are the most important regulations related to UAS operations: 1. Fly no higher than 400 feet and remain below any surrounding obstacles when possible. 2. Do not intentionally fly over unprotected persons or moving vehicles, and remain at least 25 feet away from individuals and vulnerable property. 3. Check and follow all local laws and ordinances before flying over private property. 4. Remain well clear of and do not interfere with manned aircraft operations, and you must see and avoid other aircraft and obstacles at all times. 5. Contact the airport or control tower before flying within five miles of an airport. The full set of regulations can be found on the Know Before You Fly Site: http://knowbeforeyoufly.org/wp-content/uploads/2015/01/KBYF_Brochure.pdfThis data comes from a Mapbox project: https://www.mapbox.com/blog/dont-fly-here/",Drone No Fly Zones,"['regulations', 'airports', 'drones']",Map,2404.0,0.050250836120401335
Government,Raw Dataset feeding the Public Checkbook Explorer,GTG Payment Roll-up Graph,['checkbook'],Chart,2317.0,0.048432274247491636
Government,"Areas in San Mateo County that are not part of a city. The unincorporated areas include: Broadmoor, Burlingame Hills, Devonshire, El Granada, Emerald Lake Hills, Fair Oaks, Highlands/Baywood Park, La Honda, Ladera, Loma Mar, Los Trancos Woods/Vista Verde, Menlo Oaks, Montara, Moss Beach, North Fair Oaks, Palomar Park, Pescadero, Princeton, San Gregorio, South Coast/Skyline, Sequoia Tract, Skylonda, Stanford Lands and West Menlo Park",Unincorporated Areas,['county boundaries'],Map,2040.0,0.042642140468227424
Government,Feature that delineates the city and unincorporated areas within San Mateo County.,City and Unincorporated Areas,"['unincorporated boundaries', 'city']",Map,1901.0,0.039736622073578594
Government,This dataset is San Mateo County's Adopted Budget for FY 13/14 at the sub unit and sub account level.,San Mateo County  Adopted Budget FY 13/14,['budget'],Dataset,1856.0,0.03879598662207358
Health & Human Services,"Inspection results are available online 14 days after the inspector's visit. To file a complaint about a food facility in San Mateo County call (650) 372-6200, email EnvHealth@smcgov.org, or use our Online Complaint Form and submit your complaint online: https://ehesubmit.smchealth.org/servlet/guest?service=0&formId=87&saveAction=2&enterprise=9
Some addresses for inspection results are located outside of San Mateo County. In these cases, this is likely the business address for a company that has provided food services within the County. In many cases, this is a caterer or other service provider for an event or similarly temporary location.
Code definitions for violations and inspection results are attached to this metadata. Many thanks to Tom Cox of OpenSMC for creating this glossary.",Restaurant Health Inspections,"['inspections', 'violations', 'food', 'restaurants']",Dataset,1782.0,0.03724916387959866
Government,Raw Dataset feeding the Public Checkbook Explorer,Agency Count,['checkbook'],Filtered View,1662.0,0.03474080267558528
Government,Raw Dataset feeding the Public Checkbook Explorer,Vendor Count,['checkbook'],Chart,1584.0,0.03311036789297659
Government,"Census data for cities and Census Designated Places in San Mateo County. Includes population, race, Hispanic ethnicity, gender, age groups, household, family, and housing information. This data is from the 2010 United States Census Summary File 1 (SF1).",Census Data for Cities 2010,"['population', 'census', 'demographics']",Dataset,1562.0,0.0326505016722408
Government,Weekly report of the number of clients connected to public wifi  locations in San Mateo County. Data includes the amount of data sent and received by each access point.,SMC Public Wifi Associated Clients Timeline,"['digital divide', 'internet access', 'public wifi']",Chart,1495.0,0.03125
Government,Raw Dataset feeding the Public Checkbook Explorer,expenditures over time,['checkbook'],Chart,1433.0,0.02995401337792642
Government,Raw Dataset feeding the Public Checkbook Explorer,Org description pie,['checkbook'],Chart,1421.0,0.029703177257525085
Government,Position & Salary information for San Mateo County Job Classifications,Job Classification Table with Position Summary View,[],Filtered View,1393.0,0.02911789297658863
