category,descrip,name,topics,type,views,views_norm
Transportation,This data is derived from sensor stations placed on bridges and surface streets within city limits.  Each station has a temperature sensor that measures the temperature of the street surface and a sensor that measures the ambient air temperature at the station each second.  Those values are averaged into temperature readings that are recorded by the station every minute.  The dataset is updated every fifteen minutes with new data.,Road Weather Information Stations,"['transportation', 'seattle', 'temperature', 'street', 'weather']",Dataset,189222.0,1.0
Public Safety,"This dataset is all the Police responses to 9-1-1 calls within the city. Police response data shows all officers dispatched. To protect the security of a scene, the safety of officers and the public, and sensitive ongoing investigation, these events are added to the data.seattle.gov only after the incident is considered safe to close out. Data is refreshed on a 4 hour interval.",Seattle Police Department 911 Incident Response,"['census911incidents', 'incident response', 'crime', 'police', '911']",Dataset,117048.0,0.618575007134477
City Business,This dataset includes sales data for fleet equipment that was sold in the current and previous two years. This dataset does not include sales data for Seattle City Light (SCL) fleet equipment.,Sold Fleet Equipment,"['surplus', 'auction', 'trucks', 'cars', 'equipment']",Dataset,89450.0,0.4727251588081724
Finance,Most recent list of fleet equipment sent to auction,Current Fleet Surplus/Auction List,"['auction', 'surplus', 'equipment', 'fleet']",Dataset,81935.0,0.43300990371098497
Public Safety,These incidents are based on initial police reports taken by officers when responding to incidents around the city. The information enters our Records Management System (RMS) and is then transmitted out to data.seattle.gov. This information is published within 6 to 12 hours after the report is filed into the system.,Seattle Police Department Police Report Incident,"['census911incidents', 'police report', 'police', 'crime']",Dataset,71374.0,0.37719715466489095
Public Safety,Provides Seattle Fire Department 911 dispatches. Updated every 5 minutes.,Seattle Real Time Fire 911 Calls,"['sfd mobile', 'dispatch e911', 'fire', '911', 'seattle']",Dataset,55826.0,0.2950291192356069
Permitting,Building Permits issued in the past five years or currently in progress,Building Permits : Current,"['dci', 'dpd', 'construction', 'permit']",Dataset,52474.0,0.2773144771749585
Community,"This dataset provides a list of websites, blogs, wikis, Twitter feeds, and Facebook pages associated with neighborhood-specific groups and organizations. To add a new site visit http://www.seattle.gov/communitiesonline/addform.htm/jmzd-2qjz",Seattle Communities Online Inventory,"['blogs', 'facebook', 'neighborhood groups', 'twitter', 'wikis']",Dataset,29112.0,0.15385103212100074
Community,Current and historical information about complaints received that have become cases for further investigation.,Seattle code violations database,"['code enforcement', 'code violation', 'dpd']",Filtered View,28970.0,0.15310059084038855
Public Safety,"These offenses correspond to the Police Report Incidents
http://data.seattle.gov/dataset/Seattle-Police-Department-Police-Report-Incident/7ais-f98f",Seattle Police Department Police Report Offense,"['police report', 'police', 'crime']",Dataset,23759.0,0.12556150976102146
