category,descrip,name,topics,type,views,views_norm
311 Call Center,,311 Constituent Services Daily Calls,[],Dataset,2413.0,1.0
311 Call Center,This dataset includes all calls for service in which a work order is created. This dataset is a subset of all 311 Calls.,311 Daily Service Requests,"['isd', 'dpw', 'work orders', 'service requests', '311']",Dataset,2170.0,0.899295482801492
City Services,All building permits are submitted online via the Citizenserve software. You can see detailed information here about these applications. Online submitter of building applications began on May of 2014.,ISD Building Permit Daily Applications,"['commercial', 'residential', 'isd', 'construction', 'building permits']",Dataset,1913.0,0.792789059262329
311 Call Center,This dataset includes all calls for service in which a work order is created. This dataset is a subset of all 311 Calls.,311 WO Issues,"['isd', 'dpw', 'work orders', 'service requests', '311']",Filtered View,1630.0,0.6755076668048073
Finance,"Under Massachusetts G. L. c. 66, ? 10(d), an employee?s name and place of employment may be exempt from public records disclosure if the employee or a family member was a victim of an adjudicated crime or is a victim of domestic violence, including but not limited to sexual assault or rape, or provide family planning services or provide training in family planning services, or have a court order protecting you from having your name disclosed in such a manner",City Of Somerville Weekly Payroll Gross Wages Over 50K_2015,"['2015', 'salary', 'salaries', 'budget', 'personnel']",Dataset,1550.0,0.64235391628678
Public Safety,"Robbery, burglary, theft of motor vehicle & theft from motor vehicle since 2005. Exact addresses are not displayed for privacy reasons.",Police - Selected Criminal Incidents,"['car breaks', 'burglary', 'robbery', 'crime', 'police']",Dataset,1515.0,0.627849150435143
,,Somerville 2010 Census Demographics,[],Dataset,1301.0,0.5391628677994198
Finance,"Under Massachusetts G. L. c. 66, ? 10(d), an employee?s name and place of employment may be exempt from public records disclosure if the employee or a family member was a victim of an adjudicated crime or is a victim of domestic violence, including but not limited to sexual assault or rape, or provide family planning services or provide training in family planning services, or have a court order protecting you from having your name disclosed in such a manner",City Of Somerville Weekly Payroll Gross Wages Over 50K_2016,"['2016', 'salary', 'salaries', 'budget', 'personnel']",Dataset,1244.0,0.5155408205553254
Happiness,"The City of Somerville sends out a happiness survey to a random sample of Somerville residents asking them to rate their personal happiness and their satisfaction with City services.  This combined dataset includes the survey responses from 2011, 2013, and 2015","Somerville Happiness Survey responses - 2011, 2013, 2015","['happiness', 'satisfaction', 'somerville', 'wellbeing']",Dataset,1108.0,0.4591794446746788
Public Health,"The City of Somerville conducts the Youth Risk Behavior Survey each year to gather data about students' risk behaviors. On an annual basis, Health & Human Services staff coordinate a survey with either High School or Middle School students in alternating years.
The data presented in this table is from high school students from 2002 through 2014 and includes questions about tobacco use, alcohol and other drug use, sexual behaviors that might lead to unintended pregnancy or sexually transmitted disease, dietary behaviors, physical activity, and behaviors associated with intentional or unintentional injuries. Data from the YRBS provide accurate estimates of the prevalence of risk behaviors among public school students in the City, and are important for planning health education and risk prevention programs.
Attached is the questionnaire used in the survey which includes information regarding the variables used in the dataset.",Somerville High School YRBS Raw Data 2002-2014,"['schools', 'yrbs', 'hhs']",Dataset,1073.0,0.44467467882304185
