category,descrip,name,topics,type,views,views_norm
Health,"The Washington State Department of Health presents this information as a service to the public. True and correct copies of legal disciplinary actions taken after July 1998 are available on our Provider Credential Search site. These records are considered certified by the Department of Health. 
This includes information on health care providers.
Please contact our Customer Service Center at 360-236-4700 for information about actions before July 1998. 
The information on this site comes directly from our database and is updated daily at 10:00 a.m.. This data is a primary source for verification of credentials and is extracted from the primary database at 2:00 a.m. daily.
News releases about disciplinary actions taken against Washington State healthcare providers, agencies or facilities are on the agency's Newsroom webpage.
Disclaimer
The absence of information in the Provider Credential Search system doesn't imply any recommendation, endorsement or guarantee of competence of any healthcare professional. The presence of information in this system doesn't imply a provider isn't competent or qualified to practice. The reader is encouraged to carefully evaluate any information found in this data set.",Health Care Provider Credential Data,"['credential', 'provider', 'care', 'public', 'health']",Dataset,190840.0,1.0
Natural Resources & Environment,Pending Water Right Applications in Washington State.   Includes both applications for new water rights and to change existing water rights. Updated weekly.   Live data available at:  https://fortress.wa.gov/ecy/waterresources/map/QuantityReport.aspx and https://fortress.wa.gov/ecy/waterresources/map/WaterResourcesExplorer.aspx.,Pending Water Right Applications -- Washington State,"['applications', 'water rights', 'ecology']",Map,16286.0,0.08533850345839447
Labor,"State of Washington, Labor & Industries contractor license and registration data",L&I Contractor License Data - General,"['licenses', 'contractor', 'labor & industries', 'l&i']",Dataset,10551.0,0.055287151540557536
Natural Resources & Environment,Decprecated: Hunting statistics from Department of Fish and Wildlife (DFW) for historical period 2011.,Hunt Statistics,"['hunt', 'hunting']",Dataset,8193.0,0.042931251309997906
Natural Resources & Environment,Composting Facilities in Washington State,Washington State Compost Facilities,"['compost facility map', 'compost facilities', 'compost']",Map,8148.0,0.0426954516872773
Demographics,Population and housing information extracted from decennial census Public Law 94-171 redistricting summary files for Washington state for years 2000 and 2010.,"WAOFM - Heat Map - Percent Change in City Population Density, 2000-2010","['2010', '2000', 'census', 'housing', 'population']",Map,7571.0,0.03967197652483756
Natural Resources & Environment,New data (unverified) within this dataset is preliminary and subject to change per the verification process.,WDFW-Coded Wire Tag Fish Recoveries,"['cwt', 'salmon', 'wdfw']",Dataset,7288.0,0.03818905889750576
Health,"The Washington State Department of Health presents this information as a service to the public. True and correct copies of legal disciplinary actions taken after July 1998 are available on our Provider Credential Search site. These records are considered certified by the Department of Health. 
This includes information on health care providers.
Please contact our Customer Service Center at 360-236-4700 for information about actions before July 1998. 
The information on this site comes directly from our database and is updated daily at 10:00 a.m.. This data is a primary source for verification of credentials and is extracted from the primary database at 2:00 a.m. daily.
News releases about disciplinary actions taken against Washington State healthcare providers, agencies or facilities are on the agency's Newsroom webpage.
Disclaimer
The absence of information in the Provider Credential Search system doesn't imply any recommendation, endorsement or guarantee of competence of any healthcare professional. The presence of information in this system doesn't imply a provider isn't competent or qualified to practice. The reader is encouraged to carefully evaluate any information found in this data set.",AELview,"['credential', 'provider', 'care', 'public', 'health']",Filtered View,6243.0,0.03271326765877174
Natural Resources & Environment,Pending Water Right Applications in Washington State. Includes both applications for new water rights and to change existing water rights. Updated weekly.    Live data available at: https://fortress.wa.gov/ecy/waterresources/map/QuantityReport.aspx and https://fortress.wa.gov/ecy/waterresources/map/WaterResourcesExplorer.aspx.,Water Right Applications,"['water rights', 'ecology']",Dataset,4896.0,0.025654998952001677
Consumer Protection,,Top 20 Consumer Complaints,[],Chart,4889.0,0.02561831901068958
